,2_Smooth muscle,3_EC arterial,3_Fibromyocytes,3_Lymphatic EC mature,3_Mast cells,4_Adventitial fibroblasts,4_Alveolar fibroblasts,4_Alveolar macrophages,4_B cells,4_Basal resting,4_CD4 T cells,4_CD8 T cells,4_Classical monocytes,4_DC2,4_Deuterosomal,4_EC general capillary,4_EC venous pulmonary,4_EC venous systemic,4_Ionocyte,4_Neuroendocrine,4_Peribronchial fibroblasts,4_Pericytes,4_Plasma cells,4_SMG duct,4_SMG mucous,4_Suprabasal,4_Tuft,Alveolar Mφ CCL3+,Club (nasal),Club (non-nasal),Goblet (bronchial),Goblet (nasal),Goblet (subsegmental),Interstitial Mφ perivascular,Monocyte-derived Mφ,Multiciliated (nasal),Multiciliated (non-nasal),None,SMG serous (bronchial),SMG serous (nasal),Unknown
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.9898311078548432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000187608,0.0,0.9326406285166741,0.0,0.0,0.0,0.0,0.0,0.9508272483944893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9504345774650573,0.0,0.0,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000078808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.9882185280323028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7137047365307808,0.0,0.0,0.0,0.0,0.0,0.0,0.8843309253454208,0.0,0.0,0.0,0.738450038433075,0.7880060270428657,0.0,0.0,0.0,0.7270981624722481,0.7510996192693711,0.737426508963108,0.8022889971733094,0.7229988560080528,0.0,0.7111260026693345,0.7665081351995469,0.0,0.0,0.0,0.0,0.0,0.7065742149949074,0.0,0.7,0.0,0.0
ENSG00000242485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7009988769888877,0.0,0.0,0.0,0.0,0.8677484303712845,0.0,0.8258076682686806,0.0,0.0,0.0,0.7224160760641098,0.8014454692602158,0.0,0.0,0.0,0.7082405790686608,0.0,0.713288202881813,0.7249117359519005,0.7527913570404052,0.0,0.7235301390290261,0.7855664923787117,0.0,0.0,0.0,0.0,0.0,0.7257291078567505,0.0,0.7,0.0,0.0
ENSG00000160075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7729860112071038,0.0,0.0,0.0,0.0,0.0,0.0,0.8425333052873611,0.0,0.0,0.0,0.0,0.7929139792919159,0.0,0.0,0.0,0.8082555547356606,0.0,0.7789386659860611,0.8429382815957069,0.8133171960711479,0.0,0.7667777225375175,0.8203288033604622,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.7516476660966873,0.0,0.0
ENSG00000078369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8801655113697052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9479007348418236,0.0,0.860482557117939,0.9013573378324509,0.0,0.0,0.0,0.8762101277709007,0.85,0.8655537709593772,0.0,0.0,0.0,0.0
ENSG00000142609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000162585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9821397304534912,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSG00000157916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8877389416098594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8522101998329162,0.8979253426194191,0.0,0.8587090790271759,0.9029359877109527,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.8794269651174546,0.0
ENSG00000078900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116251,0.24358819872140886,0.23400543481111527,0.2551691263914108,0.0,0.28025737404823303,0.0,0.0,0.1995940923690796,0.22379351258277894,0.3076831489801407,0.2950406178832054,0.2157932534813881,0.3146280661225319,0.2995360195636749,0.21748689115047454,0.3201622784137726,0.17883067280054094,0.2988664865493774,0.1545016810297966,0.14686169624328613,0.18986854404211045,0.0,0.11327861845493317,0.22994013726711274,0.26468297839164734,0.29152376502752303,0.32243538051843645,0.14963353872299195,0.15518102645874024,0.14473573118448257,0.131988263130188,0.13490980714559556,0.10479865670204162,0.13061361163854598,0.14328700304031372,0.1,0.12258167713880538,0.18015857189893722,0.19648933708667754,0.19279341250658036,0.2622736006975174
ENSG00000187017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7359087646007538,0.0,0.0,0.0,0.8881203979253769,0.8053106293082237,0.0,0.0,0.0,0.725,0.7636779621243477,0.7852588564157486,0.7957318395376205,0.7498020365834236,0.0,0.7574096754193306,0.7394343018531799,0.0,0.0,0.0,0.0,0.0,0.7407239988446236,0.0,0.0,0.7284503743052483,0.0
