clusterName,NSForest_markers,f_score
Alveolar macrophages,"['PPARG', 'NUPR1']",0.9126686656671664
Cycling,"['CEP55', 'ANLN', 'HMMR']",0.6322674418604651
Erythrophagocytic macrophages,['FABP5'],0.1923076923076923
Intestinal macrophages,"['SELENOP', 'FOLR2']",0.4591836734693877
Intermediate macrophages,"['CCL2', 'CXCL8']",0.740710692844394
Classical monocytes,"['S100A12', 'APOBEC3A']",0.8092224231464737
Nonclassical monocytes,"['ZNF703', 'LILRA5']",0.7581227436823105
DC2,"['CD1C', 'FCER1A']",0.7008244994110718
DC1,"['CLEC9A', 'CADM1']",0.9021406727828746
migDC,"['LAMP3', 'LAD1']",0.8680555555555556
Naive B cells,"['ENSG00000211898', 'TCL1A']",0.7582938388625592
Memory B cells,"['LINC01781', 'BLK']",0.5602240896358543
MNP/B doublets,"['MT1X', 'LINC01781']",0.5769230769230769
ABCs,"['FCRL2', 'NAPSA']",0.6818181818181818
pDC,['LRRC26'],0.8823529411764706
Progenitor,"['PRSS57', 'ENSG00000229425']",0.8870967741935484
Plasmablasts,"['SHCBP1', 'POU2AF1']",0.78125
Plasma cells,"['SDC1', 'ENSG00000249096']",0.6521739130434783
T/B doublets,['ENSG00000211890'],0.5769230769230769
MNP/T doublets,"['ENSG00000211679', 'ENSG00000211677']",0.902986570455001
Trm_Th1/Th17,"['DUSP4', 'CD2']",0.5608878224355129
MAIT,"['GZMK', 'KLRB1']",0.4424778761061947
Tgd_CRTAM+,"['ENSG00000227191', 'GZMK', 'KLRD1']",0.380859375
Trm/em_CD8,"['GZMK', 'CD8B']",0.591182364729459
Tem/emra_CD8,"['FGFBP2', 'CD8B', 'CD8A']",0.6143580303727566
Trm_Tgd,"['SPRY2', 'GOLGA8A', 'CDC14A']",0.4545454545454545
NK_CD56bright_CD16-,"['KLRC1', 'XCL1']",0.5629370629370629
NK_CD16+,"['FGFBP2', 'KLRF1']",0.8238965670976371
Cycling T&NK,"['CDCA8', 'TPX2']",0.6366459627329193
Mast cells,"['CPA3', 'TPSAB1']",0.9906473049470834
ILC3,"['SPRY1', 'TNFRSF4']",0.2840909090909091
Tfh,"['SOCS1', 'IL6ST', 'BCL11B']",0.1646090534979424
T_CD4/CD8,['SYNE2'],0.2560240963855422
Teffector/EM_CD4,"['MAL', 'FLT3LG']",0.5280357757137943
Tnaive/CM_CD4,"['TSHZ2', 'CRTC3', 'SATB1']",0.506993006993007
Tnaive/CM_CD8,"['LINC02446', 'LEF1', 'CD8B', 'CCR7']",0.5789473684210527
Tnaive/CM_CD4_activated,"['NOP2', 'THOC3']",0.3846153846153846
Tregs,['FOXP3'],0.6576492537313433
Trm_gut_CD8,"['CD8B', 'CD8A', 'XCL2']",0.2156862745098039
