clusterName,gene
Fibroblast,ENSG00000136546
Pericyte/SMC,ENSG00000107796
Endothelial cell (vascular),ENSG00000127329
Endothelial cell (lymphatic),ENSG00000138722
Endothelial cell (lymphatic),ENSG00000205038
Immune (alveolar macrophage),ENSG00000018280
Immune (alveolar macrophage),ENSG00000132170
Immune (DC/macrophage),ENSG00000168214
Immune (mast cell),ENSG00000197253
Immune (mast cell),ENSG00000157404
Immune (B cell),ENSG00000116191
Immune (NK cell),ENSG00000115523
Immune (T cell),ENSG00000172673
Immune (T cell),ENSG00000141293
Epithelial cell (ciliated),ENSG00000197826
Epithelial cell (ciliated),ENSG00000133640
Epithelial cell (alveolar type II),ENSG00000168484
Epithelial cell (alveolar type II),ENSG00000144331
Epithelial cell (club),ENSG00000058091
Epithelial cell (club),ENSG00000178568
Epithelial cell (basal),ENSG00000064655
Epithelial cell (alveolar type I),ENSG00000176771
Epithelial cell (alveolar type I),ENSG00000213853
