clusterName,NSForest_markers,f_score,onTarget,precision,recall
Macrophage,['ENSG00000125538'],0.6337284356296209,0.665716826915741,0.6865861411315957,0.4845222072678331
Dendritic cell,"['ENSG00000169508', 'ENSG00000231389']",0.5707762557077626,0.3327552080154419,0.78125,0.2747252747252747
M2 Macrophage,"['ENSG00000173369', 'ENSG00000019169']",0.9119103716882244,1.0,0.986732570239334,0.699686404722376
Neutrophil,['ENSG00000143546'],0.8181126331811264,0.5002750754356384,0.9110169491525424,0.581081081081081
B cell (Plasmocyte),['ENSG00000132465'],0.8456057007125891,1.0,0.8833746898263027,0.7221095334685599
AT2 cell,['ENSG00000168484'],0.937549912154608,1.0,0.9822623828647924,0.7931360626942305
Fetal epithelial progenitor,"['ENSG00000179902', 'ENSG00000105519']",0.7456140350877193,1.0,0.9444444444444444,0.4047619047619047
Fetal chondrocyte,['ENSG00000166509'],0.5555555555555556,1.0,1.0,0.2
Chondrocyte,['ENSG00000170891'],0.8482384823848238,0.586850643157959,0.8792134831460674,0.7434679334916865
Thyroid follicular cell,['ENSG00000042832'],0.9523809523809524,1.0,1.0,0.8
Epithelial cell,"['ENSG00000188257', 'ENSG00000257017']",0.2884615384615384,0.5232905149459839,0.4090909090909091,0.1323529411764706
Mesothelial cell,['ENSG00000179914'],0.9410914072608264,0.6014533042907715,0.9395896656534954,0.9471466870930678
Antigen presenting cell (RPS high),"['ENSG00000156017', 'ENSG00000188404', 'ENSG00000167900']",0.5555555555555556,1.0,0.6666666666666666,0.3333333333333333
Neutrophil (RPS high),"['ENSG00000255135', 'ENSG00000102738', 'ENSG00000077097']",0.7692307692307693,1.0,1.0,0.4
CB CD34+,"['ENSG00000005961', 'ENSG00000104267', 'ENSG00000233276']",0.5882352941176471,1.0,1.0,0.2222222222222222
B cell,['ENSG00000145287'],0.2525252525252525,0.3358517587184906,0.4545454545454545,0.0909090909090909
T cell,['ENSG00000271503'],0.6801943412403544,0.5056678056716919,0.7867768595041322,0.4411492122335496
Mast cell,"['ENSG00000197253', 'ENSG00000163751']",0.8998915793277918,1.0,0.9540229885057472,0.7334315169366715
Sinusoidal endothelial cell,"['ENSG00000115523', 'ENSG00000081237']",0.3846153846153846,1.0,1.0,0.1111111111111111
Monocyte,"['ENSG00000085265', 'ENSG00000204389']",0.4506742370475514,0.6259417533874512,0.5825688073394495,0.2364990689013035
Stratified epithelial cell,"['ENSG00000101443', 'ENSG00000160862']",0.8675534991324465,1.0,0.9882352941176472,0.5828476269775187
Basal cell,"['ENSG00000196754', 'ENSG00000186081']",0.8059626073774634,1.0,0.9232995658465992,0.5343383584589615
Endothelial cell,"['ENSG00000163638', 'ENSG00000267107']",0.6299112801013942,1.0,0.7319587628865979,0.404393816110659
Endothelial cell (APC),['ENSG00000213088'],0.469166734017619,0.4645175337791443,0.4738775510204082,0.451224251846094
Smooth muscle cell,"['ENSG00000107796', 'ENSG00000149591']",0.7328504473796336,1.0,0.8309178743961353,0.4978292329956584
Endothelial cell (endothelial to mesenchymal transition),"['ENSG00000116016', 'ENSG00000211445']",0.5150708146713473,0.3022582530975342,0.743231441048035,0.2311871773974463
Fetal mesenchymal progenitor,"['ENSG00000168542', 'ENSG00000127922', 'ENSG00000182492']",0.2040816326530612,0.4005160331726074,0.5,0.0606060606060606
Fetal stromal cell,"['ENSG00000105404', 'ENSG00000140937']",0.4166666666666667,1.0,1.0,0.125
Stromal cell,"['ENSG00000189058', 'ENSG00000139329', 'ENSG00000011465']",0.2025886325267304,0.2605279088020324,0.2063037249283667,0.1889763779527559
Fibroblast,['ENSG00000167779'],0.7910999215275961,1.0,0.8585114876252994,0.6020154267230654
