cluster_name,skos,manual_mapped_cid,cell_ontology_id
Alveolar_Type1,,,CL:0000322
Alveolar_Type2,,,CL:0000322
B_cells,,,CL:0000236
Blood_vessel,,,CL:0000071
Ciliated,,,CL:1000271
DC_1,,,CL:0000990
DC_2,,,CL:0000451
DC_Monocyte_Dividing,,,CL:0000842
DC_activated,,,CL:0000451
DC_plasmacytoid,,,CL:0000784
Fibroblast,,,CL:0000057
Lymph_vessel,,,CL:0002138
Macrophage_Dividing,,,CL:1001603
Macrophage_MARCOneg,,,CL:1001603
Macrophage_MARCOpos,,,CL:1001603
Mast_cells,,,CL:0000097
Monocyte,,,CL:0000576
Muscle_cells,,,CL:0000187
NK,,,CL:0000623
NK_Dividing,,,CL:0000623
Plasma_cells,,,CL:0000786
T_CD4,,,CL:0000624
T_CD8_CytT,,,CL:0000794
T_cells_Dividing,,,CL:0000084
T_regulatory,,,CL:0000815
