clusterName,NSForest_markers,f_score
Mast_cells,"['ENSG00000172236', 'ENSG00000197253']",0.9260166585007348
DC_activated,"['ENSG00000102962', 'ENSG00000172724']",0.7312925170068028
DC_1,['ENSG00000197992'],0.8254397834912043
DC_2,['ENSG00000158481'],0.6851187425252008
Monocyte,"['ENSG00000085265', 'ENSG00000123689']",0.7717258519735456
Macrophage_MARCOpos,"['ENSG00000019169', 'ENSG00000102575']",0.8288323045267489
Macrophage_MARCOneg,"['ENSG00000165457', 'ENSG00000124491', 'ENSG00000100979']",0.6352545225073623
Macrophage_Dividing,"['ENSG00000170323', 'ENSG00000104918', 'ENSG00000019169']",0.1103404791929382
DC_Monocyte_Dividing,"['ENSG00000135549', 'ENSG00000175063']",0.6833910034602076
T_cells_Dividing,['ENSG00000107742'],0.1785714285714285
Lymph_vessel,"['ENSG00000137077', 'ENSG00000138722']",0.9036144578313252
Blood_vessel,['ENSG00000110799'],0.8183512387634291
Muscle_cells,['ENSG00000163017'],0.8640720302062155
Fibroblast,"['ENSG00000139329', 'ENSG00000077942']",0.9255553845364528
Ciliated,"['ENSG00000186973', 'ENSG00000105519']",0.9611602753195674
Alveolar_Type1,"['ENSG00000086548', 'ENSG00000135480']",0.629863813229572
Alveolar_Type2,"['ENSG00000185303', 'ENSG00000122852', 'ENSG00000168484']",0.9592479156031988
B_cells,"['ENSG00000156738', 'ENSG00000105369']",0.8778493126848791
DC_plasmacytoid,"['ENSG00000239961', 'ENSG00000166428']",0.6967213114754098
Plasma_cells,['ENSG00000211895'],0.8108108108108109
NK_Dividing,"['ENSG00000211829', 'ENSG00000172543', 'ENSG00000105374']",0.2027027027027027
NK,"['ENSG00000111796', 'ENSG00000115523']",0.7748475825889692
T_CD8_CytT,"['ENSG00000100450', 'ENSG00000271503']",0.3751699864010879
T_CD4,"['ENSG00000168685', 'ENSG00000277734']",0.5827807839849605
T_regulatory,"['ENSG00000181847', 'ENSG00000156127']",0.3288740245261984
