clusterName,NSForest_markers,f_score,onTarget,precision,recall
Mast_cells,"['TPSAB1', 'TPSB2']",0.9260166585007348,1.0,0.930379746835443,0.9089659910683614
DC_activated,"['CCL22', 'CCL19']",0.7312925170068028,1.0,1.0,0.3524590163934426
DC_1,['CLEC9A'],0.8254397834912043,1.0,0.8472222222222222,0.7484662576687117
DC_2,['CD1C'],0.6851187425252008,1.0,0.7551789077212806,0.4996884735202492
Monocyte,"['FCN1', 'G0S2']",0.7717258519735456,0.6891891956329346,0.8293345405160706,0.6039228613812427
Macrophage_MARCOpos,"['MARCO', 'ACP5']",0.8288323045267489,0.2858514785766601,0.9340579710144928,0.5713652482269503
Macrophage_MARCOneg,"['FOLR2', 'F13A1', 'PLTP']",0.6352545225073623,1.0,0.8388888888888889,0.3223052294557097
Macrophage_Dividing,"['FABP4', 'RETN', 'MARCO']",0.1103404791929382,0.875,0.0938337801608579,0.3723404255319149
DC_Monocyte_Dividing,"['PKIB', 'UBE2C']",0.6833910034602076,0.3863636255264282,0.9404761904761904,0.3264462809917355
T_cells_Dividing,['SPOCK2'],0.1785714285714285,0.5,0.2592592592592592,0.0795454545454545
Lymph_vessel,"['CCL21', 'MMRN1']",0.9036144578313252,1.0,0.9911894273127754,0.6676557863501483
Blood_vessel,['VWF'],0.8183512387634291,1.0,0.9290603609209708,0.5541945063103192
Muscle_cells,['ACTG2'],0.8640720302062155,1.0,0.913978494623656,0.7091775923718713
Fibroblast,"['LUM', 'FBLN1']",0.9255553845364528,1.0,0.9706752757600215,0.7804455980964742
Ciliated,"['CFAP144', 'CAPS']",0.9611602753195674,1.0,0.9974489795918368,0.8390557939914163
Alveolar_Type1,"['CEACAM6', 'KRT7']",0.629863813229572,1.0,0.8018575851393189,0.3390052356020942
Alveolar_Type2,"['SFTPA2', 'SFTPA1', 'SFTPC']",0.9592479156031988,0.979253113269806,0.9579439252336448,0.9644995722840034
B_cells,"['MS4A1', 'CD79A']",0.8778493126848791,0.8333333730697632,0.9618684461391802,0.6505480335267569
DC_plasmacytoid,"['LILRA4', 'PLD4']",0.6967213114754098,1.0,0.8947368421052632,0.3695652173913043
Plasma_cells,['ENSG00000211895'],0.8108108108108109,1.0,0.9787234042553192,0.4808362369337979
NK_Dividing,"['ENSG00000211829', 'CTSW', 'NKG7']",0.2027027027027027,0.6666667461395264,0.25,0.1153846153846153
NK,"['KLRB1', 'GNLY']",0.7748475825889692,0.442307710647583,0.8223197492163009,0.629487425609522
T_CD8_CytT,"['GZMH', 'CCL5']",0.3751699864010879,0.3245614171028137,0.3545420183948595,0.4889661164205039
T_CD4,"['IL7R', 'ENSG00000277734']",0.5827807839849605,0.2166666686534881,0.570788753421249,0.6362501733462765
T_regulatory,"['TIGIT', 'BATF']",0.3288740245261984,0.75,0.5673076923076923,0.1226611226611226
