cluster_name,skos,manual_mapped_cid,cell_ontology_id
AT1,,,CL:0002062
AT2,,,CL:0002063
B_memory,,,CL:0000787
B_naive,,,CL:0000788
B_plasma_IgA,,,CL:0000987
B_plasma_IgG,,,CL:0000985
B_plasmablast,,,CL:0000980
Basal,,,CL:0000646
CD4_EM/Effector,,,CL:0001044
CD4_TRM,,,CL:4033038
CD4_naive/CM,,,CL:0000895
CD8_EM,,,CL:0000913
CD8_EM/EMRA,,,CL:0000913
CD8_TRM,,,CL:4033039
CD8_TRM/EM,,,CL:4033039
Chondrocyte,,,CL:0000138
Ciliated,,,CL:0000064
DC_1,,,CL:0000990
DC_2,,,CL:0000784
DC_activated,,,CL:0000451
DC_plasmacytoid,,,CL:0000784
Deuterosomal,,,CL:4033044
Dividing_AT2,,,CL:0002063
Dividing_Basal,,,CL:0000646
Endothelia_Lymphatic,,,CL:0002138
Endothelia_vascular_Cap_a,,,CL:0000071
Endothelia_vascular_Cap_g,,,CL:0000071
Endothelia_vascular_arterial_pulmonary,,,CL:1001568
Endothelia_vascular_arterial_systemic,,,CL:1000413
Endothelia_vascular_venous_pulmonary,,,CL:0002543
Endothelia_vascular_venous_systemic,,,CL:0002543
Erythrocyte,,,CL:0000232
Fibro_adventitial,,,CL:0002503
Fibro_alveolar,,,CL:0002553
Fibro_immune_recruiting,,,CL:0000057
Fibro_myofibroblast,,,CL:0000186
Fibro_peribronchial,,,CL:2000093
Fibro_perichondrial,,,CL:4033026
ILC,,,CL:0001065
Ionocyte_n_Brush,,,CL:0000066
MAIT,,,CL:0000940
Macro_AW_CX3CR1,,,CL:1001603
Macro_CCL,,,CL:1001603
Macro_CHIT1,,,CL:1001603
Macro_alveolar,,,CL:0000583
Macro_alveolar_metallothioneins,,,CL:4033042
Macro_dividing,,,CL:1001603
Macro_intermediate,,,CL:1001603
Macro_interstitial,,,CL:4033043
Macro_intravascular,,,CL:1001603
Mast_cell,,,CL:0000097
Megakaryocyte,,,CL:0000556
Mesothelia,,,CL:0000077
Monocyte_CD14,,,CL:0001054
Monocyte_CD16,,,CL:0000576
Muscle_pericyte_pulmonary,,,CL:0009089
Muscle_pericyte_systemic,,,CL:0009089
Muscle_perivascular_immune_recruiting,,,CL:0009089
Muscle_smooth_airway,,,CL:0000192
Muscle_smooth_arterial_systemic,,,CL:0019018
Muscle_smooth_pulmonary,,,CL:0002591
Myoepithelial,,,CL:0000185
NAF_endoneurial,,,CL:0000057
NAF_perineurial,,,CL:0000057
NKT,,,CL:0000623
NK_CD11d,,,CL:0000623
NK_CD16hi,,,CL:0000623
NK_CD56bright,,,CL:0000623
Neuroendocrine,,,CL:0000165
SMG_Basal,,,CL:4033024
SMG_Duct,,,CL:4033024
SMG_Mucous,,,CL:1000272
SMG_Serous,,,CL:4033005
Schwann_Myelinating,,,CL:0000218
Schwann_nonmyelinating,,,CL:0002376
Secretory_Club,,,CL:0000158
Secretory_Goblet,,,CL:0000160
Suprabasal,,,CL:4033048
T_reg,,,CL:0000815
gdT,,,CL:0000798
