cluster,n_cells,percentage
AT1,7315,3.79
AT2,18192,9.42
B_memory,1753,0.91
B_naive,638,0.33
B_plasma_IgA,844,0.44
B_plasma_IgG,733,0.38
B_plasmablast,62,0.03
Basal,5814,3.01
CD4_EM/Effector,6367,3.3
CD4_TRM,1859,0.96
CD4_naive/CM,3804,1.97
CD8_EM,3781,1.96
CD8_EM/EMRA,2085,1.08
CD8_TRM,2023,1.05
CD8_TRM/EM,1854,0.96
Chondrocyte,2013,1.04
Ciliated,3796,1.97
DC_1,395,0.2
DC_2,1301,0.67
DC_activated,459,0.24
DC_plasmacytoid,322,0.17
Deuterosomal,71,0.04
Dividing_AT2,180,0.09
Dividing_Basal,273,0.14
Endothelia_Lymphatic,3885,2.01
Endothelia_vascular_Cap_a,3247,1.68
Endothelia_vascular_Cap_g,9348,4.84
Endothelia_vascular_arterial_pulmonary,2172,1.12
Endothelia_vascular_arterial_systemic,215,0.11
Endothelia_vascular_venous_pulmonary,2075,1.07
Endothelia_vascular_venous_systemic,3798,1.97
Erythrocyte,328,0.17
Fibro_adventitial,10170,5.27
Fibro_alveolar,7420,3.84
Fibro_immune_recruiting,59,0.03
Fibro_myofibroblast,870,0.45
Fibro_peribronchial,1083,0.56
Fibro_perichondrial,411,0.21
ILC,517,0.27
Ionocyte_n_Brush,54,0.03
MAIT,1254,0.65
Macro_AW_CX3CR1,468,0.24
Macro_CCL,358,0.19
Macro_CHIT1,1853,0.96
Macro_alveolar,17098,8.85
Macro_alveolar_metallothioneins,410,0.21
Macro_dividing,156,0.08
Macro_intermediate,2598,1.35
Macro_interstitial,335,0.17
Macro_intravascular,5033,2.61
Mast_cell,2984,1.55
Megakaryocyte,14,0.01
Mesothelia,140,0.07
Monocyte_CD14,5932,3.07
Monocyte_CD16,3916,2.03
Muscle_pericyte_pulmonary,1359,0.7
Muscle_pericyte_systemic,179,0.09
Muscle_perivascular_immune_recruiting,679,0.35
Muscle_smooth_airway,505,0.26
Muscle_smooth_arterial_systemic,645,0.33
Muscle_smooth_pulmonary,1789,0.93
Myoepithelial,439,0.23
NAF_endoneurial,74,0.04
NAF_perineurial,165,0.09
NKT,2335,1.21
NK_CD11d,982,0.51
NK_CD16hi,8116,4.2
NK_CD56bright,876,0.45
Neuroendocrine,44,0.02
SMG_Basal,381,0.2
SMG_Duct,803,0.42
SMG_Mucous,6951,3.6
SMG_Serous,5180,2.68
Schwann_Myelinating,11,0.01
Schwann_nonmyelinating,112,0.06
Secretory_Club,2149,1.11
Secretory_Goblet,1632,0.85
Suprabasal,1918,0.99
T_reg,808,0.42
gdT,841,0.44
