clusterName,gene
Muscle_smooth_arterial_systemic,ENSG00000133392
Muscle_smooth_arterial_systemic,ENSG00000163638
Muscle_smooth_arterial_systemic,ENSG00000149591
Muscle_perivascular_immune_recruiting,ENSG00000158859
Muscle_perivascular_immune_recruiting,ENSG00000127954
Muscle_pericyte_systemic,ENSG00000143248
Muscle_pericyte_systemic,ENSG00000139289
Muscle_pericyte_pulmonary,ENSG00000131097
Muscle_pericyte_pulmonary,ENSG00000185633
Monocyte_CD14,ENSG00000163221
Monocyte_CD14,ENSG00000143546
Monocyte_CD16,ENSG00000131042
Monocyte_CD16,ENSG00000104972
Macro_interstitial,ENSG00000169245
Macro_interstitial,ENSG00000154451
Macro_CCL,ENSG00000276070
Macro_CCL,ENSG00000166920
Macro_CCL,ENSG00000169429
Macro_intermediate,ENSG00000130844
Macro_intermediate,ENSG00000124882
Macro_intermediate,ENSG00000173391
Macro_intermediate,ENSG00000153234
Macro_AW_CX3CR1,ENSG00000182578
Macro_AW_CX3CR1,ENSG00000125730
Macro_AW_CX3CR1,ENSG00000090104
B_plasma_IgG,ENSG00000211896
B_plasma_IgA,ENSG00000211895
B_memory,ENSG00000156738
B_memory,ENSG00000105369
B_naive,ENSG00000100721
B_naive,ENSG00000156738
Erythrocyte,ENSG00000244734
Erythrocyte,ENSG00000188536
MAIT,ENSG00000111796
MAIT,ENSG00000168685
CD4_EM/Effector,ENSG00000116824
CD4_EM/Effector,ENSG00000168685
T_reg,ENSG00000134954
T_reg,ENSG00000141293
T_reg,ENSG00000075884
T_reg,ENSG00000101596
CD4_naive/CM,ENSG00000075884
CD4_naive/CM,ENSG00000185811
CD4_naive/CM,ENSG00000168685
ILC,ENSG00000143184
ILC,ENSG00000109321
ILC,ENSG00000172543
Fibro_immune_recruiting,ENSG00000139194
Fibro_immune_recruiting,ENSG00000172724
Fibro_immune_recruiting,ENSG00000107317
Fibro_adventitial,ENSG00000145423
Fibro_adventitial,ENSG00000174348
Mesothelia,ENSG00000257017
Mesothelia,ENSG00000188257
NAF_endoneurial,ENSG00000071991
NAF_endoneurial,ENSG00000145934
NAF_perineurial,ENSG00000165966
NAF_perineurial,ENSG00000117394
Fibro_perichondrial,ENSG00000196159
Fibro_perichondrial,ENSG00000143127
Fibro_perichondrial,ENSG00000140937
Schwann_nonmyelinating,ENSG00000206579
Myoepithelial,ENSG00000134775
Myoepithelial,ENSG00000196090
Muscle_smooth_airway,ENSG00000172987
Muscle_smooth_airway,ENSG00000136267
Muscle_smooth_pulmonary,ENSG00000163017
Muscle_smooth_pulmonary,ENSG00000149591
Endothelia_vascular_venous_pulmonary,ENSG00000213088
Endothelia_vascular_venous_pulmonary,ENSG00000109472
Endothelia_vascular_Cap_g,ENSG00000142748
Endothelia_vascular_Cap_a,ENSG00000136160
Endothelia_vascular_Cap_a,ENSG00000115602
Ciliated,ENSG00000188817
Ciliated,ENSG00000178965
Deuterosomal,ENSG00000164287
Deuterosomal,ENSG00000117724
Chondrocyte,ENSG00000157766
Schwann_Myelinating,ENSG00000102385
Schwann_Myelinating,ENSG00000123560
Fibro_alveolar,ENSG00000183287
Fibro_alveolar,ENSG00000133026
Fibro_peribronchial,ENSG00000182752
Fibro_peribronchial,ENSG00000233608
Fibro_myofibroblast,ENSG00000119681
Fibro_myofibroblast,ENSG00000108821
Fibro_myofibroblast,ENSG00000168542
NK_CD56bright,ENSG00000143184
NK_CD56bright,ENSG00000187118
NK_CD56bright,ENSG00000111796
gdT,ENSG00000171476
gdT,ENSG00000134539
gdT,ENSG00000116824
gdT,ENSG00000115523
gdT,ENSG00000173762
CD8_EM,ENSG00000172116
CD8_EM,ENSG00000198851
CD8_EM,ENSG00000151883
CD4_TRM,ENSG00000116824
CD4_TRM,ENSG00000008517
CD4_TRM,ENSG00000271503
CD4_TRM,ENSG00000132965
CD4_TRM,ENSG00000169442
CD8_TRM,ENSG00000172673
CD8_TRM,ENSG00000136250
CD8_TRM,ENSG00000153283
CD8_TRM,ENSG00000141293
CD8_TRM/EM,ENSG00000078304
CD8_TRM/EM,ENSG00000010810
CD8_TRM/EM,ENSG00000151883
CD8_EM/EMRA,ENSG00000139187
CD8_EM/EMRA,ENSG00000160654
CD8_EM/EMRA,ENSG00000153563
NKT,ENSG00000167286
NKT,ENSG00000115523
NKT,ENSG00000105374
NKT,ENSG00000077984
NK_CD11d,ENSG00000159674
NK_CD11d,ENSG00000198821
NK_CD11d,ENSG00000100450
NK_CD11d,ENSG00000134539
NK_CD16hi,ENSG00000198821
NK_CD16hi,ENSG00000180644
Secretory_Goblet,ENSG00000197446
Secretory_Goblet,ENSG00000073737
SMG_Duct,ENSG00000161055
SMG_Duct,ENSG00000118849
Secretory_Club,ENSG00000149021
Secretory_Club,ENSG00000168878
AT2,ENSG00000152128
AT2,ENSG00000153093
Dividing_AT2,ENSG00000139734
AT1,ENSG00000136155
AT1,ENSG00000182010
Endothelia_Lymphatic,ENSG00000138722
Endothelia_Lymphatic,ENSG00000037280
Endothelia_vascular_arterial_pulmonary,ENSG00000155011
Endothelia_vascular_arterial_pulmonary,ENSG00000265107
Endothelia_vascular_arterial_systemic,ENSG00000099260
Endothelia_vascular_arterial_systemic,ENSG00000163520
Endothelia_vascular_arterial_systemic,ENSG00000101384
Endothelia_vascular_venous_systemic,ENSG00000204291
Endothelia_vascular_venous_systemic,ENSG00000130300
Macro_CHIT1,ENSG00000133063
Macro_CHIT1,ENSG00000146070
Macro_intravascular,ENSG00000100600
Macro_intravascular,ENSG00000110077
Macro_alveolar_metallothioneins,ENSG00000125144
Macro_alveolar_metallothioneins,ENSG00000183019
Macro_alveolar,ENSG00000170323
Macro_alveolar,ENSG00000183019
Macro_dividing,ENSG00000196549
Macro_dividing,ENSG00000197451
Macro_dividing,ENSG00000117632
Macro_dividing,ENSG00000184990
Macro_dividing,ENSG00000165140
DC_2,ENSG00000179639
DC_2,ENSG00000132514
DC_1,ENSG00000197992
DC_1,ENSG00000140968
DC_activated,ENSG00000102962
DC_activated,ENSG00000126353
DC_plasmacytoid,ENSG00000239961
DC_plasmacytoid,ENSG00000166428
B_plasmablast,ENSG00000176890
B_plasmablast,ENSG00000099958
B_plasmablast,ENSG00000110777
Mast_cell,ENSG00000163751
Megakaryocyte,ENSG00000104341
Megakaryocyte,ENSG00000086232
Neuroendocrine,ENSG00000176406
Ionocyte_n_Brush,ENSG00000168269
Ionocyte_n_Brush,ENSG00000162399
SMG_Mucous,ENSG00000078898
SMG_Mucous,ENSG00000117983
SMG_Serous,ENSG00000185737
SMG_Serous,ENSG00000180347
SMG_Basal,ENSG00000186847
SMG_Basal,ENSG00000110195
SMG_Basal,ENSG00000050165
Basal,ENSG00000171346
Suprabasal,ENSG00000167656
Suprabasal,ENSG00000206073
Dividing_Basal,ENSG00000131747
Dividing_Basal,ENSG00000168393
Dividing_Basal,ENSG00000114346
Dividing_Basal,ENSG00000164611
