clusterName,NSForest_markers,f_score
Muscle_smooth_arterial_systemic,"['MYH11', 'ADAMTS9', 'TAGLN']",0.529446757882213
Muscle_perivascular_immune_recruiting,"['ADAMTS4', 'STEAP4']",0.5421293272371
Muscle_pericyte_systemic,"['RGS5', 'PHLDA1']",0.3634085213032581
Muscle_pericyte_pulmonary,"['HIGD1B', 'NDUFA4L2']",0.8024691358024691
Monocyte_CD14,"['S100A12', 'S100A8']",0.7927901524032825
Monocyte_CD16,"['LILRB2', 'LILRB1']",0.6015452538631346
Macro_interstitial,"['CXCL10', 'GBP5']",0.5780691299165673
Macro_CCL,"['CCL4L2', 'C15orf48', 'CXCL8']",0.3035143769968051
Macro_intermediate,"['ZNF331', 'EREG', 'OLR1', 'NR4A2']",0.3342149555181534
Macro_AW_CX3CR1,"['CSF1R', 'C3', 'RGS1']",0.4591049382716049
B_plasma_IgG,['ENSG00000211896'],0.6338028169014085
B_plasma_IgA,['ENSG00000211895'],0.6487148102815178
B_memory,"['MS4A1', 'CD79A']",0.6241352805534205
B_naive,"['TCL1A', 'MS4A1']",0.7246798603026775
Erythrocyte,"['HBB', 'HBA2']",0.8677685950413223
MAIT,"['KLRB1', 'IL7R']",0.4340183883180097
CD4_EM/Effector,"['CD2', 'IL7R']",0.2972010178117048
T_reg,"['ETS1', 'SKAP1', 'ARHGAP15', 'SMCHD1']",0.0723763570566948
CD4_naive/CM,"['ARHGAP15', 'IKZF1', 'IL7R']",0.287890044576523
ILC,"['XCL1', 'AREG', 'CTSW']",0.2622274602239245
Fibro_immune_recruiting,"['RBP5', 'CCL19', 'PTGDS']",0.4471544715447154
Fibro_adventitial,"['SFRP2', 'PODN']",0.7151754203861325
Mesothelia,"['HP', 'PLA2G2A']",0.4385964912280701
NAF_endoneurial,"['CDH19', 'TENM2']",0.6168831168831169
NAF_perineurial,"['PDZRN4', 'SLC2A1']",0.4954954954954955
Fibro_perichondrial,"['FAT4', 'ITGA10', 'CDH11']",0.4389086595492289
Schwann_nonmyelinating,['XKR4'],0.6626506024096386
Myoepithelial,"['FHOD3', 'PTPRT']",0.8067030397505845
Muscle_smooth_airway,"['HPSE2', 'DGKB']",0.7397069085833915
Muscle_smooth_pulmonary,"['ACTG2', 'TAGLN']",0.5953345213024461
Endothelia_vascular_venous_pulmonary,"['ACKR1', 'CPE']",0.6281233844563157
Endothelia_vascular_Cap_g,['FCN3'],0.7001567249240122
Endothelia_vascular_Cap_a,"['EDNRB', 'IL1RL1']",0.7190381697210225
Ciliated,"['SNTN', 'ERICH3']",0.9161680717976612
Deuterosomal,"['CDC20B', 'CENPF']",0.718562874251497
Chondrocyte,['ACAN'],0.9023535302954432
Schwann_Myelinating,"['DRP2', 'PLP1']",0.8974358974358975
Fibro_alveolar,"['CCBE1', 'MYH10']",0.6308886509635975
Fibro_peribronchial,"['PAPPA', 'TWIST2']",0.3931252469379692
Fibro_myofibroblast,"['LTBP2', 'COL1A1', 'COL3A1']",0.2883817427385892
NK_CD56bright,"['XCL1', 'CMC1', 'KLRB1']",0.4443359375
gdT,"['HOPX', 'KLRD1', 'CD2', 'GNLY', 'CD7']",0.1829843425768723
CD8_EM,"['CD8B', 'CD3E', 'PARP8']",0.4075614366729678
CD4_TRM,"['CD2', 'IL32', 'CCL5', 'ALOX5AP', 'CD52']",0.2061163838558144
CD8_TRM,"['THEMIS', 'AOAH', 'CD96', 'SKAP1']",0.3110241532856564
CD8_TRM/EM,"['PPP2R5C', 'FYN', 'PARP8']",0.1470060953746862
CD8_EM/EMRA,"['KLRG1', 'CD3G', 'CD8A']",0.4419558898957086
NKT,"['CD3D', 'GNLY', 'NKG7', 'CST7']",0.3711692280039543
NK_CD11d,"['SPON2', 'CD247', 'GZMH', 'KLRD1']",0.2598710717163577
NK_CD16hi,"['CD247', 'PRF1']",0.6516370307648885
Secretory_Goblet,"['CYP2F1', 'DHRS9']",0.6554347826086957
SMG_Duct,"['SCGB3A1', 'RARRES1']",0.4288939051918736
Secretory_Club,"['SCGB1A1', 'SFTPB']",0.6275132275132275
AT2,"['TMEM163', 'ACOXL']",0.8191887226697353
Dividing_AT2,['DIAPH3'],0.4910714285714285
AT1,"['SCEL', 'RTKN2']",0.822122905027933
Endothelia_Lymphatic,"['MMRN1', 'FLT4']",0.7819096380131142
Endothelia_vascular_arterial_pulmonary,"['DKK2', 'GJA5']",0.7369337979094077
Endothelia_vascular_arterial_systemic,"['PALMD', 'FBLN2', 'JAG1']",0.4046997389033943
Endothelia_vascular_venous_systemic,"['COL15A1', 'PLVAP']",0.7067017338788233
Macro_CHIT1,"['CHIT1', 'PLA2G7']",0.5220541231621564
Macro_intravascular,"['LGMN', 'MS4A6A']",0.4856766545933487
Macro_alveolar_metallothioneins,"['MT1G', 'MCEMP1']",0.5789473684210527
Macro_alveolar,"['FABP4', 'MCEMP1']",0.8102273077753447
Macro_dividing,"['MME', 'HNRNPAB', 'STMN1', 'SIVA1', 'FBP1']",0.2351485148514851
DC_2,"['FCER1A', 'CLEC10A']",0.6138294755347202
DC_1,"['CLEC9A', 'IRF8']",0.6536312849162011
DC_activated,"['CCL22', 'CCR7']",0.7149404216315307
DC_plasmacytoid,"['LILRA4', 'PLD4']",0.5910543130990416
B_plasmablast,"['TYMS', 'DERL3', 'POU2AF1']",0.5797101449275363
Mast_cell,['CPA3'],0.9121018160166716
Megakaryocyte,"['LAPTM4B', 'EIF2AK1']",0.3333333333333333
Neuroendocrine,['RIMS2'],0.5921052631578947
Ionocyte_n_Brush,"['FOXI1', 'BSND']",0.8707865168539326
SMG_Mucous,"['BPIFB2', 'MUC5B']",0.939586058837342
SMG_Serous,"['NRG3', 'ITPRID1']",0.8301647655259823
SMG_Basal,"['KRT14', 'FOLR1', 'DKK3']",0.5771365149833518
Basal,['KRT15'],0.7914067216743812
Suprabasal,"['LY6D', 'SERPINB4']",0.6102966246164336
Dividing_Basal,"['TOP2A', 'DTYMK', 'ECT2', 'PTTG1']",0.4281567489114659
