Celltypes,mean,std,median,count,q1,q3,f_score
Muscle_smooth_airway,0.5602746162475248,0.28008874002954176,0.6645469,505,0.5636615,0.7001756,0.7397069085833915
Chondrocyte,0.5570389778347242,0.2716228442092254,0.6425736,2013,0.5181539,0.7049444,0.9023535302954432
Mast_cell,0.5588460002245308,0.12309342566627665,0.57843745,2984,0.5025752625000001,0.63570305,0.9121018160166716
SMG_Mucous,0.5078341558671989,0.23669121786300593,0.575102,6951,0.477612345,0.636118415,0.939586058837342
SMG_Serous,0.4734125836233282,0.23671975163509734,0.5600633749999999,5180,0.4096914125,0.6307912025,0.8301647655259823
Endothelia_Lymphatic,0.42257718587310167,0.40952340394933573,0.5561546,3885,0.5021841,0.60343254,0.7819096380131142
Endothelia_vascular_Cap_a,0.3438400433309609,0.3205993122455998,0.48569638,3247,0.286474735,0.549682835,0.7190381697210225
AT1,0.3279163317067765,0.2760756126338266,0.4167207,7315,0.276765035,0.506303,0.822122905027933
Secretory_Goblet,0.25740043843753674,0.28230561681463173,0.37239918,1632,0.10046967875,0.48038815999999995,0.6554347826086957
Deuterosomal,0.28329150115492957,0.19062903125910377,0.3692834,71,0.22613072499999998,0.416879665,0.718562874251497
Monocyte_CD16,0.21228509124362616,0.314422287400674,0.35218826000000003,3916,0.054529731250000005,0.4441306275,0.6015452538631346
Muscle_pericyte_pulmonary,0.26506036339805006,0.254181403412128,0.35209438,1359,0.13172662499999999,0.466717195,0.8024691358024691
AT2,0.2189753146040353,0.237289553813978,0.278616435,18192,0.077914245,0.420028605,0.8191887226697353
Endothelia_vascular_venous_systemic,0.16314514918778436,0.26800331827048846,0.27793292999999997,3798,-0.00305700995,0.3679332425,0.7067017338788233
B_naive,0.1911328255031348,0.17931005747853518,0.27659435499999996,638,0.0932041275,0.32241653000000003,0.7246798603026775
Muscle_smooth_arterial_systemic,0.14837196452266666,0.28487716805432073,0.27045342,645,-0.016499216,0.35868624,0.529446757882213
Suprabasal,0.21126792742847236,0.2522439322267637,0.270392125,1918,0.0949622315,0.4094775625,0.6102966246164336
Monocyte_CD14,0.23678803552261798,0.21458002135380583,0.26960765,5932,0.1420854675,0.3916456825,0.7927901524032825
B_plasma_IgA,0.23284557210545023,0.10199773891986022,0.25404708,844,0.19259342499999998,0.2961768225,0.6487148102815178
Macro_CHIT1,0.17442228603638962,0.20934510491711864,0.24792899,1853,0.15849303,0.2964741,0.5220541231621564
