cell_type_fine,mean_silhouette,std_silhouette,median_silhouette,count
AT1,0.4781117044668041,0.34704388248244944,0.6109725635877595,4939
AT2,0.4964964125356831,0.21938295198074767,0.5785063643661075,6911
Activated B cells,-0.421211589256239,0.15227894604052022,-0.40270281303322153,623
Adventitial FB,0.593811047517421,0.2413269658480178,0.6881786115718503,923
Airway basal,0.5545583870058605,0.241463426471042,0.6467278452823051,169
Airway ciliated,0.8137523181127245,0.09124157063611552,0.8375365832050901,1150
Airway club,0.1034854248280587,0.370253262328282,0.20384152384922832,376
Airway goblet,-0.0572629577996985,0.18440653118853179,0.0009321632031810039,1015
Airway mucous,-0.5367703146679315,0.14586741586786822,-0.5169293262797475,1049
Airway smooth muscle,0.24063529675080586,0.45533900463789184,0.4725902248573598,398
Alveolar FB,0.6028519952478669,0.22248465711582596,0.6895304640528142,1940
Alveolar macrophages,0.532461399901703,0.24058841610081785,0.6279576519287805,1645
Arterial endothelial cells,0.7090880481842566,0.17183016346592103,0.7669316475436067,413
B cells,0.4976242592254319,0.1174265375952004,0.5220531389208194,481
CD4+ T cells,0.01591694248570681,0.1814585311264412,0.05660270777382803,2711
CD8+ T cells,0.16937569892272275,0.2959045758144281,0.2543883545634293,803
Capillary endothelial cells,0.706263396891926,0.2027979627197873,0.7727061711416793,581
Cycling NK/T cells,-0.19579365213677974,0.4482554063544281,-0.11456457827184532,635
Cycling epithelial,-0.10781714090910943,0.4125641774397823,0.09011487237584592,192
Dendritic cells,-0.0183677721723864,0.3330204145926118,0.08886042515219905,546
ECM-high epithelial,-0.7156804654225533,0.11150432991341283,-0.6830192500059185,331
Endothelial cells (general),0.4395725962092068,0.22375472710278566,0.5227681667550657,612
Endothelial cells (other),-0.6273727358213539,0.14451080915479697,-0.5980015079723837,208
Inflamed endothelial cells,0.1429457648917327,0.40513614306198936,0.31481644474733045,50
Intermediate pathological FB,-0.003057305553861252,0.2822765654238499,0.0528981542249269,1246
Mast cells,0.8738242212577892,0.16620527453070297,0.8953277637346937,555
Mesothelial FB,-0.26453425957320054,0.3052884958449131,-0.08009402505915217,36
Monocyte-derived macrophages,0.0640210303984055,0.33923734356948054,0.19258063716313725,2030
Monocytes,0.5685332779978872,0.21270769773847434,0.6578117568978687,652
NK cells,0.5023006149495824,0.2725576050116527,0.6261505915168833,727
Neuronal cells,0.8229691518180938,0.22191290010525053,0.856649719824033,331
Other FB,0.3559500573159725,0.2575887982150518,0.4468161835796993,334
Pathological FB,0.3917164216448101,0.24596504729024835,0.45580195950353175,120
Pericytes,0.7901743228608493,0.20039943747423292,0.8480535756630052,160
Plasma cells,0.6929774143474697,0.17792816054520677,0.7578175335891502,880
Pulmonary venous endothelial cells,0.6268989343463603,0.16067229391409,0.6950303735119475,149
Systemic venous endothelial cells,-0.45155792802253314,0.16801321176548115,-0.4553346598885673,65
Transitioning MDM,-0.046094069153174565,0.32697072622341034,0.055611723617563724,305
Tregs,-0.007910613970455732,0.2064248706561702,0.024950198156034546,216
Tuft-like,-0.16387670951710492,0.22873422908954108,-0.07519722264252345,41
Vascular smooth muscle,-0.06890373691358714,0.38655121235293666,0.10406450511698713,129
