clusterName,NSForest_markers,f_score
Alveolar macrophages,"['ENSG00000132170', 'ENSG00000122641']",0.8094475580464372
Monocyte-derived macrophages,['ENSG00000124491'],0.6928225576758759
Transitioning MDM,"['ENSG00000069849', 'ENSG00000198223']",0.3157398680490104
Dendritic cells,"['ENSG00000198223', 'ENSG00000048052']",0.4324324324324324
Monocytes,"['ENSG00000170873', 'ENSG00000204634']",0.4697452229299363
Plasma cells,['ENSG00000211592'],0.7584745762711864
Cycling NK/T cells,"['ENSG00000109685', 'ENSG00000082898', 'ENSG00000171044', 'ENSG00000249859']",0.2865995352439969
B cells,"['ENSG00000112182', 'ENSG00000153064']",0.5230288836846214
Activated B cells,"['ENSG00000153064', 'ENSG00000255733']",0.5691906005221932
Tregs,"['ENSG00000227240', 'ENSG00000030419']",0.5153508771929824
CD4+ T cells,['ENSG00000172673'],0.6740647792330013
CD8+ T cells,"['ENSG00000136250', 'ENSG00000158985']",0.3445305770887166
NK cells,"['ENSG00000134539', 'ENSG00000198821']",0.5337965887555275
Mast cells,"['ENSG00000157404', 'ENSG00000185052']",0.8810126582278481
Cycling epithelial,"['ENSG00000142541', 'ENSG00000187514']",0.3911042944785276
Tuft-like,"['ENSG00000158710', 'ENSG00000184292', 'ENSG00000106541']",0.449438202247191
Airway goblet,"['ENSG00000214814', 'ENSG00000171889']",0.5641272902603665
Airway mucous,['ENSG00000127928'],0.4406130268199233
Airway ciliated,"['ENSG00000174844', 'ENSG00000197826']",0.9293456443195504
Airway basal,"['ENSG00000230937', 'ENSG00000128422']",0.6608478802992519
AT2,['ENSG00000273540'],0.8782776879419132
Airway club,"['ENSG00000285801', 'ENSG00000236039', 'ENSG00000168878']",0.1364628820960698
ECM-high epithelial,"['ENSG00000151150', 'ENSG00000134871', 'ENSG00000150672', 'ENSG00000163694', 'ENSG00000134884']",0.1874244256348246
AT1,"['ENSG00000257894', 'ENSG00000182010']",0.8606856309263311
Neuronal cells,['ENSG00000189056'],0.7928505957836847
Arterial endothelial cells,['ENSG00000155011'],0.7660521296884933
Pulmonary venous endothelial cells,"['ENSG00000204442', 'ENSG00000048052']",0.5138339920948617
Systemic venous endothelial cells,"['ENSG00000162618', 'ENSG00000151789']",0.5279503105590062
Endothelial cells (other),"['ENSG00000165810', 'ENSG00000110328', 'ENSG00000110799', 'ENSG00000117114']",0.1648773006134969
Inflamed endothelial cells,"['ENSG00000204301', 'ENSG00000069122']",0.1818181818181818
Pathological FB,['ENSG00000139329'],0.625
Endothelial cells (general),"['ENSG00000163072', 'ENSG00000165810']",0.5420054200542005
Capillary endothelial cells,"['ENSG00000164120', 'ENSG00000268388']",0.5640612409347301
Vascular smooth muscle,"['ENSG00000094963', 'ENSG00000183287', 'ENSG00000152527', 'ENSG00000136546', 'ENSG00000247809', 'ENSG00000184347']",0.0811992504684572
Mesothelial FB,"['ENSG00000162692', 'ENSG00000041515', 'ENSG00000123243']",0.7142857142857143
Pericytes,['ENSG00000185736'],0.6365740740740741
Airway smooth muscle,"['ENSG00000133392', 'ENSG00000249669']",0.6323877068557919
Alveolar FB,"['ENSG00000135298', 'ENSG00000133026']",0.6888849177984274
Other FB,['ENSG00000102466'],0.3537170263788969
Intermediate pathological FB,"['ENSG00000163359', 'ENSG00000140937', 'ENSG00000164692']",0.478606087340097
Adventitial FB,"['ENSG00000091986', 'ENSG00000153823']",0.6200909466721786
