,"Alveolar epithelial cells, type 1","Alveolar epithelial cells, type 2",B cells,Basal cells,"CD8+ enriched T, common subtype","Chondrocytes, cartilage cells","Ciliated cells, major (common) subtype","Ciliated cells, secretory-like","Dendritic cells, conventional (myeloid)","Dendritic cells, plasmacytoid","Endothelial cells, arterial","Endothelial cells, capillary, aerocyte-enriched","Endothelial cells, capillary, common","Endothelial cells, lymphatic","Endothelial cells, smooth muscle-like","Endothelial cells, venous; fenestrated","Fibroblasts, adventitial-enriched","Fibroblasts, alveolar-enriched","Fibroblasts, common subtype","Fibroblasts, matrix and myofibroblasts","Glandular, mucous cells","Glandular, serous cells","Glial, Schwann cells",Hybrid cells,Intermediate cells,Ionocytes,"Macrophages, M1-2 intermediate","Macrophages, inflammatory, M1-like","Macrophages, non-inflammatory, M2-like",Mast cells,Monocytes,Myoepithelial cells,Natural killer cells,Neuroendocrine cells,Neutrophils,Pericytes,Plasma cells,Pre-ciliated (deuterosomal) cells,"Secretory cells, major (common) subtype","Secretory cells, mucous","Smooth muscle cells, airway-enriched","Smooth muscle cells, vascular enriched 1","Smooth muscle cells, vascular enriched 2","T cells, central memory and naïve","T cells, interferon-stimulated","T cells, resident memory","T cells, undefined",T-NK intermediate cells,Terminal airway-enriched secretory cells,Undetermined or mixed
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8775510204081632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8838038566536138,0.8811274592233318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9049203792510185,0.9218455097656841,0.0,0.0,0.9379831037802049,0.0,0.0,0.0,0.0,0.0,0.8842534639493914,0.0
ENSG00000187608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8979591836734694,0.0,0.0,0.0,0.0,0.0,0.9009946596054471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9097759513053505,0.9181017403758419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9747403495197441,0.9336801290296265,0.0,0.0,0.0,0.0
ENSG00000162571,0.0,0.0,0.0,0.0,0.0,0.0,0.9702442805874646,0.9527208519625759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.942142509779753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9387755102040817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000078808,0.0,0.0,0.0,0.0,0.0,0.931633023059007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9157411889419347,0.0,0.9349931628082037,0.0,0.0,0.9200237720602692,0.0,0.0,0.0,0.9009795222324227,0.0,0.0,0.0,0.0,0.8979591836734694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9591836734693877,0.0,0.9595928264800889,0.9604514107440353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175756,0.0,0.5938443742417231,0.0,0.5478913131644454,0.0,0.5361540348546054,0.6113782912578516,0.6242255554726944,0.5533181780027553,0.598199726203231,0.0,0.0,0.0,0.0,0.5764912484535899,0.0,0.6095446150130965,0.5335262014053069,0.0,0.0,0.5720175275569618,0.0,0.0,0.6020637530964711,0.6588599949778156,0.6852408829770414,0.0,0.5588792018641392,0.5796005290337504,0.0,0.0,0.0,0.0,0.5757540151496958,0.0,0.0,0.5348564803402911,0.8106120660174572,0.5988053162547861,0.5493888189185261,0.6134671496170322,0.0,0.5306122448979592,0.0,0.0,0.0,0.0,0.0,0.5678791127918138,0.0
ENSG00000221978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9591836734693877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.965243006392714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9734508123276102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000242485,0.0,0.7595534073100452,0.0,0.0,0.0,0.7464549042536092,0.7962292226805632,0.7557049380106523,0.0,0.0,0.0,0.0,0.0,0.0,0.754179191416996,0.0,0.8166303573375253,0.0,0.0,0.0,0.0,0.0,0.0,0.7787440784737777,0.7695737444603697,0.0,0.0,0.0,0.7544344947750099,0.0,0.0,0.0,0.0,0.7536779002593312,0.0,0.0,0.0,0.8509350175017029,0.0,0.7346938775510204,0.8094668276190589,0.0,0.7512037591885316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000235098,0.0,0.0,0.0,0.0,0.0,0.0,0.976460287683473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95984262350862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9591836734693877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000179403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9453797456086809,0.943765991825527,0.0,0.0,0.0,0.0,0.0,0.0,0.9857391424262782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9387755102040817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160075,0.0,0.8109135579589756,0.0,0.7636883025295499,0.0,0.7551020408163265,0.814805799049644,0.7660501967689916,0.0,0.0,0.0,0.0,0.0,0.0,0.7984886930790389,0.0,0.7616511519909773,0.0,0.0,0.0,0.0,0.0,0.0,0.8191372515530014,0.803715377586932,0.0,0.0,0.0,0.7817972468497519,0.0,0.0,0.0,0.0,0.802967949094985,0.0,0.0,0.0,0.8276929594230134,0.0,0.7562122852277458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000189409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
