clusterName,gene
Ionocytes,TMPRSS11E
Ionocytes,FOXI1
Neuroendocrine cells,GRP
Neuroendocrine cells,CHGA
Pericytes,LAMC3
Undetermined or mixed,PLCG2
Undetermined or mixed,MAFB
Mast cells,TPSB2
Mast cells,TPSAB1
T-NK intermediate cells,NKG7
T-NK intermediate cells,TUBA4A
Natural killer cells,PRF1
Natural killer cells,FGFBP2
B cells,MS4A1
Plasma cells,ENSG00000211895
Intermediate cells,SERPINB5
Intermediate cells,SERPINB3
Basal cells,KRT15
Basal cells,KRT5
Monocytes,FCN1
Monocytes,EREG
Neutrophils,CSF3R
Myoepithelial cells,KRT17
Myoepithelial cells,ACTG2
Pre-ciliated (deuterosomal) cells,CDC20B
Pre-ciliated (deuterosomal) cells,CDC20
Hybrid cells,CYP2F1
Hybrid cells,CXCL6
Hybrid cells,SCNN1B
Hybrid cells,CEACAM6
Terminal airway-enriched secretory cells,TMEM45A
Terminal airway-enriched secretory cells,SFTPB
