software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,ann_finest_level,EC venous systemic,6556,0.6298502075437646,0.7155304971809329,0.425869432580842,571619,1110,3764,2792,2,"['PLVAP', 'EMCN']","['ENSG00000130300', 'ENSG00000162618', 'ENSG00000213088', 'ENSG00000164035', 'ENSG00000173267', 'ENSG00000110799', 'ENSG00000158716', 'ENSG00000127920', 'ENSG00000152583', 'ENSG00000116016']",0.6747564077377319
4.1,ann_finest_level,Migratory DCs,312,0.501432664756447,0.5166051660516605,0.4487179487179487,578842,131,172,140,1,['CCL22'],"['ENSG00000102962', 'ENSG00000126353', 'ENSG00000107551', 'ENSG00000102970', 'ENSG00000136111', 'ENSG00000159166', 'ENSG00000075618', 'ENSG00000198223', 'ENSG00000070190', 'ENSG00000023445']",1.0
4.1,ann_finest_level,Plasma cells,1773,0.905737183564432,0.9356110381077528,0.8031584884376762,577414,98,349,1424,1,['JCHAIN'],"['ENSG00000048462', 'ENSG00000211895', 'ENSG00000139193', 'ENSG00000110777', 'ENSG00000170476', 'ENSG00000132465', 'ENSG00000099958', 'ENSG00000211592', 'ENSG00000105369', 'ENSG00000134285']",0.6856852173805237
4.1,ann_finest_level,Plasmacytoid DCs,552,0.7901554404145078,0.9838709677419356,0.4420289855072464,578729,4,308,244,2,"['LILRA4', 'JCHAIN']","['ENSG00000239961', 'ENSG00000166428', 'ENSG00000185507', 'ENSG00000070031', 'ENSG00000185291', 'ENSG00000132465', 'ENSG00000170476', 'ENSG00000148154', 'ENSG00000100453', 'ENSG00000140968']",0.6571573615074158
4.1,ann_finest_level,B cells,4509,0.8570866915667388,0.9732142857142856,0.5801729873586161,574704,72,1893,2616,2,"['MS4A1', 'CD79A']","['ENSG00000156738', 'ENSG00000153064', 'ENSG00000105369', 'ENSG00000227507', 'ENSG00000211592', 'ENSG00000081189', 'ENSG00000112149', 'ENSG00000121966', 'ENSG00000196735', 'ENSG00000104894']",0.7814511656761169
4.1,ann_finest_level,NK cells,16978,0.7891496323400063,0.9001705628574295,0.5284485805159619,561312,995,8006,8972,2,"['KLRF1', 'PRF1']","['ENSG00000150045', 'ENSG00000115523', 'ENSG00000137441', 'ENSG00000134539', 'ENSG00000111796', 'ENSG00000180644', 'ENSG00000198821', 'ENSG00000159674', 'ENSG00000172543', 'ENSG00000173762']",0.91608464717865
4.1,ann_finest_level,CD8 T cells,29070,0.758457155529777,0.8068233372652209,0.611764705882353,545957,4258,11286,17784,2,"['CCL5', 'CD3D']","['ENSG00000277734', 'ENSG00000271503', 'ENSG00000173762', 'ENSG00000167286', 'ENSG00000116824', 'ENSG00000172543', 'ENSG00000105374', 'ENSG00000211772', 'ENSG00000198851', 'ENSG00000145649']",0.3940431475639343
4.1,ann_finest_level,CD4 T cells,21285,0.5941352882372543,0.663565314477112,0.4188395583744421,553480,4520,12370,8915,2,"['LTB', 'CD3D']","['ENSG00000277734', 'ENSG00000227507', 'ENSG00000116824', 'ENSG00000198851', 'ENSG00000167286', 'ENSG00000168685', 'ENSG00000008517', 'ENSG00000110848', 'ENSG00000121966', 'ENSG00000126264']",0.3364340662956238
4.1,ann_finest_level,T cells proliferating,500,0.7258064516129032,0.8744939271255061,0.432,578754,31,284,216,4,"['CD3G', 'MKI67', 'PCLAF', 'CD3D']","['ENSG00000160654', 'ENSG00000171848', 'ENSG00000148773', 'ENSG00000145386', 'ENSG00000166803', 'ENSG00000167286', 'ENSG00000198851', 'ENSG00000176890', 'ENSG00000164104', 'ENSG00000089685']",0.3729649186134338
4.1,ann_finest_level,Hematopoietic stem cells,60,0.6648936170212766,0.78125,0.4166666666666667,579218,7,35,25,2,"['CYTL1', 'FAM30A']","['ENSG00000185198', 'ENSG00000095932', 'ENSG00000128040', 'ENSG00000170891', 'ENSG00000226777', 'ENSG00000121104', 'ENSG00000105810', 'ENSG00000257698', 'ENSG00000121691', 'ENSG00000106484']",1.0
