,act_CD4,act_CD8,act_unassigned,rest_CD4,rest_CD8,rest_unassigned
PSME2,1.0153953,0.8694572,0.0,0.0,0.0,0.0
ISG20,0.25905025,0.0,0.0,0.6877657,0.0,0.0
CALM2,0.9690697,0.9924309,0.9226592,0.7739012,0.90853167,0.0
SFPQ,0.40827057,0.0,0.0,0.0,0.0,0.0
SAP18,0.6237552,0.6931472,0.0,0.0,0.0,0.0
HOPX,0.0,0.8778019,0.0,0.0,0.0,0.0
FKBP8,0.0,0.3469821,0.0,0.0,0.0,0.0
RPLP1,3.6575708,3.4827366,3.6296656,3.6864185,3.5340629,3.5850754
ARPC3,0.8186091,0.9582872,0.0,0.7085235,0.8598938,0.0
ATP5PF,0.6913923,0.75170124,0.0,0.0,0.0,0.0
HNRNPC,0.6280276,0.55236125,0.0,0.0,0.0,0.0
SSR4,0.7522226,0.8772402,0.0,0.5873703,0.70563865,0.0
IRF1,0.6306684,0.0,0.0,0.0,0.0,0.0
TYMP,0.45446682,0.60112464,0.0,0.0,0.0,0.0
UQCRH,0.7662294,0.7385739,0.0,0.0,0.0,0.0
SRGN,1.3449209,1.5136912,0.96923923,0.8271502,1.0644324,0.0
SNRPB2,0.564242,0.47482622,0.0,0.0,0.0,0.0
RPS14,2.932078,2.7054539,3.0164397,3.1387043,2.9238753,3.080121
ENSG00000225067,0.5294837,0.0,0.808776,0.72487116,0.0,0.0
RPL36,2.6611602,2.3230016,2.6342335,2.7016764,2.3409204,2.6187916
CYTIP,0.74858904,0.90414834,0.0,0.0,0.0,0.0
CAPZB,0.0,0.3172685,0.0,0.0,0.0,0.0
BOLA2B,0.8860729,0.9593538,0.0,0.0,0.0,0.0
HSP90AA1,1.038506,0.9338886,0.0,0.0,0.0,0.0
SERP1,0.71652055,0.6921224,0.0,0.4149285,0.0,0.0
DBI,0.6927076,0.76822317,0.0,0.0,0.0,0.0
H3-3A,1.1043537,1.0939422,0.89822185,0.9762702,1.058089,0.9243721
ENSG00000189343,0.5293995,0.0,0.79374695,0.0,0.0,0.0
EEF1D,1.4339238,1.3109173,1.5208243,1.7767367,1.5159916,1.5987327
CXCR4,0.0,0.0,0.0,0.83228076,0.9336138,0.0
CALM1,0.97930443,1.095494,0.87340814,0.9308752,1.0366082,0.0
PCED1B-AS1,0.5938457,0.0,0.0,0.0,0.0,0.0
RPL15,2.6234727,2.4271958,2.7297401,2.686646,2.4681935,2.6187916
RSL24D1,0.8447366,0.8619739,0.7675767,0.0,0.0,0.0
TAGLN2,0.52647173,0.5538951,0.0,0.0,0.0,0.0
COX5B,0.7004102,0.78060645,0.0,0.0,0.57734716,0.0
COMMD6,0.74610144,0.77132607,1.0232284,0.9603744,0.9294216,0.0
HSP90AB1,1.1949147,1.0668095,0.83986723,0.0,0.0,0.0
ABRACL,0.33410954,0.0,0.0,0.0,0.0,0.0
HLA-E,1.0562918,0.9872898,0.96923923,0.94011813,0.9545742,0.80207276
RAC1,0.30988503,0.35256338,0.0,0.0,0.0,0.0
SUMO2,1.0898913,1.0514724,0.8722039,0.9165768,1.0206099,0.7283468
SOCS1,0.4675969,0.0,0.0,0.0,0.0,0.0
NDUFS5,0.7755661,0.7889696,0.0,0.0,0.0,0.0
ATP5F1E,1.8290644,1.8848833,1.5621442,1.5760407,1.7405025,1.5196621
RPL28,2.845721,2.6897407,2.7501311,2.870513,2.6784167,2.8493674
CMPK1,0.2857162,0.0,0.0,0.0,0.0,0.0
ATP5F1B,0.47665232,0.45706987,0.0,0.0,0.0,0.0
SRSF2,0.68020666,0.5869017,0.0,0.0,0.0,0.0
ATP5MC3,0.6664039,0.7177797,0.0,0.0,0.0,0.0
SNRPD2,1.0186993,1.0369527,0.86476433,0.8739662,0.93719995,0.0
UQCR11,1.0090188,1.0943296,0.9151195,0.91344106,1.0795304,0.8144079
RPS9,2.440555,2.136323,2.4449618,2.460116,2.1743977,2.3723922
SNRPF,0.47368377,0.0,0.0,0.0,0.0,0.0
RPL37,2.5462072,2.2066057,2.360155,2.529424,2.207896,2.4305158
EIF4G2,0.6048058,0.5019913,0.0,0.0,0.0,0.0
DDX18,0.2992782,0.0,0.0,0.0,0.0,0.0
RPS15A,2.8490977,2.5250208,3.0302114,3.0595856,2.7250283,3.0148
EIF3H,0.46564633,0.0,0.0,0.0,0.0,0.0
ENSG00000237550,1.3457522,1.0675433,1.4612652,1.395436,1.0935551,1.3539748
ENO1,1.558434,1.5755945,1.139674,0.9199579,0.99211764,0.0
APRT,0.95282805,0.8814305,0.77735364,0.6617762,0.0,0.0
ARHGDIA,0.59705824,0.694764,0.0,0.0,0.0,0.0
MT-CO2,2.3786578,2.7022622,2.3543735,2.5343723,2.9040155,2.6671464
CDC42,0.65655774,0.7377381,0.0,0.0,0.5634842,0.0
ARLN,0.0,0.2471221,0.0,0.0,0.0,0.0
UXT,0.5317658,0.0,0.0,0.0,0.0,0.0
CD2,0.8914308,1.0594113,0.0,0.68762153,1.0449455,0.0
CLIC1,0.67392266,0.9450252,0.0,0.0,0.6856177,0.0
ID2,0.0,0.5903527,0.0,0.0,0.0,0.0
SERF2,1.5226686,1.6415383,1.4741237,1.4726095,1.6999362,1.4983442
HCST,0.0,0.39232382,0.0,0.0,0.0,0.0
ENSG00000233913,0.4972086,0.0,0.0,0.7533553,0.0,0.0
RPS19,3.337119,3.0970423,3.5270681,3.4521353,3.2605047,3.359682
S100A11,0.9790001,1.3312962,0.0,1.0899875,1.3568984,0.8838674
RPS29,3.2653506,3.0266387,3.3548737,3.3441167,3.136798,3.342155
RPL19,2.7542238,2.4706128,2.774969,2.8164804,2.52042,2.7447166
UBE2I,0.41543388,0.32201242,0.0,0.0,0.0,0.0
RPL22,1.9024569,1.6102204,1.9204935,1.9379344,1.5560498,1.7969714
NICOL1,0.0,0.40669075,0.0,0.0,0.0,0.0
RPL6,2.1799479,1.9162426,2.1209643,2.1264384,1.8668151,2.0614963
COX17,0.68993694,0.8157975,0.0,0.0,0.0,0.0
RABAC1,0.0,0.7751955,0.0,0.0,0.92356604,0.0
HLA-A,2.302042,2.5254083,2.283542,2.1798568,2.4410095,2.1071267
PTGES3,0.6913923,0.66197544,0.0,0.0,0.0,0.0
S100A4,0.0,0.91400945,0.0,1.5820162,1.9794494,1.0345465
TPI1,1.0534301,1.0866361,0.0,0.5606704,0.7849072,0.0
MT-ND3,1.9514289,2.363372,2.0339265,2.1855798,2.5773828,2.3420532
PARK7,0.7393279,0.842302,0.0,0.0,0.0,0.0
RPS27,3.7604842,3.4910257,4.0110493,4.007528,3.7677546,3.964809
SUB1,1.3800042,1.3910419,1.1789248,0.88693374,0.98189986,0.0
ENSG00000224631,0.43507358,0.0,0.0,0.48452097,0.0,0.0
ELOC,0.3461993,0.2471221,0.0,0.0,0.0,0.0
MT-CO1,2.4280937,2.7925575,2.434152,2.5452547,2.9565163,2.6671464
TMA7,1.540783,1.5985479,1.3921125,1.429598,1.5675449,1.4551587
MYL12A,0.88460124,1.167009,0.9993884,1.0474927,1.1689489,0.92896837
COX7B,0.7975233,0.936923,0.0,0.0,0.0,0.0
IL7R,0.0,0.0,0.0,0.7389089,0.61055744,0.0
SARAF,0.7367376,0.7557177,0.936077,1.285239,1.0717229,1.1984587
RPL7,2.5199208,2.2075438,2.6112967,2.594414,2.2537336,2.4402745
ARPC1B,0.83045536,0.91400945,0.0,0.68913937,0.7651465,0.0
PPP1CA,0.536737,0.7267249,0.0,0.0,0.0,0.0
ENSG00000218175,0.8283553,0.75274473,0.8077048,0.91034985,0.7977201,0.8206224
TMBIM6,0.72478855,0.9146224,0.0,0.0,0.48140794,0.0
RPL21,3.1520524,2.8548448,3.3851616,3.3111994,3.010252,3.3070683
TMSB10,2.569447,2.4368598,2.318799,2.3729467,2.2671733,2.2291317
KRT10,0.37531933,0.0,0.0,0.0,0.0,0.0
SLC25A3,0.6175156,0.5932074,0.0,0.0,0.0,0.0
ZFP36L2,0.0,0.0,0.0,0.9768753,0.9525622,0.0
RPS4X,2.5587213,2.2913141,2.7322364,2.7637763,2.496818,2.606545
NDUFA11,0.6401776,0.7365712,0.0,0.0,0.0,0.0
EEF1A1,3.555308,3.1694384,3.6191912,3.629899,3.2407556,3.4745843
LGALS1,0.0,1.3530382,0.0,0.0,1.4316089,0.0
COX6C,0.9547181,1.029431,0.38347656,0.7272919,0.859089,0.0
ENSG00000228007,1.3810389,1.1433501,1.4541316,1.4106436,1.150877,1.3864043
CLEC2D,0.521529,0.4618581,0.0,0.0,0.73022735,0.0
ENSG00000229344,0.0,0.38629282,0.0,0.0,0.86488205,0.0
BTF3,1.4439361,1.3141184,1.2905358,1.4084721,1.2332131,1.2654749
SET,0.84384954,0.7964434,0.86663723,0.0,0.0,0.0
RPL5,2.1057985,1.8078231,2.036318,2.0212321,1.7140477,1.9292555
RWDD1,0.4141543,0.0,0.0,0.0,0.0,0.0
JTB,0.62129056,0.7109107,0.0,0.0,0.0,0.0
RPS28,2.745516,2.4690878,2.8343449,2.9068408,2.6693363,2.859771
ZFAS1,0.62796783,0.0,0.78635293,0.79693395,0.0,0.0
CCL5,0.0,1.9038811,0.0,0.0,2.6125894,0.0
CD7,1.0507624,1.3312962,0.9291048,0.70440656,0.86769176,0.0
GSTP1,0.74092495,0.86162645,0.0,0.0,0.0,0.0
SRSF9,0.6008518,0.5524224,0.0,0.0,0.0,0.0
ENSG00000227615,1.0372975,0.8275751,0.97348744,1.1736791,0.975062,0.0
RPLP2,3.1479201,2.9424632,3.1568496,3.282199,3.0912647,3.3183458
RPL8,2.4619868,2.2500932,2.440579,2.519271,2.1919763,2.4131408
UBE2D2,0.51286715,0.41754988,0.0,0.0,0.0,0.0
OAZ1,1.6042966,1.6812925,1.3140876,1.3205988,1.5096519,1.4206868
RPS24,2.2378085,2.0506036,2.0554967,2.0494509,1.991502,1.9717362
ATP5ME,0.8874265,1.0250417,0.0,0.74824506,0.94389874,0.0
APOBEC3G,0.0,0.30668262,0.0,0.0,0.0,0.0
CREM,0.58022434,0.0,0.0,0.0,0.0,0.0
TMED2,0.4130856,0.6319974,0.0,0.0,0.0,0.0
HMGB1,0.7562449,0.87063897,0.0,0.8269379,0.9860523,0.0
CD52,0.0,0.90697944,0.0,1.708297,1.9798437,1.3691666
RPS6,3.12454,2.7767775,3.2638006,3.2127032,2.7958605,3.1051471
TUBB,1.1717969,1.309468,1.0222652,0.94375813,1.1009638,0.0
COX7A2,1.1284112,1.2162921,0.867926,0.79762167,0.99400043,0.0
BATF,0.602932,0.6439725,0.0,0.0,0.0,0.0
YWHAQ,0.6235196,0.60858977,0.0,0.0,0.0,0.0
ATP5MF,0.751875,0.8175027,0.0,0.0,0.0,0.0
BRK1,0.5421574,0.6622421,0.0,0.0,0.0,0.0
NDUFB8,0.71817416,0.79225147,0.0,0.0,0.0,0.0
