software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,free_annotation,Capillary Aerocyte,4352,0.8338896306186026,0.8802113916617733,0.6888786764705882,56233,408,1354,2998,2,"['ENSG00000171243', 'ENSG00000136160']","['ENSG00000171243', 'ENSG00000073910', 'ENSG00000188015', 'ENSG00000169255', 'ENSG00000159640', 'ENSG00000136160', 'ENSG00000106025', 'ENSG00000115602', 'ENSG00000164035', 'ENSG00000164120']",0.5448276996612549
4.1,free_annotation,Capillary Intermediate 1,628,0.5426356589147286,0.6239554317548747,0.3566878980891719,60230,135,404,224,4,"['ENSG00000106258', 'ENSG00000188015', 'ENSG00000073910', 'ENSG00000277494']","['ENSG00000106258', 'ENSG00000171243', 'ENSG00000188015', 'ENSG00000073910', 'ENSG00000136160', 'ENSG00000277494', 'ENSG00000115602', 'ENSG00000127329', 'ENSG00000164035', 'ENSG00000142748']",0.4265575408935547
4.1,free_annotation,Capillary,7391,0.7901460429612339,0.824284304047384,0.6778514409416858,52534,1068,2381,5010,2,"['ENSG00000078401', 'ENSG00000167434']","['ENSG00000108576', 'ENSG00000165810', 'ENSG00000277494', 'ENSG00000163072', 'ENSG00000078401', 'ENSG00000167434', 'ENSG00000142748', 'ENSG00000135218', 'ENSG00000166292', 'ENSG00000110799']",0.2699595093727112
4.1,free_annotation,Capillary Intermediate 2,464,0.4197761194029851,0.5921052631578947,0.1939655172413793,60467,62,374,90,2,"['ENSG00000065054', 'ENSG00000110092']","['ENSG00000267107', 'ENSG00000065054', 'ENSG00000110092', 'ENSG00000115306', 'ENSG00000205364', 'ENSG00000116016', 'ENSG00000165949', 'ENSG00000168899', 'ENSG00000177469', 'ENSG00000113140']",0.1438682377338409
4.1,free_annotation,Vein,1155,0.7862857142857143,0.8546583850931677,0.5956709956709957,59721,117,467,688,2,"['ENSG00000143248', 'ENSG00000213088']","['ENSG00000144837', 'ENSG00000174175', 'ENSG00000143248', 'ENSG00000162692', 'ENSG00000124212', 'ENSG00000213088', 'ENSG00000115594', 'ENSG00000112936', 'ENSG00000110799', 'ENSG00000107317']",0.7742992043495178
4.1,free_annotation,Artery,1484,0.7929238505747126,0.8648383937316356,0.5950134770889488,59371,138,601,883,1,['ENSG00000155011'],"['ENSG00000155011', 'ENSG00000265107', 'ENSG00000136960', 'ENSG00000164683', 'ENSG00000164736', 'ENSG00000107562', 'ENSG00000101955', 'ENSG00000181104', 'ENSG00000137033', 'ENSG00000119326']",1.0
4.1,free_annotation,Bronchial Vessel 2,235,0.3130755064456721,0.4415584415584415,0.1446808510638297,60715,43,201,34,3,"['ENSG00000152661', 'ENSG00000099260', 'ENSG00000135218']","['ENSG00000148339', 'ENSG00000152661', 'ENSG00000099260', 'ENSG00000120833', 'ENSG00000135218', 'ENSG00000059804', 'ENSG00000134531', 'ENSG00000142871', 'ENSG00000169908', 'ENSG00000184557']",0.3194543421268463
4.1,free_annotation,Bronchial Vessel 1,455,0.5430060816681147,0.7183908045977011,0.2747252747252747,60489,49,330,125,2,"['ENSG00000130300', 'ENSG00000163762']","['ENSG00000130300', 'ENSG00000166265', 'ENSG00000142798', 'ENSG00000147113', 'ENSG00000213088', 'ENSG00000163762', 'ENSG00000164056', 'ENSG00000162618', 'ENSG00000179403', 'ENSG00000164035']",0.7454156279563904
4.1,free_annotation,Lymphatic,467,0.9779316313284292,0.980477223427332,0.9678800856531048,60517,9,15,452,1,['ENSG00000137077'],"['ENSG00000137077', 'ENSG00000138722', 'ENSG00000186105', 'ENSG00000117707', 'ENSG00000184232', 'ENSG00000017427', 'ENSG00000162493', 'ENSG00000173267', 'ENSG00000184203', 'ENSG00000160180']",1.0
4.1,free_annotation,Pericyte,1608,0.8816892327530625,0.9521322889469104,0.6803482587064676,59330,55,514,1094,2,"['ENSG00000185633', 'ENSG00000183807']","['ENSG00000185633', 'ENSG00000183807', 'ENSG00000050555', 'ENSG00000171303', 'ENSG00000124780', 'ENSG00000144891', 'ENSG00000128656', 'ENSG00000131097', 'ENSG00000106484', 'ENSG00000131055']",1.0
4.1,free_annotation,Alveolar Epithelial Type 2,3814,0.8601302533835351,0.8537878787878788,0.8864708966963818,56600,579,433,3381,2,"['ENSG00000078081', 'ENSG00000131400']","['ENSG00000170890', 'ENSG00000096088', 'ENSG00000167972', 'ENSG00000078081', 'ENSG00000131400', 'ENSG00000133661', 'ENSG00000134020', 'ENSG00000196260', 'ENSG00000122852', 'ENSG00000185303']",0.400385320186615
