clusterName,NSForest_markers,f_score
Capillary Aerocyte,"['SOSTDC1', 'EDNRB']",0.8338896306186026
Capillary Intermediate 1,"['CYP3A5', 'S100A3', 'FRY', 'GPIHBP1']",0.5426356589147286
Capillary,"['EDN1', 'CA4']",0.7901460429612339
Capillary Intermediate 2,"['NHERF2', 'CCND1']",0.4197761194029851
Vein,"['RGS5', 'ACKR1']",0.7862857142857143
Artery,['DKK2'],0.7929238505747126
Bronchial Vessel 2,"['GJA1', 'PALMD', 'CD36']",0.3130755064456721
Bronchial Vessel 1,"['PLVAP', 'TM4SF18']",0.5430060816681147
Lymphatic,['CCL21'],0.9779316313284292
Pericyte,"['NDUFA4L2', 'FAM162B']",0.8816892327530625
Alveolar Epithelial Type 2,"['LAMP3', 'NAPSA']",0.8601302533835351
Signaling Alveolar Epithelial Type 2,"['NAPSA', 'SFTPA1', 'AK1', 'SLC34A2']",0.2896237172177879
Alveolar Epithelial Type 1,['AGER'],0.947779605263158
Basophil/Mast 2,"['NR4A3', 'TPSB2']",0.8236228813559322
Basophil/Mast 1,['TPSB2'],0.7480094202085903
B,"['MS4A1', 'CD79A']",0.8808553971486762
Plasma,"['TNFRSF17', 'TNFRSF13B']",0.8464849354375896
CD4+ Naive T,"['PRKCQ-AS1', 'LTB', 'IL7R']",0.3571428571428571
CD4+ Memory/Effector T,"['CD3D', 'CD2']",0.6328179628622485
Natural Killer T,"['ZNF683', 'KLRC2']",0.6898656898656899
Airway Smooth Muscle,"['TNNT2', 'ACTG2']",0.762936753648828
Vascular Smooth Muscle,"['ECRG4', 'ACTA2']",0.6865177832919769
Fibromyocyte,"['SBSPON', 'BCHE']",0.7222222222222222
Myofibroblast,"['ASPN', 'SCARA3']",0.6852791878172588
Adventitial Fibroblast,"['CCDC80', 'LUM']",0.7856774858320453
Alveolar Fibroblast,"['GPC3', 'LUM']",0.8287067276290007
Lipofibroblast,"['FST', 'WT1']",0.6666666666666666
Mesothelial,"['CPA4', 'RGS4']",0.8910891089108911
Ciliated,"['SNTN', 'CFAP276']",0.9263822578161096
Proximal Ciliated,"['TP53AIP1', 'PLAAT2', 'CFAP141']",0.680379746835443
Neuroendocrine,"['CHGA', 'SCG5']",0.9302325581395348
Ionocyte,"['ASCL3', 'ATP6V1G3']",0.9574468085106383
Goblet,"['UPK1B', 'MSMB']",0.6728232189973615
Differentiating Basal,"['ADH1C', 'CLCA2']",0.4481434058898847
Proximal Basal,"['DAPL1', 'LGALS7B', 'ADH7']",0.5572065378900446
Proliferating Basal,"['H1-5', 'FOXM1', 'H1-1', 'PBK']",0.6382978723404256
Basal,"['SYT8', 'KRT17']",0.7646176911544228
Serous,['PRR4'],0.9913793103448276
Mucous,"['SAA2', 'TMEM45A']",0.85210860774119
Club,"['SCGB3A2', 'SFTPB']",0.7723677706376668
CD8+ Naive T,"['CD3D', 'GZMH', 'GNLY', 'NKG7']",0.6594556873691556
CD8+ Memory/Effector T,"['GZMK', 'CD8A']",0.5493895671476138
Natural Killer,"['FGFBP2', 'KLRB1', 'CD247']",0.883036856179514
Proliferating NK/T,"['CDCA5', 'MKI67']",0.7088122605363985
Plasmacytoid Dendritic,"['SCT', 'SPIB']",0.9014423076923076
Myeloid Dendritic Type 1,"['LGALS2', 'DUSP4', 'LAMP3']",0.7121212121212122
Myeloid Dendritic Type 2,"['CD1C', 'PLD4']",0.7171052631578947
IGSF21+ Dendritic,"['FOLR2', 'STAB1']",0.7897862232779097
EREG+ Dendritic,"['CLEC5A', 'MXD1', 'FPR3']",0.4354838709677419
OLR1+ Classical Monocyte,"['IL1B', 'ATP13A3']",0.4966139954853273
Classical Monocyte,"['S100A12', 'S100A8']",0.7995523501616514
Intermediate Monocyte,"['APOBEC3A', 'ADGRE2', 'LILRA5', 'LILRB2', 'IL1B']",0.3901734104046243
Nonclassical Monocyte,"['LRRC25', 'LILRA1']",0.6509336099585062
Proliferating Macrophage,"['CEP55', 'CKAP2L']",0.6752577319587629
Macrophage,"['MSR1', 'FABP4']",0.9598155274212026
TREM2+ Dendritic,['CHIT1'],0.6527415143603134
Platelet/Megakaryocyte,"['CCL18', 'ACP5', 'C1QC', 'C1QB']",0.01628664495114
