free_annotation,mean,std,median,count,q1,q3,f_score
Serous,0.9717094154166667,0.05547193068789853,0.9837114,24,0.9812333599999999,0.9847824749999999,0.9913793103448276
Lipofibroblast,0.8540985225714285,0.21012801071597437,0.9115506,35,0.896595,0.9224349000000001,0.6666666666666666
Proximal Ciliated,0.8368509485227272,0.054934133263369524,0.85120567,88,0.8319366,0.8671317000000001,0.680379746835443
Neuroendocrine,0.7522091172727272,0.1359000624936851,0.7898291,11,0.7824719,0.801977835,0.9302325581395348
Fibromyocyte,0.7401674113265306,0.20851100626111288,0.7865551500000001,98,0.7690852275,0.7966134149999999,0.7222222222222222
Capillary Intermediate 2,0.7195534324655172,0.23538559512867488,0.7828585,464,0.755300055,0.806136675,0.4197761194029851
Basophil/Mast 2,0.751895197789855,0.0608792292787624,0.76488095,552,0.7192844574999999,0.8020628525,0.8236228813559322
Goblet,0.697856917264151,0.1897666316354395,0.76023877,159,0.6790725,0.79228475,0.6728232189973615
Intermediate Monocyte,0.67651307225,0.20071163298492098,0.7513411,188,0.6828684375,0.7822717375,0.3901734104046243
Capillary Intermediate 1,0.6954209805477707,0.16892966291946807,0.7423287949999999,628,0.68106206,0.7766837750000001,0.5426356589147286
OLR1+ Classical Monocyte,0.6825971246376811,0.17678937761722474,0.734965,207,0.6730552249999999,0.75424155,0.4966139954853273
Proximal Basal,0.5890639194203822,0.23202435636443325,0.6682401,157,0.59517604,0.7119913,0.5572065378900446
Mesothelial,0.5290028428103448,0.27135265614218995,0.6256926,29,0.5401271,0.62991315,0.8910891089108911
Signaling Alveolar Epithelial Type 2,0.4535075041823617,0.2832043988716723,0.58352125,669,0.39418814,0.62882954,0.2896237172177879
Plasma,0.43328056198342546,0.38397817457147015,0.57099533,181,0.5616376,0.5789854,0.8464849354375896
CD4+ Memory/Effector T,-0.30818960558495245,0.2564232471181234,-0.20926228,2419,-0.379115835,-0.118826755,0.6328179628622485
Natural Killer T,-0.4137857059402985,0.18818524659617783,-0.3131688,335,-0.694761865,-0.283031285,0.6898656898656899
Pericyte,-0.43751504200248753,0.14566311782766955,-0.401744915,1608,-0.5979775475,-0.329800005,0.8816892327530625
Lymphatic,-0.6020516512205567,0.220685544666037,-0.4358815,467,-0.8300229,-0.39337429,0.9779316313284292
CD4+ Naive T,-0.51681213875,0.18712235729021676,-0.44312261,288,-0.7510924875,-0.3595638075,0.3571428571428571
