cluster,count
Natural Killer,1232
Club,898
Capillary,872
Alveolar Epithelial Type 2,760
Capillary Aerocyte,622
Ciliated,551
Pericyte,518
Alveolar Epithelial Type 1,421
CD8+ Naive T,378
Alveolar Fibroblast,360
Airway Smooth Muscle,346
Basal,240
Goblet,233
Signaling Alveolar Epithelial Type 2,201
Vascular Smooth Muscle,176
Adventitial Fibroblast,158
CD4+ Naive T,131
B,129
CD4+ Memory/Effector T,126
Neutrophil,113
Classical Monocyte,106
Bronchial Vessel 1,106
Artery,92
Capillary Intermediate 1,88
CD8+ Memory/Effector T,59
Neuroendocrine,55
Myofibroblast,52
Natural Killer T,52
Basophil/Mast 1,46
Lymphatic,44
Differentiating Basal,43
Vein,42
Macrophage,32
Nonclassical Monocyte,27
Lipofibroblast,20
Proliferating NK/T,17
Fibromyocyte,15
Plasmacytoid Dendritic,13
Dendritic,10
IGSF21+ Dendritic,8
Myeloid Dendritic Type 2,7
Intermediate Monocyte,6
Ionocyte,2
Plasma,2
