,Adventitial Fibroblast,Airway Smooth Muscle,Alveolar Epithelial Type 1,Alveolar Epithelial Type 2,Alveolar Fibroblast,Artery,B,Basal,Basophil/Mast 1,Bronchial Vessel 1,CD4+ Memory/Effector T,CD4+ Naive T,CD8+ Naive T,Capillary,Capillary Aerocyte,Capillary Intermediate 1,Ciliated,Classical Monocyte,Club,Dendritic,Differentiating Basal,Fibromyocyte,Goblet,IGSF21+ Dendritic,Intermediate Monocyte,Lipofibroblast,Lymphatic,Macrophage,Myeloid Dendritic Type 2,Myofibroblast,Natural Killer,Natural Killer T,Neuroendocrine,Neutrophil,Nonclassical Monocyte,Pericyte,Plasmacytoid Dendritic,Proliferating NK/T,Signaling Alveolar Epithelial Type 2,Vascular Smooth Muscle,Vein
PLA1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.358318
TLR5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1358409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLK10,0.0,0.0,2.2067459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0121,0.0,2.327362,0.0,5.827419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDX3Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1714613,0.0,1.2183429,0.0,0.0,0.0,0.0,0.94408745,3.3841028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12650286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98794496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5303245,0.5834921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1980737,0.0,0.0,0.0,0.0
FCGR3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9744234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARFGAP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57711756,2.5425463,0.0,3.348203,0.0,1.102127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7239604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,8.141918,0.0,0.0,6.9359026,2.2297943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.426691,0.0,8.2675495,0.0,0.0,9.196169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.271243,0.0,0.0
LY86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19380747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.603042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF3B,0.0,0.0,0.0,1.8876102,0.0,0.0,0.0,2.33279,0.0,2.740471,1.4484093,0.0,0.0,0.0,0.0,0.0,0.0,3.3601735,2.3721175,5.18396,2.7148702,0.0,3.2444909,0.0,0.0,5.0128345,3.5927706,0.0,4.5172153,0.0,0.0,0.0,0.8870692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHBDF2,0.0,0.0,0.0,0.0,0.0,0.0,4.093179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4780955,0.0,1.605507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6008169,0.0,0.0,0.0,0.4259112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44373456,0.0,0.0,0.0,0.0,0.0,0.0
