index,free_annotation,silhouette_score
A1_B002014.gencode.vH29,Capillary Aerocyte,-0.6440287
A1_B003138.gencode.vH29,Capillary Aerocyte,-0.7190164
A1_B003140.gencode.vH29,Capillary Intermediate 1,0.59539086
A10_B003138.gencode.vH29,Capillary Intermediate 1,0.69719476
A12_B003141.gencode.vH29,Capillary Aerocyte,-0.607387
A13_B002383.gencode.vH29,Capillary Intermediate 1,0.68946505
A14_B003137.gencode.vH29,Capillary Aerocyte,-0.6097986
A17_B002014.gencode.vH29,Capillary Aerocyte,-0.7077561
A17_B003138.gencode.vH29,Capillary Aerocyte,-0.5852741
A18_B002383.gencode.vH29,Capillary Aerocyte,-0.74963284
A2_B002383.gencode.vH29,Artery,-0.94198096
A5_B003136.gencode.vH29,Capillary Aerocyte,-0.60968864
A6_B002383.gencode.vH29,Capillary Intermediate 1,0.64535683
B12_B002014.gencode.vH29,Capillary Intermediate 1,0.66489434
B13_B002383.gencode.vH29,Capillary Intermediate 1,-0.68981296
B16_B002014.gencode.vH29,Capillary Aerocyte,-0.63325584
B19_B002014.gencode.vH29,Capillary Intermediate 1,0.67914385
B2_B002382.gencode.vH29,Capillary,-0.85485077
B3_B002382.gencode.vH29,Capillary Aerocyte,-0.7382422
B3_B002383.gencode.vH29,Capillary,-0.840396
B4_B003138.gencode.vH29,Capillary Intermediate 1,0.65409786
B4_B003140.gencode.vH29,Capillary Intermediate 1,0.6178094
B5_B003135.gencode.vH29,Capillary Aerocyte,-0.6060728
B6_B003138.gencode.vH29,Capillary Aerocyte,-0.5817439
B7_B003142.gencode.vH29,Capillary Aerocyte,-0.5680729
B8_B002382.gencode.vH29,Capillary Aerocyte,-0.60406077
B8_B003141.gencode.vH29,Capillary Aerocyte,-0.40722176
B9_B003140.gencode.vH29,Capillary Aerocyte,-0.57739484
C1_B003141.gencode.vH29,Capillary Aerocyte,-0.68629616
C13_B003136.gencode.vH29,Capillary Aerocyte,-0.83479846
C14_B002014.gencode.vH29,Capillary Aerocyte,-0.69236434
