clusterName,NSForest_markers,f_score,onTarget,precision,recall
chondrocyte,"['COL1A2', 'COL3A1', 'LAMA2', 'SFTPA1']",0.3007518796992481,0.3450479507446289,0.3333333333333333,0.2162162162162162
ciliated cell,"['DNAH12', 'CFAP157']",0.9615384615384616,1.0,1.0,0.8333333333333334
natural killer cell,"['KLRD1', 'AOAH']",0.5544147843942505,0.7710132598876953,0.7105263157894737,0.2950819672131147
T cell,['THEMIS'],0.7971619365609349,1.0,0.8488888888888889,0.6409395973154363
B cell,['RALGPS2'],0.5685131195335277,0.6998645663261414,0.609375,0.4482758620689655
dendritic cell,['WDFY4'],0.6547619047619048,1.0,0.8461538461538461,0.34375
monocyte,"['MTSS1', 'AOAH']",0.5664160401002506,0.4864490330219269,0.7766323024054983,0.2719614921780987
macrophage,"['F13A1', 'STAB1']",0.6389452332657201,1.0,0.875,0.3073170731707317
alveolar macrophage,"['STAC', 'ABCG1']",0.8244972577696527,1.0,0.9726815240833931,0.5123059447179099
type I pneumocyte,"['LAMA3', 'ARHGEF26']",0.8930276981852913,1.0,0.96640826873385,0.684981684981685
unknown,"['LPCAT1', 'AFF3', 'ATP11A']",0.1512337490050411,0.1401470899581909,0.1383495145631068,0.241014799154334
type II pneumocyte,"['LAMP3', 'PTGFR']",0.8037578288100209,1.0,0.9030492572322126,0.5582406959884002
AT2/Club-like,"['HSD17B6', 'SLC22A3', 'PLCL1']",0.5919003115264797,0.3651454150676727,0.7450980392156863,0.3247863247863248
AT1/AT2-like,"['SECISBP2L', 'LINC02889']",0.3333333333333333,0.289135217666626,0.48,0.15
goblet cell,"['BPIFB1', 'CYP2F1']",0.7877813504823151,1.0,0.9074074074074074,0.5157894736842106
club cell,"['CP', 'KLK11']",0.5076923076923077,0.4526019096374511,0.6285714285714286,0.2869565217391304
basal cell,"['ITGA2', 'EYA2', 'ANOS1']",0.603448275862069,0.6031476855278015,1.0,0.2333333333333333
lymphatics,['PKHD1L1'],0.9116541353383458,1.0,0.9603960396039604,0.7578125
endothelial cell of artery,['DKK2'],0.8895705521472392,1.0,0.935483870967742,0.7435897435897436
vein endothelial cell,"['PLA1A', 'SAMD5']",0.6756756756756757,1.0,1.0,0.2941176470588235
blood vessel endothelial cell,"['COL15A1', 'TNFRSF10A']",0.6666666666666666,1.0,1.0,0.2857142857142857
endothelial cell,"['BTNL9', 'ADGRL2']",0.6997455470737913,0.7051042318344116,0.8461538461538461,0.4135338345864661
pericyte cell,['ADARB2'],0.8008658008658008,1.0,0.925,0.5211267605633803
vascular associated smooth muscle cell,"['NTRK3', 'ACTA2']",0.7377049180327869,0.7477059960365295,1.0,0.36
smooth muscle cell,"['MYOCD', 'SYNPO2']",0.6818181818181818,0.7744162082672119,1.0,0.3
myofibroblast cell,['UBASH3B'],0.3846153846153846,1.0,1.0,0.1111111111111111
fibroblast,"['SVEP1', 'ADH1B']",0.823890462700661,1.0,0.9667590027700832,0.5178041543026706
mast cell,"['KIT', 'SLC24A3']",0.8108108108108109,0.8992106914520264,1.0,0.4615384615384615
enucleate erythrocyte,"['RASGEF1B', 'FTH1', 'BACH1']",0.238095238095238,0.1757712811231613,0.5,0.0769230769230769
