author_cell_type,mean,std,median,count,q1,q3,f_score
enucleate erythrocyte,0.9516069355631159,0.010158868723342892,0.9508811976557332,13,0.9503355073325072,0.9565675295275878,0.238095238095238
lymphatics,0.9252329908953796,0.020625806620728444,0.9307634829887372,128,0.9188618869229359,0.9400971291373466,0.9116541353383458
ciliated cell,0.8815371316711383,0.025602482199225115,0.8890955557292827,240,0.872472788845514,0.8983637756533531,0.9615384615384616
B cell,0.8787672017313342,0.02824630271717452,0.887053401342126,87,0.8599097556128594,0.8983641881046713,0.5685131195335277
natural killer cell,0.7713237584521818,0.07024659542563741,0.7928130650885534,183,0.747646468334476,0.8128460912806739,0.5544147843942505
type I pneumocyte,0.7263078165079647,0.11974261340723524,0.7727478855856298,1092,0.703032723226366,0.7961191904933244,0.8930276981852913
dendritic cell,0.7102432686503312,0.13119058824966265,0.7727346230250651,32,0.6394200775122683,0.8020358563477401,0.6547619047619048
macrophage,0.7296927544734084,0.09224873068695388,0.7531971914759674,205,0.7074585136099389,0.7883635727658335,0.6389452332657201
goblet cell,0.6328159395761686,0.2095709107323965,0.7119520139309051,95,0.6332319026335483,0.744936760751898,0.7877813504823151
pericyte cell,0.6787617229275956,0.16237266025528257,0.7075325344455841,71,0.6755216306494767,0.7525470458165815,0.8008658008658008
myofibroblast cell,0.5637708393717704,0.17295540623254851,0.6505958998436383,18,0.42498670692411283,0.6853579904465559,0.3846153846153846
alveolar macrophage,0.3897825626413726,0.25403162877091884,0.4883159380759002,2641,0.3193758042398521,0.5520796884841606,0.8244972577696527
T cell,0.3480916478485092,0.20182612907445072,0.4215050998958657,596,0.27067135119486363,0.49457101337180004,0.7971619365609349
type II pneumocyte,0.30548371513875905,0.28314275301284536,0.4134293736406849,2069,0.205766215284376,0.5163610139886494,0.8037578288100209
monocyte,0.23537069481461373,0.26313890453365696,0.3250241940632419,831,0.13817474467667676,0.4158349333318433,0.5664160401002506
AT2/Club-like,0.27063478109895556,0.16258983341331568,0.3193757404048694,117,0.1798080026255402,0.3899467636270952,0.5919003115264797
vascular associated smooth muscle cell,0.10907327174341792,0.44804910359810207,0.3050927346240017,25,-0.3223943154119456,0.4637575912563911,0.7377049180327869
mast cell,0.07292040291451454,0.3638701882721636,0.2843242598773741,26,-0.1307905673551537,0.3349029801242014,0.8108108108108109
endothelial cell,0.17804883526315476,0.32832763511982127,0.26271977017474374,266,-0.10134647854957927,0.4976086417315368,0.6997455470737913
club cell,0.06637496530246206,0.38652323528189336,0.2351245493339155,230,-0.2635702174124279,0.4041135043848346,0.5076923076923077
fibroblast,0.21487520460795154,0.16221560276652106,0.23405592333229086,674,0.15199577209888704,0.3276446866057974,0.823890462700661
AT1/AT2-like,0.10300012541480794,0.24883644568462002,0.17115765001687294,80,-0.06927288443985365,0.32760998131541286,0.3333333333333333
endothelial cell of artery,0.05167565494866405,0.1027469102917913,0.0925133324492166,39,-0.060393221958318546,0.13930363917917105,0.8895705521472392
vein endothelial cell,-0.04851243465275808,0.12063187748595659,-0.05346302412186679,34,-0.17764820593089162,0.06178046692587867,0.6756756756756757
smooth muscle cell,-0.3312455012784409,0.14549620600999807,-0.3235651835216644,20,-0.3731230246231492,-0.24432550977796116,0.6818181818181818
basal cell,-0.4673313720339005,0.14121294802358977,-0.4265483523018522,60,-0.5055717886235825,-0.3983143186352503,0.603448275862069
chondrocyte,-0.7440061301609262,0.09488629339494818,-0.7324062246711017,37,-0.8250179329056307,-0.6490769873734339,0.3007518796992481
unknown,-0.7514156890835657,0.07900712645195188,-0.7640214707128253,473,-0.8074061276753234,-0.6942609347894575,0.1512337490050411
blood vessel endothelial cell,-0.7944639806150151,0.0922449262198951,-0.8456341738663826,7,-0.8483417697680964,-0.7046644079020763,0.6666666666666666
