clusterName,NSForest_markers,f_score
CD8T,"['SLFN12L', 'TC2N']",0.3063133281371785
Neutrophil,['FCGR3B'],0.8504519309778144
B_cell,"['BANK1', 'MS4A1']",0.8973384030418251
Plasma_cell,"['MZB1', 'DERL3']",0.9096612296110416
Mast_cell,"['TPSB2', 'CPA3']",0.9700520833333334
CD4T,"['CD3D', 'CAMK4']",0.7088176920895946
NK/NKT,"['FGFBP2', 'GZMB']",0.8626238141012246
Prolif.immune,"['MKI67', 'ASPM']",0.8684546615581098
Macrophage,"['GPD1', 'INHBA']",0.9353066829417148
DC1,"['C15orf48', 'CLEC10A', 'FCGR2B']",0.6454751865066494
DC2,"['FOLR2', 'IGSF21']",0.8613804905875642
Mono,"['FCN1', 'CD300E']",0.8763241161095061
SM/Pericyte,"['COX4I2', 'EGFL6']",0.8561884669479606
Fibroblast,"['LUM', 'FBLN1']",0.9156927266538069
Lymphatic_Cell,"['CCL21', 'TFF3']",0.926605504587156
Vein_cell,['ACKR1'],0.8916979842842501
Artery_cell,"['DKK2', 'SOX17']",0.7963655799037948
Capillary_Cell,"['BTNL9', 'KIAA1217']",0.861263512412407
AT1,"['AGER', 'SCEL']",0.8849557522123894
Cilia,['PTPRT'],0.7101110461718293
Club/Basal,"['KLK11', 'GSTA1']",0.821256038647343
AT2,"['NAPSA', 'SFTPD']",0.9691106585200272
