cluster,n_cells,percentage
b_age,27,0.01
b_gc,22,0.01
b_memory,1998,0.94
b_naive,1262,0.59
cd3_gd,1721,0.81
cd4_cm,7395,3.47
cd4_naive,2076,0.97
cd4_tem,7575,3.55
cd4_temra,1201,0.56
cd4_treg,3793,1.78
cd4_trm,4304,2.02
cd8_cm,237,0.11
cd8_mait,779,0.37
cd8_naive,995,0.47
cd8_tem,2948,1.38
cd8_temra,5224,2.45
cd8_trm,3112,1.46
dc1,149,0.07
dc2,1205,0.57
dc_migratory,221,0.1
ilc1,242,0.11
ilc3,266,0.12
macrophage,111047,52.1
mast_cell,2629,1.23
monocyte_classical,18166,8.52
monocyte_nonclassical,4558,2.14
nk_cd56br,4185,1.96
nk_cd56dim,22196,10.41
nk_ilc_precursor,2158,1.01
pdc,228,0.11
plasma_cell,271,0.13
plasmablast,625,0.29
progenitor,339,0.16
