software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,author_cell_type,nk_cd56br,4185,0.5779959042440506,0.6563753007217321,0.3911589008363202,208112,857,2548,1637,2,"['KLRC1', 'GZMK']","['ENSG00000134545', 'ENSG00000143184', 'ENSG00000113088', 'ENSG00000187118', 'ENSG00000143185', 'ENSG00000100385', 'ENSG00000006652', 'ENSG00000111796', 'ENSG00000221869', 'ENSG00000145675']",0.7717828750610352
4.1,author_cell_type,ilc1,242,0.1724137931034483,0.8333333333333334,0.0413223140495867,212910,2,232,10,1,['GZMA'],"['ENSG00000186891', 'ENSG00000239713', 'ENSG00000115523', 'ENSG00000153283', 'ENSG00000145649', 'ENSG00000271503', 'ENSG00000105374', 'ENSG00000173762', 'ENSG00000172543', 'ENSG00000102760']",0.1285067200660705
4.1,author_cell_type,nk_ilc_precursor,2158,0.3073336159389572,0.2900966988996332,0.4031510658016682,208867,2129,1288,870,4,"['XCL1', 'XCL2', 'GNLY', 'KLRD1']","['ENSG00000143184', 'ENSG00000143185', 'ENSG00000115523', 'ENSG00000159674', 'ENSG00000134539', 'ENSG00000100453', 'ENSG00000180644', 'ENSG00000105374', 'ENSG00000172543', 'ENSG00000275302']",0.292048841714859
4.1,author_cell_type,nk_cd56dim,22196,0.8549695740365112,0.9121182976677086,0.683636691295729,189496,1462,7022,15174,3,"['FGFBP2', 'GNLY', 'PRF1']","['ENSG00000137441', 'ENSG00000159674', 'ENSG00000150045', 'ENSG00000203747', 'ENSG00000115523', 'ENSG00000180644', 'ENSG00000100453', 'ENSG00000134539', 'ENSG00000198821', 'ENSG00000105374']",0.2435432225465774
4.1,author_cell_type,cd8_mait,779,0.4975952645209027,0.5592515592515592,0.3453145057766367,212163,212,510,269,2,"['SLC4A10', 'NCR3']","['ENSG00000144290', 'ENSG00000204475', 'ENSG00000274020', 'ENSG00000186654', 'ENSG00000167664', 'ENSG00000113088', 'ENSG00000139187', 'ENSG00000196781', 'ENSG00000111796', 'ENSG00000153563']",1.0
4.1,author_cell_type,cd8_trm,3112,0.356457242582897,0.3914710110206037,0.2625321336760925,208772,1270,2295,817,4,"['CD8A', 'CD96', 'CCL5', 'CD2']","['ENSG00000172116', 'ENSG00000153563', 'ENSG00000153283', 'ENSG00000134539', 'ENSG00000271503', 'ENSG00000116824', 'ENSG00000105374', 'ENSG00000102760', 'ENSG00000090104', 'ENSG00000172543']",0.1292088776826858
4.1,author_cell_type,cd4_trm,4304,0.3050239234449761,0.4587080948487326,0.1303438661710037,208188,662,3743,561,2,"['RBPJ', 'CD96']","['ENSG00000139289', 'ENSG00000168214', 'ENSG00000231721', 'ENSG00000147872', 'ENSG00000153283', 'ENSG00000013725', 'ENSG00000116824', 'ENSG00000102760', 'ENSG00000131981', 'ENSG00000168685']",0.2084772884845733
4.1,author_cell_type,cd3_gd,1721,0.067115947632989,0.0554499125275728,0.4235909355026148,199015,12418,992,729,4,"['ENSG00000211751', 'GZMH', 'NKG7', 'CTSW']","['ENSG00000211751', 'ENSG00000100450', 'ENSG00000115523', 'ENSG00000134539', 'ENSG00000105374', 'ENSG00000172543', 'ENSG00000271503', 'ENSG00000145675', 'ENSG00000160654', 'ENSG00000077984']",0.1473995447158813
4.1,author_cell_type,cd8_temra,5224,0.4992435703479576,0.5564588979223125,0.3537519142419602,206457,1473,3376,1848,4,"['GZMH', 'CD8B', 'CD8A', 'KLRD1']","['ENSG00000100450', 'ENSG00000172116', 'ENSG00000153563', 'ENSG00000115523', 'ENSG00000134539', 'ENSG00000213809', 'ENSG00000105374', 'ENSG00000271503', 'ENSG00000172543', 'ENSG00000160654']",0.1821719110012054
4.1,author_cell_type,cd8_tem,2948,0.3349964362081254,0.3248847926267281,0.3826322930800542,207862,2344,1820,1128,4,"['GZMH', 'CD8B', 'CD8A', 'GZMA']","['ENSG00000100450', 'ENSG00000172116', 'ENSG00000153563', 'ENSG00000134539', 'ENSG00000145649', 'ENSG00000213809', 'ENSG00000105374', 'ENSG00000271503', 'ENSG00000160654', 'ENSG00000203896']",0.2009702026844024
4.1,author_cell_type,plasmablast,625,0.8378088077336198,0.8634686346863468,0.7488,212455,74,157,468,2,"['SYNE3-AS1', 'TNFRSF17']","['ENSG00000259772', 'ENSG00000258572', 'ENSG00000101057', 'ENSG00000048462', 'ENSG00000211896', 'ENSG00000239264', 'ENSG00000166562', 'ENSG00000132465', 'ENSG00000110777', 'ENSG00000170476']",0.8478589057922363
4.1,author_cell_type,b_gc,22,0.3947368421052631,0.75,0.1363636363636363,213131,1,19,3,2,"['ENSG00000211666', 'FCRLA']","['ENSG00000211666', 'ENSG00000124243', 'ENSG00000141127', 'ENSG00000112699', 'ENSG00000132185', 'ENSG00000101057', 'ENSG00000118308', 'ENSG00000135363', 'ENSG00000110777', 'ENSG00000175130']",0.7306141257286072
4.1,author_cell_type,pdc,228,0.8834134615384616,0.9735099337748344,0.6447368421052632,212922,4,81,147,2,"['SHD', 'LRRC26']","['ENSG00000105251', 'ENSG00000184709', 'ENSG00000239961', 'ENSG00000070031', 'ENSG00000103056', 'ENSG00000198178', 'ENSG00000125869', 'ENSG00000166963', 'ENSG00000124780', 'ENSG00000106537']",1.0
4.1,author_cell_type,progenitor,339,0.5598755832037325,0.9473684210526316,0.2123893805309734,212811,4,267,72,2,"['PRSS57', 'BEX3']","['ENSG00000185198', 'ENSG00000166681', 'ENSG00000105810', 'ENSG00000198520', 'ENSG00000123179', 'ENSG00000163453', 'ENSG00000135363', 'ENSG00000124766', 'ENSG00000070081', 'ENSG00000117632']",1.0
4.1,author_cell_type,macrophage,111047,0.9426454647822108,0.98413483195447,0.806622421136996,100663,1444,21474,89573,1,['GPNMB'],"['ENSG00000136235', 'ENSG00000137491', 'ENSG00000159189', 'ENSG00000130208', 'ENSG00000155659', 'ENSG00000260314', 'ENSG00000153071', 'ENSG00000102575', 'ENSG00000177575', 'ENSG00000129226']",1.0
4.1,author_cell_type,monocyte_nonclassical,4558,0.6761848936526546,0.8748645720476707,0.3543220710838087,208365,231,2943,1615,2,"['ZNF703', 'LILRA5']","['ENSG00000183779', 'ENSG00000104974', 'ENSG00000129757', 'ENSG00000108798', 'ENSG00000187116', 'ENSG00000131042', 'ENSG00000126759', 'ENSG00000142089', 'ENSG00000143546', 'ENSG00000163220']",0.8354724645614624
4.1,author_cell_type,monocyte_classical,18166,0.891064323170571,0.93715790203007,0.7445777826709237,194081,907,4640,13526,2,"['S100A12', 'S100A9']","['ENSG00000163221', 'ENSG00000121316', 'ENSG00000038427', 'ENSG00000143546', 'ENSG00000163220', 'ENSG00000137801', 'ENSG00000085265', 'ENSG00000128383', 'ENSG00000187116', 'ENSG00000126759']",0.796789824962616
4.1,author_cell_type,dc2,1205,0.6006449879064768,0.7106518282988871,0.370954356846473,211767,182,758,447,2,"['PKIB', 'PLD4']","['ENSG00000135549', 'ENSG00000232629', 'ENSG00000160593', 'ENSG00000166428', 'ENSG00000179639', 'ENSG00000165795', 'ENSG00000160307', 'ENSG00000167641', 'ENSG00000237541', 'ENSG00000167642']",0.5981189012527466
4.1,author_cell_type,dc1,149,0.8856682769726248,0.9322033898305084,0.738255033557047,212997,8,39,110,2,"['CLEC9A', 'CADM1']","['ENSG00000197992', 'ENSG00000118292', 'ENSG00000184292', 'ENSG00000163687', 'ENSG00000182985', 'ENSG00000173578', 'ENSG00000085719', 'ENSG00000128815', 'ENSG00000106066', 'ENSG00000101439']",1.0
4.1,author_cell_type,dc_migratory,221,0.8246225319396051,0.8875,0.6425339366515838,212915,18,79,142,2,"['LAMP3', 'LAD1']","['ENSG00000078081', 'ENSG00000159166', 'ENSG00000075618', 'ENSG00000102962', 'ENSG00000172724', 'ENSG00000137571', 'ENSG00000213886', 'ENSG00000046604', 'ENSG00000064042', 'ENSG00000102970']",1.0
4.1,author_cell_type,b_age,27,0.6043956043956044,0.6875,0.4074074074074074,213122,5,16,11,3,"['CD22', 'FCRL5', 'FCGR2B']","['ENSG00000160856', 'ENSG00000012124', 'ENSG00000143297', 'ENSG00000227039', 'ENSG00000072694', 'ENSG00000132185', 'ENSG00000177455', 'ENSG00000105492', 'ENSG00000156738', 'ENSG00000105369']",0.7379307746887207
4.1,author_cell_type,b_memory,1998,0.7070240295748613,0.8968347010550997,0.3828828828828828,211068,88,1233,765,2,"['BANK1', 'TNFRSF13B']","['ENSG00000247982', 'ENSG00000136573', 'ENSG00000159958', 'ENSG00000153064', 'ENSG00000240505', 'ENSG00000211895', 'ENSG00000144218', 'ENSG00000177455', 'ENSG00000116191', 'ENSG00000156738']",0.3241460919380188
4.1,author_cell_type,b_naive,1262,0.6871689228958211,0.8745318352059925,0.3700475435816164,211825,67,795,467,2,"['ENSG00000211898', 'LINC00926']","['ENSG00000211898', 'ENSG00000163534', 'ENSG00000112182', 'ENSG00000211899', 'ENSG00000247982', 'ENSG00000167483', 'ENSG00000144218', 'ENSG00000159958', 'ENSG00000153064', 'ENSG00000116191']",0.8127206563949585
4.1,author_cell_type,cd4_temra,1201,0.2543842744266718,0.2647943831494483,0.2198168193172356,211220,733,937,264,4,"['KLRG1', 'FGFBP2', 'GZMH', 'CD6']","['ENSG00000139187', 'ENSG00000137441', 'ENSG00000100450', 'ENSG00000115523', 'ENSG00000013725', 'ENSG00000100453', 'ENSG00000105374', 'ENSG00000155307', 'ENSG00000160654', 'ENSG00000271503']",0.3412918448448181
4.1,author_cell_type,cd4_tem,7575,0.4483527865195394,0.5136923779096303,0.2971617161716172,203448,2131,5324,2251,3,"['TNFRSF25', 'CTLA4', 'ZNRF1']","['ENSG00000215788', 'ENSG00000163599', 'ENSG00000186187', 'ENSG00000110448', 'ENSG00000137078', 'ENSG00000178562', 'ENSG00000010610', 'ENSG00000013725', 'ENSG00000116824', 'ENSG00000227507']",0.4845678806304931
4.1,author_cell_type,cd4_treg,3793,0.8897730621868553,0.916793197692074,0.7959398892697074,209087,274,774,3019,1,['FOXP3'],"['ENSG00000049768', 'ENSG00000030419', 'ENSG00000134460', 'ENSG00000186827', 'ENSG00000280721', 'ENSG00000163599', 'ENSG00000178562', 'ENSG00000163600', 'ENSG00000186891', 'ENSG00000120875']",1.0
4.1,author_cell_type,cd8_cm,237,0.160183066361556,0.28,0.0590717299578059,212881,36,223,14,4,"['SORL1', 'GATA3', 'CD8B', 'TOB1']","['ENSG00000137642', 'ENSG00000107485', 'ENSG00000172116', 'ENSG00000142546', 'ENSG00000141232', 'ENSG00000153563', 'ENSG00000188404', 'ENSG00000023445', 'ENSG00000150347', 'ENSG00000168685']",0.431351363658905
4.1,author_cell_type,cd4_cm,7395,0.4413168929297961,0.5094656122693506,0.2874915483434753,203712,2047,5269,2126,2,"['ICOS', 'CCR7']","['ENSG00000178562', 'ENSG00000117602', 'ENSG00000163600', 'ENSG00000138795', 'ENSG00000081059', 'ENSG00000126353', 'ENSG00000165272', 'ENSG00000142546', 'ENSG00000188404', 'ENSG00000227507']",0.2018700391054153
4.1,author_cell_type,cd4_naive,2076,0.4515022860875245,0.5464426877470355,0.2663776493256262,210619,459,1523,553,3,"['TSHZ2', 'PRKCQ-AS1', 'SATB1']","['ENSG00000182463', 'ENSG00000172005', 'ENSG00000237943', 'ENSG00000138795', 'ENSG00000081059', 'ENSG00000182568', 'ENSG00000126353', 'ENSG00000196843', 'ENSG00000142546', 'ENSG00000188404']",0.4404468238353729
4.1,author_cell_type,cd8_naive,995,0.7429857984066505,0.9069767441860463,0.4311557788944724,212115,44,566,429,4,"['LINC02446', 'LEF1', 'CCR7', 'CD8B']","['ENSG00000256039', 'ENSG00000138795', 'ENSG00000081059', 'ENSG00000126353', 'ENSG00000070081', 'ENSG00000172116', 'ENSG00000142546', 'ENSG00000141232', 'ENSG00000188404', 'ENSG00000153563']",0.3431375026702881
4.1,author_cell_type,ilc3,266,0.2317073170731707,0.5277777777777778,0.0714285714285714,212871,17,247,19,3,"['TNFRSF18', 'KLRB1', 'AREG']","['ENSG00000125827', 'ENSG00000186891', 'ENSG00000196781', 'ENSG00000080503', 'ENSG00000111796', 'ENSG00000109321', 'ENSG00000168685', 'ENSG00000164442', 'ENSG00000123358', 'ENSG00000267519']",0.1539645940065384
4.1,author_cell_type,mast_cell,2629,0.9917835826680104,0.9964953271028038,0.9733739064282996,210516,9,70,2559,2,"['TPSAB1', 'CPA3']","['ENSG00000172236', 'ENSG00000197253', 'ENSG00000163751', 'ENSG00000179348', 'ENSG00000163106', 'ENSG00000157404', 'ENSG00000149534', 'ENSG00000263961', 'ENSG00000115602', 'ENSG00000069535']",1.0
4.1,author_cell_type,plasma_cell,271,0.5837173579109063,0.8,0.2804428044280442,212864,19,195,76,2,"['SPAG4', 'ENSG00000211895']","['ENSG00000211890', 'ENSG00000061656', 'ENSG00000115884', 'ENSG00000211895', 'ENSG00000123131', 'ENSG00000048462', 'ENSG00000132465', 'ENSG00000099958', 'ENSG00000239264', 'ENSG00000170476']",0.7844675779342651
