GSVA_anno_labels_lowcluster,mean,std,median,count,q1,q3,f_score
Basophil and Mast Cells,0.8545949034798271,0.08180284760536491,0.8726217406452343,1602,0.8453819403759266,0.8863294284597998,0.9721869443738888
Other Epithelial Cells,0.6947056515690261,0.34476308380927745,0.781589282653458,505,0.7610976462981511,0.7972903880666596,0.6928327645051194
Neutrophils,0.7362250013435063,0.14344634151241864,0.78037042519045,2301,0.7400401218414688,0.8042905287872067,0.745930644019816
Natural Killer Cells,0.7117768962729458,0.19281099222414336,0.7557681033915259,2495,0.7169926234790844,0.7935992567696086,0.8696299236035321
Lymphatic  Cells,0.7060972648372942,0.13483834710402515,0.7336423850792131,2014,0.6817005575362421,0.7677876648377421,0.9130582634323284
Ciliated Cells,0.6870216158787401,0.08606568838906484,0.7006512719458716,2299,0.6456692567851872,0.7359589661230272,0.9562200224512706
B Cells,0.594049594417744,0.3088780712641801,0.6922607216863854,290,0.6541345510889229,0.7229340964060761,0.6303236797274276
Stromal Cells,0.45853411732772054,0.34831141912401636,0.6458544843746772,2920,0.4282026424879738,0.6702151845436202,0.8613376835236541
AT1,0.5626378181581473,0.15085228873749373,0.6074477182590146,15141,0.5002000799141645,0.6752279694887667,0.9145255297621592
Vein,0.46768912908275273,0.25603396907738707,0.5635435229770832,3357,0.427487796585522,0.6176612444864145,0.8560783294341912
AT2,0.42033249036934245,0.23282360381898856,0.5015089802783506,39466,0.3386119978396387,0.5989692855793003,0.9904019350522362
Monocytes,0.36838742978821015,0.3102167951720591,0.47293909032432946,4596,0.27969652682376334,0.5864220648567529,0.8226355776788054
Macrophage and Dendritic Cells,0.40469601718006337,0.23570901738702557,0.4724176825953136,4153,0.3106827841581448,0.5867879132567745,0.5385115137515339
Capillary,0.30717787846045447,0.2330921768442898,0.3696690108225344,6989,0.2321517182954913,0.4659876814823069,0.6983136983136983
T Cells,0.24736661404131577,0.30516061525589355,0.3679099921168641,4889,0.1159209919068191,0.4726183926383551,0.8414349877764512
Macrophages,0.21059957117067454,0.25823819251291497,0.32650362358124396,9722,0.05175868634402005,0.4096660321840849,0.8941914563654307
Artery,0.191011156534039,0.29091386693939836,0.27367907740927455,5382,0.06122758100058605,0.4195234379614883,0.742217367558711
Proliferating Macrophage,-0.6313511975886708,0.18192892210631112,-0.7600282090782225,492,-0.7668483196613719,-0.41331446083305134,0.8048780487804879
