cluster,count
Macrophage,55481
Macrophage_Alveolar,23905
Macro_alv,14539
NK,13162
Endothelia_vascular_Cap_g,7788
Capillary,7391
T_CD4,7211
AT2,6851
cMonocyte,6106
Monocyte,6067
NK_CD16hi,5914
T_CD8_CytT,5755
Fibroblast,5470
Monocyte_CD14,4980
Ciliated,4822
Alveolar_Type2,4676
Macrophage_MARCOpos,4512
T,4410
Capillary Aerocyte,4352
Natural Killer,4250
Macro_int,4241
T_Cytotoxic,4061
Alveolar Epithelial Type 2,3814
CD4_EM/Effector,3606
Fibro_adventitial,3589
Monocyte_CD16,3050
Mast_cells,2911
CD8_EM,2865
Fibro_alveolar,2790
Blood_vessel,2694
Endothelia_Lymphatic,2662
ATII,2655
DC_2,2601
Endothelia_vascular_Cap_a,2458
CD4+ Memory/Effector T,2419
CD4_naive/CM,2413
Macrophage_intermediate,2309
Mast_cell,2209
Endothelia_vascular_venous_pulmonary,1762
AT1,1754
Endothelia_vascular_arterial_pulmonary,1692
NKT,1682
Pericyte,1632
B_cells,1551
CD8_EM/EMRA,1537
Endothelia_vascular_venous_systemic,1529
Basal,1509
Artery,1484
B,1477
Lymphatic,1440
Macro_CHIT1,1433
CD8+ Naive T,1411
cDC2,1364
Basophil/Mast 1,1349
B_memory,1348
CD4_TRM,1336
Alveolar Fibroblast,1296
Muscle_smooth_pulmonary,1159
Vein,1155
Club,1152
CD8_TRM/EM,1137
Muscle_pericyte_parenchyma,1087
ncMonocyte,1058
Classical Monocyte,1013
CD8_TRM,982
Alveolar Epithelial Type 1,972
Macrophage_MARCOneg,937
MAIT,879
Secretory_Club,871
Muscle_cells,839
CD8+ Memory/Effector T,771
Alveolar_Type1,764
NK_CD56bright,744
NK_CD11d,736
Airway Smooth Muscle,693
Signaling Alveolar Epithelial Type 2,669
Capillary Intermediate 1,628
Nonclassical Monocyte,604
gdT,573
Adventitial Fibroblast,557
Basophil/Mast 2,552
Fibro_myofibroblast,538
DC_activated,518
ATI,502
Mucous,491
T_regulatory,481
Vascular Smooth Muscle,469
Capillary Intermediate 2,464
B_naive,464
Secretory_Goblet,461
Bronchial Vessel 1,455
Myofibroblast,452
DC_1,447
VE_Capillary_B,436
T_reg,419
ILC,397
Lymph_vessel,337
Natural Killer T,335
Macro_alveolar_metallothioneins,332
DC_plasmacytoid,316
T_Regulatory,316
Erythrocyte,313
Suprabasal,312
Macro_CCL,295
B_plasma_IgG,295
CD4+ Naive T,288
Plasma_cells,287
IGSF21+ Dendritic,278
ILC_A,276
VE_Arterial,274
Muscle_pericyte_airway,265
Goblet,260
Fibro_peribronchial,258
Macro_interstitial,251
Differentiating Basal,249
B_plasma_IgA,244
DC_Monocyte_Dividing,242
Myeloid Dendritic Type 2,236
Bronchial Vessel 2,235
B_Plasma,232
Proliferating Macrophage,226
VE_Venous,226
OLR1+ Classical Monocyte,207
cDC1,199
VE_Capillary_A,192
Intermediate Monocyte,188
Macro_AW_CX3CR1,185
Plasma,181
Mast,165
TREM2+ Dendritic,159
Proximal Basal,157
DC_Mature,151
EREG+ Dendritic,142
ILC_B,137
Myeloid Dendritic Type 1,130
Macro_dividing,130
NK_Dividing,130
Plasmacytoid Dendritic,116
Proliferating NK/T,101
Fibromyocyte,98
Macrophage_Dividing,94
Muscle_smooth_syst_arterial,92
Mesothelia,90
Proximal Ciliated,88
T_cells_Dividing,88
VE_Peribronchial,83
Endothelia_vascular_arterial_systemic,83
Mesothelial,75
SMC,69
SMG_Basal,59
pDC,52
Fibro_immune_recruiting,51
B_plasmablast,50
Proliferating Basal,45
SMG_Mucous,37
Lipofibroblast,35
Dividing_AT2,34
SMG_Duct,33
Dividing_Basal,32
Deuterosomal,27
Muscle_perivascular_immune_recruiting,25
Serous,24
Ionocyte,22
Ionocyte_n_Brush,20
DC_Langerhans,18
SMG_Serous,18
NAF_endoneurial,18
PNEC,17
