cluster,n_cells,percentage
AT1,1754,0.55
AT2,6851,2.15
ATI,502,0.16
ATII,2655,0.83
Adventitial Fibroblast,557,0.17
Airway Smooth Muscle,693,0.22
Alveolar Epithelial Type 1,972,0.31
Alveolar Epithelial Type 2,3814,1.2
Alveolar Fibroblast,1296,0.41
Alveolar_Type1,764,0.24
Alveolar_Type2,4676,1.47
Artery,1484,0.47
B,1477,0.46
B_Plasma,232,0.07
B_cells,1551,0.49
B_memory,1348,0.42
B_naive,464,0.15
B_plasma_IgA,244,0.08
B_plasma_IgG,295,0.09
B_plasmablast,50,0.02
Basal,1509,0.47
Basophil/Mast 1,1349,0.42
Basophil/Mast 2,552,0.17
Blood_vessel,2694,0.85
Bronchial Vessel 1,455,0.14
Bronchial Vessel 2,235,0.07
CD4+ Memory/Effector T,2419,0.76
CD4+ Naive T,288,0.09
CD4_EM/Effector,3606,1.13
CD4_TRM,1336,0.42
CD4_naive/CM,2413,0.76
CD8+ Memory/Effector T,771,0.24
CD8+ Naive T,1411,0.44
CD8_EM,2865,0.9
CD8_EM/EMRA,1537,0.48
CD8_TRM,982,0.31
CD8_TRM/EM,1137,0.36
Capillary,7391,2.32
Capillary Aerocyte,4352,1.37
Capillary Intermediate 1,628,0.2
Capillary Intermediate 2,464,0.15
Ciliated,4822,1.51
Classical Monocyte,1013,0.32
Club,1152,0.36
DC_1,447,0.14
DC_2,2601,0.82
DC_Langerhans,18,0.01
DC_Mature,151,0.05
DC_Monocyte_Dividing,242,0.08
DC_activated,518,0.16
DC_plasmacytoid,316,0.1
Deuterosomal,27,0.01
Differentiating Basal,249,0.08
Dividing_AT2,34,0.01
Dividing_Basal,32,0.01
EREG+ Dendritic,142,0.04
Endothelia_Lymphatic,2662,0.84
Endothelia_vascular_Cap_a,2458,0.77
Endothelia_vascular_Cap_g,7788,2.45
Endothelia_vascular_arterial_pulmonary,1692,0.53
Endothelia_vascular_arterial_systemic,83,0.03
Endothelia_vascular_venous_pulmonary,1762,0.55
Endothelia_vascular_venous_systemic,1529,0.48
Erythrocyte,313,0.1
Fibro_adventitial,3589,1.13
Fibro_alveolar,2790,0.88
Fibro_immune_recruiting,51,0.02
Fibro_myofibroblast,538,0.17
Fibro_peribronchial,258,0.08
Fibroblast,5470,1.72
Fibromyocyte,98,0.03
Goblet,260,0.08
IGSF21+ Dendritic,278,0.09
ILC,397,0.12
ILC_A,276,0.09
ILC_B,137,0.04
Intermediate Monocyte,188,0.06
Ionocyte,22,0.01
Ionocyte_n_Brush,20,0.01
Lipofibroblast,35,0.01
Lymph_vessel,337,0.11
Lymphatic,1440,0.45
MAIT,879,0.28
Macro_AW_CX3CR1,185,0.06
Macro_CCL,295,0.09
Macro_CHIT1,1433,0.45
Macro_alv,14539,4.57
Macro_alveolar_metallothioneins,332,0.1
Macro_dividing,130,0.04
Macro_int,4241,1.33
Macro_interstitial,251,0.08
Macrophage,55481,17.42
Macrophage_Alveolar,23905,7.51
Macrophage_Dividing,94,0.03
Macrophage_MARCOneg,937,0.29
Macrophage_MARCOpos,4512,1.42
Macrophage_intermediate,2309,0.73
Mast,165,0.05
Mast_cell,2209,0.69
Mast_cells,2911,0.91
Mesothelia,90,0.03
Mesothelial,75,0.02
Monocyte,6067,1.91
Monocyte_CD14,4980,1.56
Monocyte_CD16,3050,0.96
Mucous,491,0.15
Muscle_cells,839,0.26
Muscle_pericyte_airway,265,0.08
Muscle_pericyte_parenchyma,1087,0.34
Muscle_perivascular_immune_recruiting,25,0.01
Muscle_smooth_pulmonary,1159,0.36
Muscle_smooth_syst_arterial,92,0.03
Myeloid Dendritic Type 1,130,0.04
Myeloid Dendritic Type 2,236,0.07
Myofibroblast,452,0.14
NAF_endoneurial,18,0.01
NK,13162,4.13
NKT,1682,0.53
NK_CD11d,736,0.23
NK_CD16hi,5914,1.86
NK_CD56bright,744,0.23
NK_Dividing,130,0.04
Natural Killer,4250,1.33
Natural Killer T,335,0.11
Nonclassical Monocyte,604,0.19
OLR1+ Classical Monocyte,207,0.07
PNEC,17,0.01
Pericyte,1632,0.51
Plasma,181,0.06
Plasma_cells,287,0.09
Plasmacytoid Dendritic,116,0.04
Proliferating Basal,45,0.01
Proliferating Macrophage,226,0.07
Proliferating NK/T,101,0.03
Proximal Basal,157,0.05
Proximal Ciliated,88,0.03
SMC,69,0.02
SMG_Basal,59,0.02
SMG_Duct,33,0.01
SMG_Mucous,37,0.01
SMG_Serous,18,0.01
Secretory_Club,871,0.27
Secretory_Goblet,461,0.14
Serous,24,0.01
Signaling Alveolar Epithelial Type 2,669,0.21
Suprabasal,312,0.1
T,4410,1.38
TREM2+ Dendritic,159,0.05
T_CD4,7211,2.26
T_CD8_CytT,5755,1.81
T_Cytotoxic,4061,1.28
T_Regulatory,316,0.1
T_cells_Dividing,88,0.03
T_reg,419,0.13
T_regulatory,481,0.15
VE_Arterial,274,0.09
VE_Capillary_A,192,0.06
VE_Capillary_B,436,0.14
VE_Peribronchial,83,0.03
VE_Venous,226,0.07
Vascular Smooth Muscle,469,0.15
Vein,1155,0.36
cDC1,199,0.06
cDC2,1364,0.43
cMonocyte,6106,1.92
gdT,573,0.18
ncMonocyte,1058,0.33
pDC,52,0.02
