clusterName,NSForest_markers,f_score
VE_Arterial,"['ENSG00000155011', 'ENSG00000047617']",0.5385852090032154
VE_Capillary_B,"['ENSG00000120549', 'ENSG00000047617']",0.5154639175257731
VE_Capillary_A,"['ENSG00000117114', 'ENSG00000185532']",0.6313131313131313
SMC,"['ENSG00000236060', 'ENSG00000163017']",0.746268656716418
Mesothelial,"['ENSG00000179914', 'ENSG00000184937']",0.4294478527607362
ATII,"['ENSG00000144331', 'ENSG00000178568']",0.8137838823386411
ATI,"['ENSG00000179399', 'ENSG00000260468']",0.5896607431340872
Ionocyte_n_Brush,"['ENSG00000242110', 'ENSG00000001626']",0.7291666666666666
Dividing_Basal,"['ENSG00000119969', 'ENSG00000188486', 'ENSG00000151725', 'ENSG00000089685', 'ENSG00000164611']",0.064516129032258
Secretory_Goblet,"['ENSG00000137648', 'ENSG00000263639']",0.6721595836947094
Macrophage_Alveolar,"['ENSG00000206190', 'ENSG00000119771']",0.7791462197739109
Macrophage,"['ENSG00000112394', 'ENSG00000128512']",0.6548421347974627
cMonocyte,"['ENSG00000163221', 'ENSG00000038427', 'ENSG00000008083']",0.5477855477855478
ncMonocyte,"['ENSG00000170873', 'ENSG00000137393']",0.4336043360433604
DC_Langerhans,"['ENSG00000158477', 'ENSG00000137672', 'ENSG00000135549', 'ENSG00000160307']",0.2702702702702703
cDC2,"['ENSG00000104043', 'ENSG00000138185', 'ENSG00000135549']",0.4442148760330578
cDC1,"['ENSG00000197992', 'ENSG00000105738']",0.5889724310776943
DC_Mature,"['ENSG00000164236', 'ENSG00000137266']",0.5988857938718662
Mast,"['ENSG00000172236', 'ENSG00000281131']",0.9327846364883402
T_Regulatory,['ENSG00000134460'],0.4076086956521739
T,"['ENSG00000245534', 'ENSG00000105717']",0.5418106427090532
T_Cytotoxic,"['ENSG00000255819', 'ENSG00000105717']",0.5831795668641352
ILC_A,"['ENSG00000140563', 'ENSG00000134545', 'ENSG00000255819']",0.2527573529411764
ILC_B,"['ENSG00000124813', 'ENSG00000145687', 'ENSG00000143184']",0.233160621761658
B,"['ENSG00000159958', 'ENSG00000164330']",0.6117800195248942
pDC,"['ENSG00000267337', 'ENSG00000105426']",0.4891304347826087
B_Plasma,['ENSG00000239264'],0.4285714285714285
PNEC,"['ENSG00000134443', 'ENSG00000157168']",0.7777777777777778
VE_Peribronchial,"['ENSG00000151789', 'ENSG00000249859']",0.4098360655737705
VE_Venous,"['ENSG00000144837', 'ENSG00000047617']",0.5245901639344263
Suprabasal,"['ENSG00000167656', 'ENSG00000137975']",0.5729166666666666
SMG_Basal,"['ENSG00000186847', 'ENSG00000125398', 'ENSG00000105281']",0.5960264900662252
Basal,"['ENSG00000171346', 'ENSG00000128422']",0.7420526793823796
Goblet,"['ENSG00000197446', 'ENSG00000127324']",0.4104477611940298
Differentiating Basal,"['ENSG00000230937', 'ENSG00000137975', 'ENSG00000198643']",0.499001996007984
Proximal Basal,"['ENSG00000230937', 'ENSG00000112902', 'ENSG00000186081', 'ENSG00000146674']",0.6744186046511628
Proliferating Basal,"['ENSG00000168078', 'ENSG00000230937']",0.8823529411764706
Ionocyte,"['ENSG00000143001', 'ENSG00000176009']",0.8673469387755102
Proximal Ciliated,"['ENSG00000120471', 'ENSG00000213123', 'ENSG00000073737']",0.6140350877192983
Ciliated,"['ENSG00000164972', 'ENSG00000179902']",0.9279764821166095
Fibro_myofibroblast,"['ENSG00000117122', 'ENSG00000164932', 'ENSG00000163359']",0.3842315369261477
Fibro_adventitial,"['ENSG00000145423', 'ENSG00000174348']",0.5164510166358596
Mesothelia,"['ENSG00000116690', 'ENSG00000179914']",0.62
Muscle_pericyte_airway,"['ENSG00000119147', 'ENSG00000127954']",0.6027164685908319
Muscle_perivascular_immune_recruiting,['ENSG00000143248'],0.3333333333333333
Muscle_smooth_syst_arterial,['ENSG00000205362'],0.2651515151515151
Muscle_smooth_pulmonary,"['ENSG00000119147', 'ENSG00000107796', 'ENSG00000149591']",0.6669547680783636
Muscle_pericyte_parenchyma,"['ENSG00000143248', 'ENSG00000131097']",0.6888733868154866
Pericyte,"['ENSG00000131097', 'ENSG00000145569']",0.6746920492721165
Airway Smooth Muscle,"['ENSG00000118194', 'ENSG00000064205']",0.5475578406169666
Alveolar_Type1,['ENSG00000189334'],0.1157407407407407
Alveolar_Type2,"['ENSG00000248890', 'ENSG00000169689', 'ENSG00000122852']",0.7823768028846154
AT2,"['ENSG00000257520', 'ENSG00000122852']",0.8516998126818381
Dividing_AT2,"['ENSG00000196188', 'ENSG00000105976']",0.131578947368421
AT1,"['ENSG00000257520', 'ENSG00000182010']",0.6167716084716657
Alveolar Epithelial Type 1,"['ENSG00000182010', 'ENSG00000142871']",0.7496413199426112
NAF_endoneurial,"['ENSG00000164530', 'ENSG00000189058']",0.5555555555555556
Fibro_peribronchial,"['ENSG00000175745', 'ENSG00000181104', 'ENSG00000189058']",0.4351535836177474
Fibro_alveolar,"['ENSG00000158747', 'ENSG00000071282']",0.5726508555989193
Fibro_immune_recruiting,"['ENSG00000172724', 'ENSG00000143196']",0.3623188405797101
Deuterosomal,"['ENSG00000164287', 'ENSG00000257167']",0.6593406593406593
SMG_Mucous,['ENSG00000078898'],0.9887005649717514
SMG_Duct,"['ENSG00000134827', 'ENSG00000134339', 'ENSG00000176597']",0.5072463768115942
Secretory_Club,"['ENSG00000149021', 'ENSG00000168878', 'ENSG00000013588']",0.5371900826446281
SMG_Serous,"['ENSG00000086696', 'ENSG00000159763']",0.5263157894736842
Serous,"['ENSG00000184530', 'ENSG00000160678']",0.8928571428571429
Mucous,"['ENSG00000105641', 'ENSG00000248771', 'ENSG00000134339']",0.7896575821104123
Signaling Alveolar Epithelial Type 2,"['ENSG00000106992', 'ENSG00000133661', 'ENSG00000185303']",0.1889053760986188
Alveolar Epithelial Type 2,"['ENSG00000203878', 'ENSG00000131400']",0.7777615642784182
Club,"['ENSG00000256612', 'ENSG00000164265']",0.6560150375939849
Endothelia_vascular_Cap_g,"['ENSG00000142748', 'ENSG00000140105']",0.5705298690671031
Endothelia_vascular_Cap_a,"['ENSG00000132688', 'ENSG00000115602']",0.4793200140203295
Capillary Aerocyte,"['ENSG00000188015', 'ENSG00000136160']",0.7385438474063736
Capillary Intermediate 1,"['ENSG00000099290', 'ENSG00000171243', 'ENSG00000188015', 'ENSG00000277494']",0.5145348837209303
Capillary,"['ENSG00000078401', 'ENSG00000167434']",0.7273240829008226
Capillary Intermediate 2,"['ENSG00000168497', 'ENSG00000065054', 'ENSG00000205364']",0.4177215189873418
Erythrocyte,"['ENSG00000244734', 'ENSG00000158578']",0.7913669064748201
B_plasma_IgA,"['ENSG00000211592', 'ENSG00000132465']",0.3289473684210526
B_plasma_IgG,"['ENSG00000211592', 'ENSG00000123131']",0.3741935483870968
Plasma_cells,"['ENSG00000187837', 'ENSG00000211592']",0.7088989441930619
T_CD4,"['ENSG00000277734', 'ENSG00000168685', 'ENSG00000121966']",0.4608393706863291
T_CD8_CytT,"['ENSG00000277734', 'ENSG00000105374', 'ENSG00000133321']",0.5159933180721401
CD8_EM/EMRA,"['ENSG00000160654', 'ENSG00000153563', 'ENSG00000104964', 'ENSG00000100450']",0.4657914668013128
NKT,"['ENSG00000115523', 'ENSG00000167286', 'ENSG00000105374', 'ENSG00000077984', 'ENSG00000198851']",0.1860858532459293
gdT,"['ENSG00000205809', 'ENSG00000115523', 'ENSG00000116824']",0.261501210653753
NK_CD56bright,"['ENSG00000145675', 'ENSG00000143184', 'ENSG00000111796']",0.2415026833631484
ILC,"['ENSG00000143184', 'ENSG00000111796', 'ENSG00000168685']",0.2484076433121019
MAIT,"['ENSG00000111796', 'ENSG00000168685']",0.3126526624328285
CD8_TRM/EM,"['ENSG00000113088', 'ENSG00000153563', 'ENSG00000077984']",0.1727054842802763
T_reg,"['ENSG00000008517', 'ENSG00000089327']",0.0638617580766341
Mast_cells,"['ENSG00000172236', 'ENSG00000197253']",0.5084490610063603
Mast_cell,['ENSG00000095917'],0.7482167248444377
DC_activated,"['ENSG00000107551', 'ENSG00000126353']",0.6397459165154264
DC_1,"['ENSG00000197992', 'ENSG00000163687']",0.5780164245104232
DC_plasmacytoid,"['ENSG00000166428', 'ENSG00000211592']",0.5481283422459893
B_plasmablast,"['ENSG00000048462', 'ENSG00000176890']",0.5864197530864198
B_naive,"['ENSG00000100721', 'ENSG00000158517']",0.5796089385474861
B_memory,"['ENSG00000156738', 'ENSG00000153064']",0.3793684855916615
B_cells,"['ENSG00000156738', 'ENSG00000211592']",0.7232704402515723
T_regulatory,"['ENSG00000181847', 'ENSG00000277734']",0.2688860435339308
Vascular Smooth Muscle,"['ENSG00000074527', 'ENSG00000107796', 'ENSG00000166482']",0.4759825327510917
Fibromyocyte,"['ENSG00000164764', 'ENSG00000114200']",0.7116788321167883
Muscle_cells,"['ENSG00000160613', 'ENSG00000198523', 'ENSG00000107796']",0.5981862574119289
Fibroblast,"['ENSG00000164647', 'ENSG00000158747']",0.5998360823686097
Adventitial Fibroblast,"['ENSG00000064205', 'ENSG00000196136', 'ENSG00000091986']",0.6071118820468343
Lipofibroblast,"['ENSG00000105825', 'ENSG00000184254', 'ENSG00000105894']",0.7009345794392523
Alveolar Fibroblast,"['ENSG00000118523', 'ENSG00000139329']",0.742526518804243
Myofibroblast,['ENSG00000145147'],0.2604166666666667
Lymphatic,"['ENSG00000173320', 'ENSG00000138722']",0.6486568986568987
Endothelia_Lymphatic,"['ENSG00000160691', 'ENSG00000138722']",0.7049518569463549
CD4_naive/CM,"['ENSG00000168685', 'ENSG00000198851', 'ENSG00000127528']",0.2762535477767265
CD4_EM/Effector,"['ENSG00000168685', 'ENSG00000118503']",0.1963959475170237
CD4_TRM,"['ENSG00000008517', 'ENSG00000132002', 'ENSG00000132965', 'ENSG00000103187']",0.1293588301462317
CD8_TRM,"['ENSG00000153563', 'ENSG00000151883', 'ENSG00000116824', 'ENSG00000100453']",0.1856649395509499
CD8_EM,"['ENSG00000172116', 'ENSG00000173762', 'ENSG00000168685']",0.3334992533598805
NK_CD11d,"['ENSG00000100450', 'ENSG00000198821', 'ENSG00000134539', 'ENSG00000153234']",0.2044025157232704
NK_CD16hi,"['ENSG00000104964', 'ENSG00000173762', 'ENSG00000105374']",0.5992134676417828
NK,"['ENSG00000150045', 'ENSG00000111796', 'ENSG00000134539']",0.4856595927258325
NK_Dividing,"['ENSG00000211829', 'ENSG00000151725', 'ENSG00000176890']",0.6040268456375839
T_cells_Dividing,"['ENSG00000167513', 'ENSG00000277734', 'ENSG00000171848']",0.6712962962962963
Lymph_vessel,"['ENSG00000103544', 'ENSG00000138722', 'ENSG00000145337']",0.5249569707401033
Artery,"['ENSG00000155011', 'ENSG00000165507']",0.7036790780141844
Vein,"['ENSG00000213088', 'ENSG00000107317', 'ENSG00000163815']",0.640817274204783
Bronchial Vessel 2,"['ENSG00000152661', 'ENSG00000196843', 'ENSG00000135218']",0.2576112412177986
Bronchial Vessel 1,"['ENSG00000163762', 'ENSG00000164056', 'ENSG00000162618']",0.3091624508150646
Blood_vessel,"['ENSG00000183615', 'ENSG00000267107', 'ENSG00000152583', 'ENSG00000163453']",0.4230006609385327
Endothelia_vascular_venous_systemic,"['ENSG00000204291', 'ENSG00000213088']",0.5061631261473905
Endothelia_vascular_venous_pulmonary,"['ENSG00000130300', 'ENSG00000112936', 'ENSG00000110799']",0.4902534113060429
Endothelia_vascular_arterial_systemic,"['ENSG00000128567', 'ENSG00000163520']",0.3488372093023256
Endothelia_vascular_arterial_pulmonary,"['ENSG00000265107', 'ENSG00000146674']",0.519019248395967
Basophil/Mast 2,"['ENSG00000049249', 'ENSG00000171101']",0.741701244813278
Basophil/Mast 1,"['ENSG00000171101', 'ENSG00000197253']",0.6631275868274249
Plasma,"['ENSG00000230006', 'ENSG00000240505', 'ENSG00000048462']",0.7504215851602024
CD4+ Memory/Effector T,"['ENSG00000203896', 'ENSG00000213402', 'ENSG00000116824', 'ENSG00000167286']",0.504581064931616
CD8+ Memory/Effector T,"['ENSG00000113088', 'ENSG00000213402', 'ENSG00000167286', 'ENSG00000105374']",0.4410039878020174
CD4+ Naive T,"['ENSG00000237943', 'ENSG00000203896', 'ENSG00000234741']",0.3125
Natural Killer,"['ENSG00000213402', 'ENSG00000111796', 'ENSG00000100453']",0.780165963814447
CD8+ Naive T,"['ENSG00000100450', 'ENSG00000213402', 'ENSG00000167286', 'ENSG00000105374']",0.5501583949313622
Natural Killer T,"['ENSG00000205809', 'ENSG00000134545', 'ENSG00000143184', 'ENSG00000213402']",0.5405405405405406
Proliferating NK/T,"['ENSG00000213658', 'ENSG00000148773']",0.639344262295082
Plasmacytoid Dendritic,"['ENSG00000269404', 'ENSG00000173457']",0.754950495049505
Myeloid Dendritic Type 2,"['ENSG00000158481', 'ENSG00000166428', 'ENSG00000131401']",0.56
Myeloid Dendritic Type 1,"['ENSG00000131401', 'ENSG00000261040']",0.3260869565217391
IGSF21+ Dendritic,"['ENSG00000204136', 'ENSG00000250722']",0.7337662337662337
OLR1+ Classical Monocyte,"['ENSG00000106952', 'ENSG00000145901', 'ENSG00000224397']",0.4322766570605187
EREG+ Dendritic,"['ENSG00000258227', 'ENSG00000187474', 'ENSG00000235655', 'ENSG00000125810']",0.4294478527607362
Classical Monocyte,"['ENSG00000163221', 'ENSG00000235655']",0.6627175120325806
Intermediate Monocyte,"['ENSG00000127507', 'ENSG00000111913', 'ENSG00000188820', 'ENSG00000186407', 'ENSG00000125538']",0.3350515463917525
Nonclassical Monocyte,"['ENSG00000224397', 'ENSG00000203747']",0.6554441260744985
TREM2+ Dendritic,"['ENSG00000146070', 'ENSG00000204136', 'ENSG00000095970', 'ENSG00000002933']",0.6208425720620843
Macro_CCL,"['ENSG00000115009', 'ENSG00000158517', 'ENSG00000163734', 'ENSG00000166920']",0.1067961165048543
Macro_interstitial,"['ENSG00000169245', 'ENSG00000242616']",0.5058043117744611
Monocyte_CD16,"['ENSG00000140105', 'ENSG00000203747']",0.4636926540951309
Monocyte_CD14,"['ENSG00000163221', 'ENSG00000038427', 'ENSG00000090382']",0.6102390552995391
Monocyte,"['ENSG00000257764', 'ENSG00000085265']",0.6684834882975312
DC_2,"['ENSG00000072694', 'ENSG00000158481']",0.5462184873949579
DC_Monocyte_Dividing,"['ENSG00000163041', 'ENSG00000178999', 'ENSG00000135549', 'ENSG00000148773']",0.6274131274131274
Macrophage_MARCOneg,"['ENSG00000124491', 'ENSG00000165457']",0.3831150738367233
Proliferating Macrophage,"['ENSG00000243749', 'ENSG00000117632', 'ENSG00000129226']",0.7827476038338658
Macrophage_Dividing,"['ENSG00000243961', 'ENSG00000101084', 'ENSG00000166803']",0.7541899441340782
Macrophage_MARCOpos,"['ENSG00000169627', 'ENSG00000224397', 'ENSG00000165140']",0.7714180206794683
Macro_alveolar_metallothioneins,"['ENSG00000125144', 'ENSG00000129226', 'ENSG00000243678']",0.5567226890756303
Macro_alv,"['ENSG00000165140', 'ENSG00000111144', 'ENSG00000129226']",0.5566452485627325
Macro_dividing,"['ENSG00000196549', 'ENSG00000165140', 'ENSG00000173369', 'ENSG00000197451', 'ENSG00000115414', 'ENSG00000173372']",0.1056338028169014
Macro_CHIT1,"['ENSG00000133063', 'ENSG00000136235']",0.5164150491253295
Macro_int,"['ENSG00000100600', 'ENSG00000153071']",0.3372998512555779
Macro_AW_CX3CR1,"['ENSG00000163734', 'ENSG00000159189', 'ENSG00000243678', 'ENSG00000173369', 'ENSG00000112149']",0.1199040767386091
Macrophage_intermediate,"['ENSG00000124882', 'ENSG00000173391', 'ENSG00000153234', 'ENSG00000129226']",0.2996677740863787
