clusterName,NSForest_markers,f_score
VE_Arterial,"['DKK2', 'ANO2']",0.5385852090032154
VE_Capillary_B,"['KIAA1217', 'ANO2']",0.5154639175257731
VE_Capillary_A,"['ADGRL2', 'PRKG1']",0.6313131313131313
SMC,"['ENSG00000236060', 'ACTG2']",0.746268656716418
Mesothelial,"['ITLN1', 'WT1']",0.4294478527607362
ATII,"['ZNF385B', 'ERBB4']",0.8137838823386411
ATI,"['GPC5', 'LINC01290']",0.5896607431340872
Ionocyte_n_Brush,"['AMACR', 'CFTR']",0.7291666666666666
Dividing_Basal,"['HELLS', 'H2AX', 'CENPU', 'BIRC5', 'PTTG1']",0.064516129032258
Secretory_Goblet,"['TMPRSS4', 'MSMB']",0.6721595836947094
Macrophage_Alveolar,"['ATP10A', 'KLHL29']",0.7791462197739109
Macrophage,"['SLC16A10', 'DOCK4']",0.6548421347974627
cMonocyte,"['S100A12', 'VCAN', 'JARID2']",0.5477855477855478
ncMonocyte,"['MTSS1', 'RNF144B']",0.4336043360433604
DC_Langerhans,"['CD1A', 'TRPC6', 'PKIB', 'S100B']",0.2702702702702703
cDC2,"['ATP8B4', 'ENTPD1', 'PKIB']",0.4442148760330578
cDC1,"['CLEC9A', 'SIPA1L3']",0.5889724310776943
DC_Mature,"['ANKRD33B', 'SLC22A23']",0.5988857938718662
Mast,"['TPSAB1', 'SCHLAP1']",0.9327846364883402
T_Regulatory,['IL2RA'],0.4076086956521739
T,"['RORA-AS1', 'PBX4']",0.5418106427090532
T_Cytotoxic,"['ENSG00000255819', 'PBX4']",0.5831795668641352
ILC_A,"['MCTP2', 'KLRC1', 'ENSG00000255819']",0.2527573529411764
ILC_B,"['RUNX2', 'SSBP2', 'XCL1']",0.233160621761658
B,"['TNFRSF13C', 'EBF1']",0.6117800195248942
pDC,"['LINC01478', 'PTPRS']",0.4891304347826087
B_Plasma,['TXNDC5'],0.4285714285714285
PNEC,"['GRP', 'NRG1']",0.7777777777777778
VE_Peribronchial,"['ZNF385D', 'PVT1']",0.4098360655737705
VE_Venous,"['PLA1A', 'ANO2']",0.5245901639344263
Suprabasal,"['LY6D', 'CLCA2']",0.5729166666666666
SMG_Basal,"['KRT14', 'SOX9', 'SLC1A5']",0.5960264900662252
Basal,"['KRT15', 'KRT17']",0.7420526793823796
Goblet,"['CYP2F1', 'TSPAN8']",0.4104477611940298
Differentiating Basal,"['MIR205HG', 'CLCA2', 'FAM3D']",0.499001996007984
Proximal Basal,"['MIR205HG', 'SEMA5A', 'KRT5', 'IGFBP3']",0.6744186046511628
Proliferating Basal,"['PBK', 'MIR205HG']",0.8823529411764706
Ionocyte,"['TMEM61', 'ASCL3']",0.8673469387755102
Proximal Ciliated,"['TP53AIP1', 'DYNLT2B', 'DHRS9']",0.6140350877192983
Ciliated,"['SPMIP6', 'CFAP276']",0.9279764821166095
Fibro_myofibroblast,"['MFAP2', 'CTHRC1', 'COL6A3']",0.3842315369261477
Fibro_adventitial,"['SFRP2', 'PODN']",0.5164510166358596
Mesothelia,"['PRG4', 'ITLN1']",0.62
Muscle_pericyte_airway,"['ECRG4', 'STEAP4']",0.6027164685908319
Muscle_perivascular_immune_recruiting,['RGS5'],0.3333333333333333
Muscle_smooth_syst_arterial,['MT1A'],0.2651515151515151
Muscle_smooth_pulmonary,"['ECRG4', 'ACTA2', 'TAGLN']",0.6669547680783636
