Original_annotation,mean,std,median,count,q1,q3,f_score
PNEC,0.6721907970588236,0.17336039653522736,0.76023966,17,0.6738025,0.77877796,0.7777777777777778
Proximal Ciliated,0.5799342982954546,0.19378791105361917,0.65881598,88,0.5171693749999999,0.6959883250000001,0.6140350877192983
Capillary Intermediate 1,0.5139324620238854,0.20214265923404431,0.580836,628,0.442910775,0.649469885,0.5145348837209303
Proliferating NK/T,0.5306148987722772,0.15014720517200159,0.578635,101,0.45729706,0.6487894,0.639344262295082
Muscle_pericyte_airway,0.4415926276226415,0.2754328944584228,0.5673542,265,0.42521903,0.6153085,0.6027164685908319
Plasma,0.4313339507160221,0.3019878699278388,0.5670044,181,0.39387146,0.62350774,0.7504215851602024
VE_Capillary_A,0.44565121201822916,0.27411901338534844,0.55471477,192,0.46196155,0.5889526625,0.6313131313131313
Lipofibroblast,0.4454712785714286,0.1842127363692661,0.5101741,35,0.44408077,0.54607918,0.7009345794392523
Natural Killer,0.3821295925785412,0.23992712698204027,0.478438245,4250,0.33376708,0.534468855,0.780165963814447
Mucous,0.2965920718860081,0.2861787764213637,0.40181172,491,0.203956645,0.508184,0.7896575821104123
Basophil/Mast 2,0.2777256776576087,0.24951203807209885,0.388880165,552,0.1750324325,0.4516110175,0.741701244813278
ATI,0.28879830227091635,0.1885657438842086,0.3624701,502,0.1921793175,0.4300777075,0.5896607431340872
Macrophage_Dividing,0.20529571058510637,0.3861471736206068,0.353125915,94,0.322736645,0.3823937975,0.7541899441340782
Alveolar Fibroblast,0.2177379013425463,0.27682077885491513,0.33401363,1296,0.06436011650000001,0.429762955,0.742526518804243
Pericyte,0.209301447211152,0.26268959642990813,0.325768005,1632,0.057158284999999996,0.4105689925,0.6746920492721165
Capillary Aerocyte,0.15951629566533249,0.3618382132441849,0.31867686500000003,4352,-0.12333912749999999,0.45887234,0.7385438474063736
Secretory_Goblet,0.10572967849045553,0.40182051251986645,0.31727615,461,-0.18957412,0.4283927,0.6721595836947094
ATII,0.25919702134173256,0.1909302300310227,0.3159311,2655,0.13523173,0.420777905,0.8137838823386411
ILC_B,0.2594580731467153,0.16221995988456306,0.31420562,137,0.1713176,0.3983224,0.233160621761658
VE_Capillary_B,0.2514621853883945,0.19338655881058328,0.3001318,436,0.183762135,0.37608155499999996,0.5154639175257731
B_cells,0.20262826257665764,0.22099233351871855,0.27802214,1551,0.09181065499999999,0.38141180500000005,0.7232704402515723
Signaling Alveolar Epithelial Type 2,0.14986824820635275,0.3267582876890855,0.27794126,669,-0.10997492,0.4287327,0.1889053760986188
Alveolar Epithelial Type 1,0.1928710282975309,0.23034939887201616,0.27724116,972,0.044351945749999996,0.3920300125,0.7496413199426112
ILC_A,0.1935865660478261,0.24837966651238577,0.26402950000000003,276,0.1417769025,0.3554640125,0.2527573529411764
Nonclassical Monocyte,0.15115774343014238,0.28427496238972,0.262400105,604,-0.0731561025,0.404563885,0.6554441260744985
Deuterosomal,0.06942112440740741,0.39098177324015293,0.26212007,27,-0.32653112500000003,0.374569295,0.6593406593406593
Airway Smooth Muscle,0.09088424201572871,0.3352902931866501,0.257784,693,-0.16096495,0.3671751,0.5475578406169666
Mast,0.1263621282848485,0.2817519381467927,0.23637043,165,0.13616544,0.29073378,0.9327846364883402
Basophil/Mast 1,0.1353881233994811,0.25227333875771485,0.2333277,1349,-0.033471618,0.34079581,0.6631275868274249
Lymphatic,0.13458205206892362,0.2529384357433792,0.230465825,1440,-0.1364101475,0.347672975,0.6486568986568987
Macrophage_Alveolar,0.14280966808564666,0.31274480452507886,0.22197369,23905,-0.08364434,0.41454858,0.7791462197739109
Alveolar_Type2,0.11269420112285351,0.31405506286940765,0.21860072000000003,4676,-0.096129128,0.3688890225,0.7823768028846154
IGSF21+ Dendritic,0.17232116836079137,0.15139447569729075,0.213183725,278,0.1403136625,0.2599775775,0.7337662337662337
Capillary Intermediate 2,0.08989060314202586,0.32824905311162295,0.201154475,464,-0.0802567025,0.349552225,0.4177215189873418
B,0.12522236283246357,0.21696563296620255,0.19668901,1477,0.00081911404,0.2938618,0.6117800195248942
