clusterName,gene
Mast cells,TPSB2
Mast cells,PTGS1
Dendritic cells,MPEG1
Dendritic cells,RNASE6
Neutrophils & macrophages,CSF3R
Neutrophils & macrophages,ENSG00000229644
NK cells,ENSG00000213849
NK cells,ENSG00000227852
MT gene enriched cells,ERCC-00022
MT gene enriched cells,BPIFA1
T cells,CCL5
Suprabasal cells,ERRFI1
Suprabasal cells,NR4A3
Basal cells,THSD4
Basal cells,COL7A1
Basal II cells,PKP1
Basal II cells,HPGD
Basal II cells,ANXA8
Ionocytes,CLCNKB
Ionocytes,STAP1
Peri-goblet cells,ENSG00000228236
Peri-goblet cells,GPX2
Peri-goblet cells,NOTCH3
Secretory cells (HLA-DQA1),ENSG00000228349
Secretory cells (HLA-DQA1),CAPN13
Goblet cells,CEACAM5
Goblet cells,MUC13
Club cells,ENSG00000255446
Club cells,STEAP4
Maturing ciliated cells,FOXN4
Maturing ciliated cells,SHISA8
Ciliated cells,CFAP52
Ciliated cells,CFAP157
