clusterName,NSForest_markers,f_score
Mast cells,"['TPSB2', 'PTGS1']",0.963855421686747
Dendritic cells,"['MPEG1', 'RNASE6']",0.8527131782945736
Neutrophils & macrophages,"['CSF3R', 'ENSG00000229644']",0.9561128526645768
NK cells,"['ENSG00000213849', 'ENSG00000227852']",0.4117647058823529
MT gene enriched cells,"['ERCC-00022', 'BPIFA1']",0.4310344827586206
T cells,['CCL5'],0.8504923903312444
Suprabasal cells,"['ERRFI1', 'NR4A3']",0.7142857142857143
Basal cells,"['THSD4', 'COL7A1']",0.6560636182902585
Basal II cells,"['PKP1', 'HPGD', 'ANXA8']",0.5102040816326531
Ionocytes,"['CLCNKB', 'STAP1']",0.9248554913294798
Peri-goblet cells,"['ENSG00000228236', 'GPX2', 'NOTCH3']",0.4752066115702479
Secretory cells (HLA-DQA1),"['ENSG00000228349', 'CAPN13']",0.6073211314475874
Goblet cells,"['CEACAM5', 'MUC13']",0.7099236641221374
Club cells,"['ENSG00000255446', 'STEAP4']",0.7070707070707071
Maturing ciliated cells,"['FOXN4', 'SHISA8']",0.9210526315789472
Ciliated cells,"['CFAP52', 'CFAP157']",0.95
