,Basal II cells,Basal cells,Ciliated cells,Club cells,Dendritic cells,Goblet cells,Ionocytes,MT gene enriched cells,Mast cells,Maturing ciliated cells,NK cells,Neutrophils & macrophages,Peri-goblet cells,Secretory cells (HLA-DQA1),Suprabasal cells,T cells
TSPAN6,0.550274895772055,0.0,1.3260501802211901,0.9191049432320735,0.0,0.9678706229089197,0.481456042953039,0.0,0.0,0.9992717653733905,0.0,0.0,0.8066355353690662,0.8739490465891885,0.0,0.0
DPM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3004513206302648,0.0,0.0,0.0,0.0,0.0,0.0
CFH,0.0,0.0,0.0,0.4372777944295858,0.0,0.6934473156229757,0.0,0.0,0.0,0.0,0.0,0.0,0.42898161899815956,0.740207760312801,0.0,0.0
FUCA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3004513206302648,0.0,0.0,0.0,0.0,0.0,0.0
GCLC,0.0,0.0,0.6213497604705707,0.0,0.0,0.0,0.4916929104751672,0.0,0.0,0.25129291684307975,0.0,0.0,0.45508590500244583,0.0,0.0,0.0
STPG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14254457557830136,0.0,0.0,0.0,0.0,0.0,0.0
LAS1L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1876811343436763,0.0,0.0,0.0,0.0,0.0,0.0
ENPP4,0.0,0.0,0.5362519066050626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFTR,0.0,0.0,0.0,0.0,0.0,0.0,1.4090695144349528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6420263477724462,0.0,0.0,0.0,0.0,0.0,0.0
CD99,0.730927396855522,0.8007994155657736,0.9721456373021578,0.5545630204608692,0.9863838330413786,0.721705403985465,0.0,0.0,1.1469862708576721,0.31748834289488526,0.0,0.0,0.7001383513266999,0.9064523870775859,0.0,1.3497151148025806
HS3ST1,0.0,0.0,0.0,0.6336551649359068,0.0,0.8677713240836569,0.0,0.0,0.9743137634860354,0.0,0.0,0.0,0.7026347807067953,0.609028751368045,0.0,0.0
LASP1,0.0,0.0,0.0,0.0,0.0,0.6810457552500299,0.0,0.0,0.0,0.5821085227074848,0.0,0.0,0.4797085767487133,0.5525982894983394,0.0,0.0
M6PR,0.0,0.0,0.0,0.3038946214903213,0.5190659392870337,0.36509100246021864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268142335624914,0.0,0.0
CFLAR,0.5475561510864875,0.0,1.1900794953481517,0.6122208520254544,0.0,0.507435430880189,0.4911508421784786,0.0,0.0,0.6554701785157521,0.0,0.0,0.46473622476689347,0.5589523102178461,0.39625337267079536,0.0
SLC7A2,0.0,0.0,0.6697819669044249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
