cluster,count
Ciliated 1,32466
Goblet 2 BPIFA2+,28042
Secretory,22629
Basal 2,21101
Goblet 1,17708
Goblet 2 inflammatory,13651
Goblet 2 PLAU+,9340
Club,9181
Basal 1,7995
Transit epi 1,7752
Secretory GALNT4+,7084
Ciliated 2,5045
Mono IL6+,4383
Transit epi 2,4193
B mem activated,3257
B naive,3041
T CD8 mem 1,2953
Cycling basal,2715
Hillock,2570
B mem,2570
Mac,2532
Deuterosomal,2492
Ionocyte,2289
Mono CXCL10+,1947
B cycling,1802
B mem exhausted,1668
Duct,1434
T naive,1432
Mac activated,1270
T CD4 mem,1179
T CD8 mem 2,1000
NK cd56hi,889
Basal 1 KHDRBS2+,870
Squamous,855
Mono GPBAR1+,820
Neut,782
LC,514
pDC,498
NK cd56lo,445
Hillock precursor,430
T CD8 mem 3,383
Plasma IgK,372
Cycling hillock,354
MAIT,352
T CD8 exhausted,340
T gd,317
T cycling,306
cDC activated,292
T reg,286
Plasma IgL,198
Mast,192
NKT,182
T fh,128
ILC,112
Melanocyte,84
T CD4 CCR4+,81
Neuroendocrine,64
Brush,61
fDC,49
