software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Cell_type_annotation_level3,Secretory,2527,0.354945219870929,0.4574468085106383,0.187178472497032,17568,561,2054,473,4,"['TFCP2L1', 'SELENBP1', 'PI3', 'CSTA']","['ENSG00000124766', 'ENSG00000115112', 'ENSG00000143416', 'ENSG00000198643', 'ENSG00000124102', 'ENSG00000121552', 'ENSG00000189171', 'ENSG00000165949', 'ENSG00000189334', 'ENSG00000248144']",0.1064776480197906
4.1,Cell_type_annotation_level3,Squamous,55,0.7975460122699386,0.9629629629629628,0.4727272727272727,20600,1,29,26,1,['PRSS27'],"['ENSG00000172382', 'ENSG00000214049', 'ENSG00000143369', 'ENSG00000167755', 'ENSG00000169035', 'ENSG00000172005', 'ENSG00000188505', 'ENSG00000105427', 'ENSG00000152137', 'ENSG00000203785']",1.0
4.1,Cell_type_annotation_level3,Mono IL6+,34,0.860655737704918,0.9545454545454546,0.6176470588235294,20621,1,13,21,1,['FCN1'],"['ENSG00000125538', 'ENSG00000085265', 'ENSG00000186407', 'ENSG00000131042', 'ENSG00000123689', 'ENSG00000187116', 'ENSG00000127507', 'ENSG00000170458', 'ENSG00000140379', 'ENSG00000028137']",1.0
4.1,Cell_type_annotation_level3,LC,30,0.7926829268292683,1.0,0.4333333333333333,20626,0,17,13,2,"['CD1E', 'MS4A6A']","['ENSG00000158488', 'ENSG00000158481', 'ENSG00000167641', 'ENSG00000179639', 'ENSG00000100079', 'ENSG00000110077', 'ENSG00000204482', 'ENSG00000179344', 'ENSG00000198502', 'ENSG00000196735']",0.8908753395080566
4.1,Cell_type_annotation_level3,Mac,17,0.6666666666666666,0.8571428571428571,0.3529411764705882,20638,1,11,6,2,"['IFI30', 'SPI1']","['ENSG00000216490', 'ENSG00000066336', 'ENSG00000204472', 'ENSG00000112335', 'ENSG00000204257', 'ENSG00000011600', 'ENSG00000196735', 'ENSG00000179344', 'ENSG00000223865', 'ENSG00000162704']",0.5017316341400146
4.1,Cell_type_annotation_level3,pDC,16,0.9166666666666666,1.0,0.6875,20640,0,5,11,1,['LILRA4'],"['ENSG00000239961', 'ENSG00000070031', 'ENSG00000185291', 'ENSG00000185507', 'ENSG00000197629', 'ENSG00000140968', 'ENSG00000100453', 'ENSG00000211592', 'ENSG00000163687', 'ENSG00000166428']",1.0
4.1,Cell_type_annotation_level3,Mast,13,0.9649122807017544,1.0,0.8461538461538461,20643,0,2,11,1,['TPSAB1'],"['ENSG00000172236', 'ENSG00000163751', 'ENSG00000197253', 'ENSG00000149534', 'ENSG00000179348', 'ENSG00000233968', 'ENSG00000140287', 'ENSG00000165646', 'ENSG00000163106', 'ENSG00000068366']",1.0
4.1,Cell_type_annotation_level3,MAIT,38,0.8208955223880597,0.9166666666666666,0.5789473684210527,20616,2,16,22,2,"['ENSG00000256553', 'SH2D2A']","['ENSG00000256553', 'ENSG00000204475', 'ENSG00000104951', 'ENSG00000027869', 'ENSG00000143365', 'ENSG00000168685', 'ENSG00000111796', 'ENSG00000198851', 'ENSG00000153283', 'ENSG00000105374']",1.0
4.1,Cell_type_annotation_level3,T CD8 mem 1,103,0.7586206896551724,0.7951807228915663,0.6407766990291263,20536,17,37,66,1,['GZMA'],"['ENSG00000197540', 'ENSG00000198851', 'ENSG00000145649', 'ENSG00000271503', 'ENSG00000116824', 'ENSG00000160654', 'ENSG00000008517', 'ENSG00000105374', 'ENSG00000167286', 'ENSG00000211772']",0.4928998649120331
4.1,Cell_type_annotation_level3,T CD8 mem 2,5,0.8823529411764706,1.0,0.6,20651,0,2,3,2,"['KIR2DL4', 'TBX21']","['ENSG00000189013', 'ENSG00000134545', 'ENSG00000073861', 'ENSG00000211716', 'ENSG00000205809', 'ENSG00000111641', 'ENSG00000134242', 'ENSG00000111796', 'ENSG00000160654', 'ENSG00000271503']",1.0
