,AZGP1 SCGB3A1 LTF high Goblet Cells,AZGP1 high Goblet Cells,B Cells,BEST4 high Cilia high Ciliated Cells,BPIFA1 high Secretory Cells,Basal Cells,CCL5 high Squamous Cells,CD8 T Cells,Cilia high Ciliated Cells,Dendritic Cells,Deuterosomal Cells,Developing Ciliated Cells,Developing Secretory and Goblet Cells,Early Response FOXJ1 high Ciliated Cells,Early Response Secretory Cells,Early Response T Cells,Enteroendocrine Cells,Erythroblasts,FOXJ1 high Ciliated Cells,HOPX high Squamous Cells,ITGAX high Macrophages,Interferon Responsive Ciliated Cells,Interferon Responsive Cytotoxic CD8 T Cells,Ionocytes,KRT24 KRT13 high Secretory Cells,MUC5AC high Goblet Cells,Mitotic Basal Cells,SCGB1A1 high Goblet Cells,SERPINB11 high Secretory Cells,SPRR2D high Squamous Cells,VEGFA high Squamous Cells
AAK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97814026872317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667
AAMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671195427576701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667
ABCA13,0.48569284081459047,0.48756490349769593,0.0,0.6412320534388224,0.483232452472051,0.0,0.0,0.0,0.6143820544083913,0.0,0.4847378512223562,0.0,0.5180509169896443,0.5342028478781382,0.4849893689155579,0.0,0.0,0.5310191094875336,0.587543914715449,0.0,0.0,0.5908407251040141,0.0,0.0,0.5033256908257803,0.5108104864756267,0.0,0.5146165291468302,0.4951143523057302,0.0,0.4666666666666667
ABCC5,0.0,0.0,0.0,0.9120635092258453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958925062417984,0.9116305351257324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9798093537489573,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766057749589284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667
ABCG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982547382513682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667
ABCG8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD2,0.0,0.8095694740613302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8418998817602793,0.0,0.0,0.0,0.0,0.813594126701355,0.8319730003674825,0.0,0.8144418160120647,0.0,0.0,0.8495845039685567,0.0,0.0,0.0,0.0,0.0,0.8
ABHD5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9564968307813009,0.9616017520427704
ABI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9084208408991495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.908045216401418,0.9176901280879974
ABI2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABLIM1,0.0,0.8477244774500529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8057315111160278,0.8795504033565521,0.0,0.0,0.0,0.0,0.8125385562578837,0.0,0.0,0.0,0.0,0.8297955354054769,0.0,0.0,0.0,0.0,0.8,0.8391156991322836
ABRACL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHD9NB,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9202008863290151,0.0,0.0,0.0,0.0,0.9150417586167653,0.0,0.0,0.9017139951388041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
