cluster_name,skos,manual_mapped_cid,cell_ontology_id
AZGP1 SCGB3A1 LTF high Goblet Cells,,,CL:0002480
AZGP1 high Goblet Cells,,,CL:0002480
B Cells,,,CL:0000236
BEST4 high Cilia high Ciliated Cells,,,CL:0000064
BPIFA1 high Secretory Cells,,,CL:0000151
Basal Cells,,,CL:0000646
CCL5 high Squamous Cells,,,CL:0000076
CD8 T Cells,,,CL:0000625
Cilia high Ciliated Cells,,,CL:0000064
Dendritic Cells,,,CL:0000451
Deuterosomal Cells,,,CL:0005012
Developing Ciliated Cells,,,CL:0000064
Developing Secretory and Goblet Cells,,,CL:0000151
Early Response FOXJ1 high Ciliated Cells,,,CL:0000064
Early Response Secretory Cells,,,CL:0000151
Early Response T Cells,,,CL:0000084
Enteroendocrine Cells,,,CL:0000164
Erythroblasts,,,CL:0000765
FOXJ1 high Ciliated Cells,,,CL:0000064
HOPX high Squamous Cells,,,CL:0000076
ITGAX high Macrophages,,,CL:0000235
Interferon Responsive Ciliated Cells,,,CL:0000064
Interferon Responsive Cytotoxic CD8 T Cells,,,CL:0000794
Ionocytes,,,CL:0005006
KRT24 KRT13 high Secretory Cells,,,CL:0000151
MUC5AC high Goblet Cells,,,CL:0002480
Mitotic Basal Cells,,,CL:0000646
SCGB1A1 high Goblet Cells,,,CL:0002480
SERPINB11 high Secretory Cells,,,CL:0000151
SPRR2D high Squamous Cells,,,CL:0000076
VEGFA high Squamous Cells,,,CL:0000076
