cluster,count
FOXJ1 high Ciliated Cells,1449
BEST4 high Cilia high Ciliated Cells,1221
Cilia high Ciliated Cells,1052
Developing Ciliated Cells,934
Basal Cells,912
Early Response FOXJ1 high Ciliated Cells,628
Erythroblasts,586
MUC5AC high Goblet Cells,306
CD8 T Cells,301
CCL5 high Squamous Cells,278
Developing Secretory and Goblet Cells,263
Mitotic Basal Cells,141
SCGB1A1 high Goblet Cells,104
VEGFA high Squamous Cells,101
Ionocytes,92
SPRR2D high Squamous Cells,72
Interferon Responsive Ciliated Cells,62
Early Response T Cells,50
AZGP1 high Goblet Cells,47
AZGP1 SCGB3A1 LTF high Goblet Cells,43
ITGAX high Macrophages,42
Deuterosomal Cells,35
SERPINB11 high Secretory Cells,31
KRT24 KRT13 high Secretory Cells,26
BPIFA1 high Secretory Cells,22
Early Response Secretory Cells,20
Dendritic Cells,14
B Cells,12
Enteroendocrine Cells,10
Interferon Responsive Cytotoxic CD8 T Cells,7
HOPX high Squamous Cells,6
