clusterName,gene
Developing Secretory and Goblet Cells,ENSG00000164309
Developing Secretory and Goblet Cells,ENSG00000086570
Mitotic Basal Cells,ENSG00000148773
Mitotic Basal Cells,ENSG00000131747
SCGB1A1 high Goblet Cells,ENSG00000149021
SCGB1A1 high Goblet Cells,ENSG00000248144
MUC5AC high Goblet Cells,ENSG00000214814
MUC5AC high Goblet Cells,ENSG00000174501
AZGP1 SCGB3A1 LTF high Goblet Cells,ENSG00000134827
AZGP1 SCGB3A1 LTF high Goblet Cells,ENSG00000118849
Early Response Secretory Cells,ENSG00000148344
Early Response Secretory Cells,ENSG00000120738
BPIFA1 high Secretory Cells,ENSG00000126267
BPIFA1 high Secretory Cells,ENSG00000057149
SERPINB11 high Secretory Cells,ENSG00000050405
SERPINB11 high Secretory Cells,ENSG00000047457
KRT24 KRT13 high Secretory Cells,ENSG00000114638
KRT24 KRT13 high Secretory Cells,ENSG00000170477
KRT24 KRT13 high Secretory Cells,ENSG00000008394
AZGP1 high Goblet Cells,ENSG00000118322
AZGP1 high Goblet Cells,ENSG00000133321
AZGP1 high Goblet Cells,ENSG00000166920
HOPX high Squamous Cells,ENSG00000184809
HOPX high Squamous Cells,ENSG00000147408
VEGFA high Squamous Cells,ENSG00000214049
VEGFA high Squamous Cells,ENSG00000101187
VEGFA high Squamous Cells,ENSG00000159921
SPRR2D high Squamous Cells,ENSG00000169469
SPRR2D high Squamous Cells,ENSG00000244094
CCL5 high Squamous Cells,ENSG00000132002
ITGAX high Macrophages,ENSG00000085265
ITGAX high Macrophages,ENSG00000018280
Dendritic Cells,ENSG00000179344
Dendritic Cells,ENSG00000196735
B Cells,ENSG00000156738
B Cells,ENSG00000163534
Early Response T Cells,ENSG00000147443
Early Response T Cells,ENSG00000144655
Early Response T Cells,ENSG00000119508
CD8 T Cells,ENSG00000081237
CD8 T Cells,ENSG00000136167
Interferon Responsive Cytotoxic CD8 T Cells,ENSG00000115523
Interferon Responsive Cytotoxic CD8 T Cells,ENSG00000198821
Developing Ciliated Cells,ENSG00000173947
Deuterosomal Cells,ENSG00000164287
Cilia high Ciliated Cells,ENSG00000198947
Cilia high Ciliated Cells,ENSG00000126870
BEST4 high Cilia high Ciliated Cells,ENSG00000005206
BEST4 high Cilia high Ciliated Cells,ENSG00000181085
BEST4 high Cilia high Ciliated Cells,ENSG00000260220
Interferon Responsive Ciliated Cells,ENSG00000157601
Interferon Responsive Ciliated Cells,ENSG00000138688
Interferon Responsive Ciliated Cells,ENSG00000165949
Interferon Responsive Ciliated Cells,ENSG00000160188
Interferon Responsive Ciliated Cells,ENSG00000160710
FOXJ1 high Ciliated Cells,ENSG00000163453
FOXJ1 high Ciliated Cells,ENSG00000179813
FOXJ1 high Ciliated Cells,ENSG00000124237
FOXJ1 high Ciliated Cells,ENSG00000077327
FOXJ1 high Ciliated Cells,ENSG00000166592
Early Response FOXJ1 high Ciliated Cells,ENSG00000165215
Early Response FOXJ1 high Ciliated Cells,ENSG00000129654
Early Response FOXJ1 high Ciliated Cells,ENSG00000130513
Early Response FOXJ1 high Ciliated Cells,ENSG00000136826
Erythroblasts,ENSG00000244734
Ionocytes,ENSG00000035720
Ionocytes,ENSG00000157680
Basal Cells,ENSG00000171346
Basal Cells,ENSG00000114270
Enteroendocrine Cells,ENSG00000278869
