software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Detailed_Cell_Annotations,Developing Secretory and Goblet Cells,263,0.4219823356231599,0.455026455026455,0.3269961977186312,8501,103,177,86,2,"['CMYA5', 'FAT2']","['ENSG00000164309', 'ENSG00000185567', 'ENSG00000074410', 'ENSG00000068078', 'ENSG00000114270', 'ENSG00000086570', 'ENSG00000182463', 'ENSG00000042980', 'ENSG00000167522', 'ENSG00000108848']",0.7294542193412781
4.1,Detailed_Cell_Annotations,Mitotic Basal Cells,141,0.7946210268948656,0.9701492537313432,0.4609929078014184,8724,2,76,65,2,"['MKI67', 'TOP2A']","['ENSG00000148773', 'ENSG00000131747', 'ENSG00000117724', 'ENSG00000138778', 'ENSG00000186081', 'ENSG00000074410', 'ENSG00000196754', 'ENSG00000086570', 'ENSG00000042980', 'ENSG00000089280']",1.0
4.1,Detailed_Cell_Annotations,SCGB1A1 high Goblet Cells,104,0.3333333333333333,0.631578947368421,0.1153846153846153,8756,7,92,12,2,"['SCGB1A1', 'ADH1C']","['ENSG00000149021', 'ENSG00000079841', 'ENSG00000094755', 'ENSG00000248144', 'ENSG00000042980', 'ENSG00000143013', 'ENSG00000182853', 'ENSG00000057149', 'ENSG00000189377', 'ENSG00000127948']",0.5972316265106201
4.1,Detailed_Cell_Annotations,MUC5AC high Goblet Cells,306,0.4700854700854701,0.6666666666666666,0.2156862745098039,8528,33,240,66,2,"['FER1L6', 'ANKRD36C']","['ENSG00000143776', 'ENSG00000214814', 'ENSG00000174501', 'ENSG00000182853', 'ENSG00000137501', 'ENSG00000134398', 'ENSG00000170004', 'ENSG00000177685', 'ENSG00000163993', 'ENSG00000057149']",0.1620284467935562
4.1,Detailed_Cell_Annotations,AZGP1 SCGB3A1 LTF high Goblet Cells,43,0.6796116504854369,0.9333333333333332,0.3255813953488372,8823,1,29,14,2,"['TCN1', 'RARRES1']","['ENSG00000161055', 'ENSG00000126549', 'ENSG00000134827', 'ENSG00000118849', 'ENSG00000160862', 'ENSG00000147862', 'ENSG00000125999', 'ENSG00000125730', 'ENSG00000120885', 'ENSG00000088836']",0.7830910682678223
4.1,Detailed_Cell_Annotations,Early Response Secretory Cells,20,0.4545454545454545,0.6666666666666666,0.2,8845,2,16,4,2,"['PTGES', 'EGR1']","['ENSG00000090339', 'ENSG00000169429', 'ENSG00000148344', 'ENSG00000111912', 'ENSG00000120738', 'ENSG00000130707', 'ENSG00000102854', 'ENSG00000130513', 'ENSG00000162772', 'ENSG00000138166']",0.6672187447547913
4.1,Detailed_Cell_Annotations,BPIFA1 high Secretory Cells,22,0.3333333333333333,1.0,0.0909090909090909,8845,0,20,2,2,"['COX6B1', 'SERPINB3']","['ENSG00000126267', 'ENSG00000162772', 'ENSG00000108953', 'ENSG00000169564', 'ENSG00000057149', 'ENSG00000100906', 'ENSG00000089356', 'ENSG00000148346', 'ENSG00000120129', 'ENSG00000150687']",0.214238092303276
4.1,Detailed_Cell_Annotations,SERPINB11 high Secretory Cells,31,0.2985074626865671,0.4444444444444444,0.1290322580645161,8831,5,27,4,2,"['LIMA1', 'CP']","['ENSG00000118849', 'ENSG00000182853', 'ENSG00000050405', 'ENSG00000189377', 'ENSG00000052126', 'ENSG00000047457', 'ENSG00000077147', 'ENSG00000229807', 'ENSG00000148346', 'ENSG00000106541']",0.1153230369091034
4.1,Detailed_Cell_Annotations,KRT24 KRT13 high Secretory Cells,26,0.603448275862069,0.875,0.2692307692307692,8840,1,19,7,3,"['UPK1B', 'KRT4', 'MGST1']","['ENSG00000137440', 'ENSG00000167916', 'ENSG00000114638', 'ENSG00000197446', 'ENSG00000170477', 'ENSG00000008394', 'ENSG00000130707', 'ENSG00000196754', 'ENSG00000021355', 'ENSG00000161798']",0.6866301894187927
4.1,Detailed_Cell_Annotations,AZGP1 high Goblet Cells,47,0.5494505494505495,0.9090909090909092,0.2127659574468085,8819,1,37,10,3,"['ATP10B', 'PLAAT4', 'C15orf48']","['ENSG00000215182', 'ENSG00000118322', 'ENSG00000124102', 'ENSG00000133321', 'ENSG00000166920', 'ENSG00000197353', 'ENSG00000086548', 'ENSG00000182853', 'ENSG00000105388', 'ENSG00000163993']",0.3514510691165924
