clusterName,NSForest_markers,f_score,onTarget,precision,recall
Nonclassical monocytes,"['ENSG00000183779', 'ENSG00000224397']",0.7147562582345192,0.7316899299621582,0.9313304721030042,0.3703071672354949
Classical monocytes,"['ENSG00000170458', 'ENSG00000038427']",0.873240723816487,0.290885329246521,0.9071920246854972,0.7595389507154213
Cycling,"['ENSG00000143546', 'ENSG00000117724', 'ENSG00000148773']",0.7633863965267728,0.2180838286876678,0.8810020876826722,0.4976415094339622
MNP/T doublets,"['ENSG00000143546', 'ENSG00000163220', 'ENSG00000090382', 'ENSG00000275302']",0.1957585644371941,0.1235005035996437,0.2608695652173913,0.0979591836734693
DC2,"['ENSG00000158481', 'ENSG00000135549', 'ENSG00000160593']",0.738498789346247,1.0,0.9242424242424242,0.4093959731543624
DC1,['ENSG00000197992'],0.9030837004405288,1.0,0.9318181818181818,0.803921568627451
pDC,"['ENSG00000239961', 'ENSG00000105251']",0.9198423127463864,1.0,0.975609756097561,0.7486631016042781
T_CD4/CD8,['ENSG00000127603'],0.2473498233215547,0.1049268618226051,0.3065693430656934,0.1395348837209302
Plasma cells,"['ENSG00000115884', 'ENSG00000061656']",0.7862679955703211,1.0,0.8554216867469879,0.5941422594142259
T/B doublets,"['ENSG00000142396', 'ENSG00000211899', 'ENSG00000105369']",0.1282051282051282,0.0633126199245452,0.2857142857142857,0.04
MNP/B doublets,"['ENSG00000141580', 'ENSG00000130203']",0.3846153846153846,0.377028226852417,1.0,0.1111111111111111
Memory B cells,"['ENSG00000234184', 'ENSG00000136573']",0.6305803571428571,0.7639965415000916,0.7635135135135135,0.3717105263157895
ABCs,"['ENSG00000184293', 'ENSG00000102575', 'ENSG00000143297']",0.4325259515570934,0.3130377531051636,0.4716981132075472,0.3246753246753247
Naive B cells,"['ENSG00000104921', 'ENSG00000100721']",0.8419047619047619,0.6983236074447632,0.9505376344086022,0.5777777777777777
Pre-B,['ENSG00000167244'],0.8035714285714286,1.0,0.9473684210526316,0.5
Pro-B,"['ENSG00000107447', 'ENSG00000172995']",0.8095238095238095,1.0,1.0,0.4594594594594595
ILC3,"['ENSG00000115594', 'ENSG00000157404']",0.5454545454545454,1.0,1.0,0.1935483870967742
NK_CD56bright_CD16-,"['ENSG00000143184', 'ENSG00000134545', 'ENSG00000113088']",0.6701940035273368,1.0,0.8467966573816156,0.3653846153846153
NK_CD16+,"['ENSG00000159674', 'ENSG00000180644']",0.8043006866642574,0.4266814589500427,0.8780824620240678,0.6019745739789019
Cycling T&NK,"['ENSG00000169607', 'ENSG00000137804']",0.6790916880891174,0.7196720838546753,0.8255208333333334,0.3972431077694235
Tem/emra_CD8,"['ENSG00000137441', 'ENSG00000172116']",0.7794892766266812,0.2676617205142975,0.8955886191594884,0.5133153800119689
Trm/em_CD8,"['ENSG00000113088', 'ENSG00000172116']",0.689247402652251,0.2714226543903351,0.7298747763864043,0.5637305699481865
