cluster,count
CD56dimCD16+ NK cells,5112
CD4+ memory T cells,4555
Mature naive B cells,4068
CD8+ effector memory T cells,3769
Classical Monocytes,3083
Nonswitched memory B cells,2811
CD8+ central memory T cells,2364
Early erythroid progenitor,1950
HSCs & MPPs,1908
Late erythroid progenitor,1887
CD8+CD103+ tissue resident memory T cells,1886
Lymphomyeloid prog,1454
Class switched memory B cells,1449
Myelocytes,1401
Conventional dendritic cell 1,1180
Non-classical monocytes,996
Early promyelocytes,947
Late promyelocytes,712
GammaDelta T cells,667
Megakaryocyte progenitors,666
Conventional dendritic cell 2,586
Plasmacytoid dendritic cell progenitors,571
CD4+ naive T cells,505
Erythro-myeloid progenitors,492
Plasma cells,486
Pro-B cells,474
Immature B cells,466
Pre-B cells,456
CD4+ cytotoxic T cells,418
Plasmacytoid dendritic cells,344
CD8+ naive T cells,339
CD56brightCD16- NK cells,300
Eosinophil-basophil-mast cell progenitors,199
Aberrant erythroid,182
NK T cells,152
CD11c+ memory B cells,103
CD69+PD-1+ memory CD4+ T cells,52
NK cell progenitors,26
Mesenchymal cells_1,17
Pre-pro-B cells,17
Small pre-B cell,4
Monocyte-like blasts,2
Mesenchymal cells_2,1
