clusterName,NSForest_markers,f_score
CD4+ memory T cells,"['ENSG00000168685', 'ENSG00000010610', 'ENSG00000008517']",0.7414522956691632
CD69+PD-1+ memory CD4+ T cells,"['ENSG00000005844', 'ENSG00000139193', 'ENSG00000277734', 'ENSG00000158050', 'ENSG00000145649']",0.0694444444444444
CD8+CD103+ tissue resident memory T cells,"['ENSG00000153563', 'ENSG00000139193', 'ENSG00000168685', 'ENSG00000277734']",0.4866726564839772
CD8+ central memory T cells,"['ENSG00000153563', 'ENSG00000145649', 'ENSG00000158050', 'ENSG00000277734']",0.4268292682926829
NK T cells,"['ENSG00000211829', 'ENSG00000158050', 'ENSG00000145649']",0.2571770334928229
CD8+ effector memory T cells,"['ENSG00000115523', 'ENSG00000153563', 'ENSG00000227191']",0.6121540402166654
GammaDelta T cells,"['ENSG00000211829', 'ENSG00000168685', 'ENSG00000227191']",0.5662909286097692
CD4+ cytotoxic T cells,"['ENSG00000115523', 'ENSG00000111796', 'ENSG00000150093', 'ENSG00000205336']",0.1551724137931034
CD56brightCD16- NK cells,"['ENSG00000211829', 'ENSG00000140678', 'ENSG00000109321']",0.4807692307692308
CD56dimCD16+ NK cells,"['ENSG00000203747', 'ENSG00000211829']",0.8510367960967676
Plasma cells,"['ENSG00000177606', 'ENSG00000170476']",0.8516483516483516
Immature B cells,"['ENSG00000100721', 'ENSG00000137101']",0.4600811907983761
Mature naive B cells,"['ENSG00000077238', 'ENSG00000100721']",0.8487967526819368
Nonswitched memory B cells,"['ENSG00000156738', 'ENSG00000132465']",0.4439959636730575
Class switched memory B cells,"['ENSG00000272398', 'ENSG00000091490', 'ENSG00000007312']",0.2661279979479287
CD11c+ memory B cells,"['ENSG00000177455', 'ENSG00000156738', 'ENSG00000140678']",0.4251012145748988
Mesenchymal cells_1,['ENSG00000107562'],0.958904109589041
Aberrant erythroid,"['ENSG00000112077', 'ENSG00000223609', 'ENSG00000133742']",0.4943502824858757
CD8+ naive T cells,"['ENSG00000172116', 'ENSG00000126353', 'ENSG00000153563', 'ENSG00000139193']",0.4049135577797998
CD4+ naive T cells,"['ENSG00000126353', 'ENSG00000010610']",0.2915951972555746
Pre-pro-B cells,"['ENSG00000169575', 'ENSG00000168209']",0.4054054054054054
Plasmacytoid dendritic cell progenitors,"['ENSG00000185291', 'ENSG00000131747']",0.5894145950280674
Plasmacytoid dendritic cells,"['ENSG00000148154', 'ENSG00000132465']",0.7126696832579186
Late promyelocytes,"['ENSG00000005381', 'ENSG00000121552']",0.7328167115902965
Conventional dendritic cell 1,"['ENSG00000235162', 'ENSG00000169385', 'ENSG00000179639', 'ENSG00000120708']",0.7261640798226164
Early erythroid progenitor,"['ENSG00000164305', 'ENSG00000005961', 'ENSG00000125538']",0.7352219769438313
Late erythroid progenitor,"['ENSG00000143476', 'ENSG00000169877']",0.863857982247781
Pre-B cells,"['ENSG00000115163', 'ENSG00000196549']",0.6532258064516129
Pro-B cells,"['ENSG00000107447', 'ENSG00000169575']",0.5542168674698795
Early promyelocytes,"['ENSG00000005381', 'ENSG00000128040']",0.6956172094893446
Lymphomyeloid prog,"['ENSG00000113140', 'ENSG00000128040', 'ENSG00000122025']",0.5722278738555443
Megakaryocyte progenitors,"['ENSG00000117400', 'ENSG00000005961']",0.6485992691839221
Erythro-myeloid progenitors,"['ENSG00000135426', 'ENSG00000145708', 'ENSG00000163751']",0.5304276315789473
Eosinophil-basophil-mast cell progenitors,"['ENSG00000186652', 'ENSG00000140287']",0.8702290076335878
HSCs & MPPs,"['ENSG00000145708', 'ENSG00000128040']",0.7261709120788825
NK cell progenitors,"['ENSG00000203747', 'ENSG00000145708', 'ENSG00000174099', 'ENSG00000111796']",0.7051282051282052
Conventional dendritic cell 2,"['ENSG00000158481', 'ENSG00000179344', 'ENSG00000105383', 'ENSG00000140678']",0.5291970802919708
Classical Monocytes,"['ENSG00000177575', 'ENSG00000170458']",0.7992578849721707
Myelocytes,"['ENSG00000143546', 'ENSG00000169385']",0.5931835449907739
Non-classical monocytes,"['ENSG00000166927', 'ENSG00000203747']",0.837730870712401
