clusterName,NSForest_markers,f_score,onTarget,precision,recall
macrophage,"['ENSG00000133800', 'ENSG00000159189']",0.6821629822280018,0.8767225742340088,0.7762022194821209,0.4594890510948905
monocyte_classical,"['ENSG00000163221', 'ENSG00000038427', 'ENSG00000163220']",0.8653419267923026,0.5791723728179932,0.8933227973133149,0.7689953064417386
cd4_treg,"['ENSG00000049768', 'ENSG00000163599']",0.7754519505233112,1.0,0.9421965317919077,0.4540389972144846
cd4_cm,"['ENSG00000109452', 'ENSG00000172005']",0.3896802899278768,0.7343222498893738,0.4137142857142857,0.3162032319114864
cd4_naive,"['ENSG00000237943', 'ENSG00000126353']",0.5058505627448063,0.4078907966613769,0.4947866149369544,0.5555404301660768
cd8_naive,"['ENSG00000256039', 'ENSG00000126353', 'ENSG00000138795']",0.7499493619607048,0.3955127298831939,0.8964891041162227,0.4534598897734231
cd8_trm,"['ENSG00000113088', 'ENSG00000090104', 'ENSG00000153563']",0.2946428571428571,0.2138256579637527,0.324945295404814,0.2145953757225433
cd4_trm,"['ENSG00000153283', 'ENSG00000179820', 'ENSG00000111796']",0.0809248554913294,0.1585396379232406,0.1228070175438596,0.0342298288508557
cd8_mait,"['ENSG00000144290', 'ENSG00000256553']",0.5379632961496942,1.0,0.7002341920374707,0.2791783380018674
cd4_tem,"['ENSG00000013725', 'ENSG00000113088', 'ENSG00000168685']",0.2921912215039129,0.1829326003789901,0.3535769428718476,0.1724397590361445
cd8_cm,"['ENSG00000153563', 'ENSG00000150093', 'ENSG00000129824', 'ENSG00000141232', 'ENSG00000110324']",0.0820161049806143,0.1323876529932022,0.0829562594268476,0.0784593437945791
cd4_temra,"['ENSG00000013725', 'ENSG00000100450', 'ENSG00000150093']",0.3066190785204413,0.2590853571891784,0.3580901856763925,0.1946847960444993
cd8_tem,"['ENSG00000100450', 'ENSG00000172116', 'ENSG00000153563']",0.4281776232995745,0.2076053172349929,0.4163348548120812,0.4831511326496112
cd8_temra,"['ENSG00000172116', 'ENSG00000134539']",0.5281612216105563,0.1601589918136596,0.5064995357474467,0.6371600200233606
cd3_gd,"['ENSG00000211829', 'ENSG00000139187']",0.3149297980645522,0.5933841466903687,0.3030139935414424,0.3737139064055758
ilc1,"['ENSG00000167664', 'ENSG00000152818']",0.1470588235294117,0.246591180562973,1.0,0.0333333333333333
nk_cd56dim,"['ENSG00000150045', 'ENSG00000203747']",0.8122584473274853,0.3611559271812439,0.881367729586288,0.6183238723066593
nk_ilc_precursor,"['ENSG00000143185', 'ENSG00000161835', 'ENSG00000115523']",0.2444161831332962,0.1989542245864868,0.2677405311275577,0.1812555260831123
nk_cd56br,"['ENSG00000100385', 'ENSG00000187118', 'ENSG00000113088']",0.4027842953230095,0.2874478101730346,0.5684326710816777,0.1859877211989888
ilc3,['ENSG00000157404'],0.2727272727272727,0.6570045351982117,0.2758620689655172,0.2608695652173913
mast_cell,"['ENSG00000197253', 'ENSG00000172236']",0.8143322475570033,1.0,0.8620689655172413,0.6666666666666666
progenitor,"['ENSG00000223609', 'ENSG00000145335']",0.8098947064762729,1.0,0.9924001413927184,0.466633424748608
plasma_cell,"['ENSG00000115884', 'ENSG00000061656']",0.8121019108280255,1.0,0.8623188405797102,0.6586715867158671
plasmablast,"['ENSG00000048462', 'ENSG00000101057']",0.8377474212433789,0.6385019421577454,0.9662379421221864,0.5468607825295724
b_gc,"['ENSG00000128322', 'ENSG00000136237']",0.4794520547945205,1.0,0.5384615384615384,0.3333333333333333
pdc,"['ENSG00000239961', 'ENSG00000105251']",0.9037711313394018,1.0,0.9788732394366196,0.6915422885572139
dc2,"['ENSG00000135549', 'ENSG00000167641', 'ENSG00000179639']",0.6495098039215687,0.3995319604873657,0.7794117647058824,0.3897058823529412
dc1,"['ENSG00000197992', 'ENSG00000276600']",0.8282208588957055,1.0,1.0,0.4909090909090909
b_age,"['ENSG00000105926', 'ENSG00000070190', 'ENSG00000140391']",0.4585152838427948,0.4805695712566376,0.8076923076923077,0.168
b_memory,"['ENSG00000085117', 'ENSG00000153064']",0.6004213483146067,0.4470718502998352,0.6483412322274882,0.4634146341463415
b_naive,['ENSG00000100721'],0.8728673131213944,0.3358755111694336,0.9398645299851314,0.6792024832855779
monocyte_nonclassical,"['ENSG00000148737', 'ENSG00000224397', 'ENSG00000187116', 'ENSG00000197249']",0.7042698998418555,0.6515176296234131,0.8658457550226831,0.403259885300332
