author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
B Cells,0.7993998990559874,0.15608031688881563,0.8427728103661446,332
Basal,0.7263790083560698,0.13103097979165643,0.7458842268545842,418
Endothelial,0.6532643308173426,0.13940073747510234,0.6768073637747787,781
Fibroblasts,0.8022252546527745,0.1536780930996118,0.8305395760687636,665
Intercalated,0.7443681135485036,0.19680511791864944,0.7754178801364222,518
Ionocytes,0.9649578969831275,0.022348856162841678,0.972590901922403,32
Macrophages,0.7126910767377013,0.2526594260972579,0.7695007724914721,241
Mucous,0.8346901681907675,0.1514588479187054,0.8707189137979647,265
Myoepithelial,0.8582447364897317,0.16303217454637806,0.8864480008687949,353
Myofibroblasts,0.7523175758174961,0.22997674339703106,0.7868349660608687,189
RBCs,0.8979421679430721,0.2663213236528412,0.9402272914286809,132
Schwann Cells,0.679672801815477,0.37519810989271934,0.7791018760967332,50
Seromucous,-0.01063944683928047,0.34532559046179817,0.09140529486029073,5088
Serous,0.2732496260403652,0.29622938085775646,0.3831274211614088,5097
Striated,0.5950268029477943,0.21416988633990403,0.6424391471481461,968
T Cells,0.7789985405615324,0.17281151721266205,0.8205954311405507,555
