clusterName,NSForest_markers,f_score
Serous,"['ENSG00000131771', 'ENSG00000134873', 'ENSG00000236780', 'ENSG00000166002']",0.8445004992380052
Seromucous,['ENSG00000167419'],0.5142822851656265
RBCs,"['ENSG00000244734', 'ENSG00000188536']",0.9621212121212122
B Cells,"['ENSG00000211895', 'ENSG00000132465']",0.9096858638743456
T Cells,['ENSG00000271503'],0.8601676224084693
Macrophages,"['ENSG00000173372', 'ENSG00000011600']",0.8575031525851198
Ionocytes,['ENSG00000176009'],0.859375
Striated,['ENSG00000176387'],0.6433823529411765
Basal,"['ENSG00000196754', 'ENSG00000186081']",0.7584683357879234
Intercalated,"['ENSG00000148346', 'ENSG00000187908']",0.6377799415774099
Mucous,"['ENSG00000078898', 'ENSG00000106541']",0.8876629889669007
Schwann Cells,['ENSG00000179915'],0.7530120481927711
Fibroblasts,"['ENSG00000011465', 'ENSG00000189058']",0.956059045657398
Myofibroblasts,"['ENSG00000074181', 'ENSG00000149591']",0.6857142857142857
Myoepithelial,"['ENSG00000128422', 'ENSG00000133392']",0.8397932816537468
Endothelial,"['ENSG00000165949', 'ENSG00000116016']",0.8784035807534502
