Curated_annotation,mean_silhouette,std_silhouette,median_silhouette,count
Arterial endothelial cells,0.28784308,0.28484643,0.43377316,1279
BEST4+ enterocytes,0.28396904,0.31656966,0.43348438,4903
Capillary endothelial cells,0.37919164,0.17160831,0.41939348,1114
Colonocytes,-0.16465749,0.32975572,-0.12791303,27948
Cycling B cells,0.53124535,0.266217,0.6474798,183
Cycling/Secretory TA,0.4325696,0.22555691,0.51539093,7345
DC1,0.12052748,0.2225758,0.15920214,275
DC2,0.0006945938,0.20829372,0.024447344,1017
Enterocytes,0.1857756,0.29960468,0.32821828,13545
Enteroendocrine cells,0.08035491,0.19894752,0.17996345,213
Follicular B cells,0.33208796,0.39283815,0.5218115,3790
Follicular helper T cells,0.42905426,0.20588228,0.50220025,527
Germinal center B cells,-0.050747078,0.25692457,0.07227582,227
Glia,0.79028034,0.055407424,0.8047994,853
Goblet cells,0.049694624,0.34404474,0.19942869,5431
ILC,0.6349783,0.18845268,0.71123064,709
Immature goblet cells,0.27816337,0.31074238,0.4068669,2708
Intestinal macrophages,0.35574058,0.21191674,0.43445343,807
Lymphatic endothelial cells,0.84265727,0.045467526,0.86131805,927
Macrophages,-0.21873637,0.26092997,-0.27475983,4291
Mast cells,0.7741836,0.1140945,0.7975222,2156
Memory B cells,-0.053708345,0.19267504,-0.037586287,2584
Monocytes,-0.16997425,0.17963164,-0.15514162,560
Myofibroblasts,0.2885948,0.2080456,0.369729,561
NK cells,-0.06352757,0.27645007,-0.048097264,643
Naive B cells,0.0964703,0.19917841,0.1722304,1374
Paneth,0.3711727,0.47801086,0.6029169,2752
Pericytes,0.29968864,0.23562959,0.4021532,1154
Plasma cells,0.52200764,0.21283707,0.5929086,46348
Regulatory T cells,-0.4789705,0.13073935,-0.48496586,2619
Stem cells,0.20449448,0.20322275,0.2526223,1663
Stromal 1,0.3494542,0.28158644,0.46267408,5146
Stromal 2,0.57025665,0.20644042,0.646875,2283
Stromal 3,0.49387732,0.21450049,0.59245926,3951
TA,-0.2987208,0.2348547,-0.28647888,75596
Tcm/Naive helper T cells,-0.12601714,0.3683952,-0.038314503,3093
Tem/Effector helper T cells,0.15667038,0.30132994,0.24659154,1584
Tem/Trm cytotoxic T cells,-0.067038864,0.3013028,-0.00735928,2173
Trm cytotoxic T cells,-0.4715095,0.13837771,-0.48347855,12488
Tuft cells,0.71869826,0.17053817,0.7515389,1587
Type 1 helper T cells,0.13030641,0.20524068,0.21589452,3115
Type 17 helper T cells,-0.32360414,0.1317629,-0.2856429,5708
Venous endothelial cells,0.43248576,0.18533649,0.4758038,2039
gamma-delta T cells,0.45859492,0.25071198,0.57013386,4006
