Broad cell type,mean_silhouette,std_silhouette,median_silhouette,count
Adipocyte,0.761833,0.3344749,0.8466362,193
Endothelial cell (lymphatic),0.8327437,0.18898836,0.8624438,565
Endothelial cell (vascular),0.6502089,0.17530125,0.7113044,7070
Fibroblast,0.67959386,0.18105155,0.72663814,9287
Immune (B cell),0.85737705,0.2555206,0.9195625,22
Immune (DC/macrophage),0.65750694,0.1661075,0.6872823,6320
Immune (NK cell),0.5635917,0.21573941,0.6408108,319
Immune (T cell),0.30167273,0.29269174,0.41316447,357
Immune (mast cell),0.13953102,0.42344573,0.33415693,79
Myocyte (cardiac),0.42446885,0.36147988,0.5419645,7041
"Myocyte (cardiac, cytoplasmic)",0.6815398,0.30284128,0.77024907,2585
Pericyte/SMC,0.8296942,0.11241243,0.86729777,2438
Schwann cell,0.8343875,0.256572,0.8826833,298
