clusterName,NSForest_markers,f_score
dendritic cell,"['ENSG00000069275', 'ENSG00000164104']",0.2553542009884679
mast cell,"['ENSG00000163751', 'ENSG00000182667']",0.7557748374074905
B cell,['ENSG00000231389'],0.2334630350194552
mature NK T cell,"['ENSG00000173762', 'ENSG00000134539']",0.271164952810255
natural killer cell,"['ENSG00000137441', 'ENSG00000111796', 'ENSG00000100453']",0.6989815526518063
regular ventricular cardiac myocyte,"['ENSG00000115641', 'ENSG00000235535']",0.8725618418587392
regular atrial cardiac myocyte,"['ENSG00000106631', 'ENSG00000162989']",0.7620843145529042
neural cell,['ENSG00000179915'],0.7725298879536804
fibroblast,['ENSG00000154262'],0.6684263490439976
unknown,"['ENSG00000011465', 'ENSG00000196569', 'ENSG00000198626']",0.2699693432260512
epicardial adipocyte,['ENSG00000119927'],0.852939060364055
smooth muscle cell,"['ENSG00000133392', 'ENSG00000107796']",0.6505447781025777
pericyte,['ENSG00000164318'],0.738681393103647
endothelial cell of artery,"['ENSG00000164683', 'ENSG00000146674']",0.5326839790364166
endothelial cell,"['ENSG00000184005', 'ENSG00000164035', 'ENSG00000169744']",0.2955799297847751
capillary endothelial cell,"['ENSG00000102760', 'ENSG00000184113']",0.6632324684415505
vein endothelial cell,['ENSG00000213088'],0.6694023702389251
endothelial cell of lymphatic vessel,"['ENSG00000137077', 'ENSG00000138722']",0.7081911262798635
mesothelial cell,['ENSG00000179914'],0.7853757616790792
CD14-positive monocyte,"['ENSG00000163221', 'ENSG00000257764']",0.5507976490344249
monocyte,"['ENSG00000204482', 'ENSG00000130522']",0.2577433628318584
macrophage,['ENSG00000155659'],0.586792513923067
