,cardiac muscle cell,endothelial cell,fibroblast,leukocyte,mesothelial cell of epicardium,neuron,smooth muscle cell
ENSG00000228794,0.4319952533333303,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,0.7855147276244326
ENSG00000162576,0.0,0.0,0.4594852882289214,0.0,0.0,0.0,0.0
ENSG00000221978,0.24599048966827874,0.0,0.6397087577820534,0.0,0.0,0.0,0.0
ENSG00000179403,0.0,0.0,0.0,0.0,0.0,0.91358418828136,0.0
ENSG00000078369,0.4941486411340124,1.5148527051639125,1.003026865012242,1.6177356721972616,1.1968571453316181,0.9352390370074404,1.0217214205083969
ENSG00000142611,0.7097498526281447,0.0,0.0,0.0,0.0,0.558075418796474,1.2534290213732442
ENSG00000158286,0.9430514796493502,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007923,0.5280303308342293,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171735,0.6462583660756555,0.7876807386296117,0.0,0.0,0.7858709002848476,0.6069228649794224,1.1120194003477328
ENSG00000049246,0.6318039097725884,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142599,1.9746373537068787,2.1789511635087386,1.9399314326137143,2.121508690435915,1.7672438156441945,1.5781542378500568,1.9092351447746374
ENSG00000180758,0.10103553229568013,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049239,0.361145363760364,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171608,0.0,0.0,0.0,0.7901728692463255,0.0,0.0,0.0
ENSG00000178585,0.4508377050971417,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130939,0.9948666724110433,0.7898833556568708,0.8339501392674995,0.8645137440236064,0.8715478626106634,0.6274286091651564,0.6719172143354111
ENSG00000054523,1.2114081339329168,1.1038288612413425,0.8336068914007582,0.8941147502077311,0.8113720637556464,1.2213205589176026,0.7855147276244326
ENSG00000142655,0.554513072508356,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130940,0.9706882021594586,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198793,0.36766107197102593,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177000,0.5543746904591245,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000083444,0.0,0.0,0.0,0.0,0.7229283300557682,0.0,0.0
ENSG00000116688,0.6758471521060102,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000028137,0.0,0.0,0.0,1.0434553376059825,0.0,0.0,0.0
ENSG00000048707,1.2094247269346265,1.1131466737763798,0.9603913736257863,1.1366304853136846,1.6780207176806943,1.058276604068006,1.4299326903764515
ENSG00000162496,0.38456991808012486,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116731,0.6318265313667424,0.0,0.7481721314582122,0.7207366577094614,0.0,0.0,0.4618771153364969
ENSG00000189337,0.0,0.0,1.5324546624074382,0.0,0.0,0.0,0.0
ENSG00000171729,0.0,0.0,0.0,0.0,0.0,0.0,1.0434859322591077
ENSG00000197312,0.2940526335856285,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116786,0.4479610972347258,0.0,0.0,0.5374825022276919,0.0,0.0,0.0
ENSG00000065526,0.4166413796625441,0.0,0.6008352615629724,0.6186797132945463,0.7667720445580293,0.0,0.5899878544327586
ENSG00000173641,1.5364185688174272,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000037637,0.6585633564632056,0.0,0.9213694721934051,0.7787763574662825,0.0,0.0,0.49611227760234033
ENSG00000117118,0.5205065909148126,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000074964,0.6805969358905739,0.0,0.0,0.6747304340116536,0.0,0.0,0.9991920749866309
ENSG00000127481,0.6113997079462932,0.0,0.0,0.0,0.0,0.0,0.722449952410299
ENSG00000077549,0.5601053208572085,0.9830732033041659,0.7609687608439908,1.6434133986034407,1.1369427883048961,0.0,1.0412056434752668
ENSG00000127472,0.0,0.0,1.8722004235410672,0.0,2.8501131232537715,0.0,2.9989755713412025
ENSG00000127483,0.6007534988673906,0.6630972830216013,0.8702871229987366,0.7517194396138344,0.9268457102486747,0.791471487774142,0.7395962476952327
ENSG00000075151,0.98489018685574,1.808373565204317,1.5734480258444816,2.1545154180050567,1.5332349985053384,1.120542017051081,1.3699747516267677
ENSG00000117298,0.0,1.1476962504355672,0.7899554051248441,0.0,0.8693366696158411,0.8545730476406626,0.7395962476952327
ENSG00000090686,0.5893061416478821,0.0,0.714009548980682,0.5543718402353515,0.34038308452874655,0.0,0.5004192259539473
ENSG00000142798,0.836373915833158,2.0547242160117922,1.6244432251119634,0.0,0.0,1.6793070118177327,1.024976433969906
ENSG00000070831,0.3243441091913343,0.7320833744066725,0.0,0.0,0.0,0.0,0.0
ENSG00000169641,0.554634107058328,0.8501270722960808,0.0,0.0,0.0,0.0,0.0
ENSG00000125944,0.2994594020564987,0.0,0.7350290710742517,0.0,0.7649492193205567,0.7408347451508233,0.4618771153364969
ENSG00000204219,0.40444452231016625,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000088280,0.4023692209758729,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117318,0.0,0.7128447443540831,0.0,0.0,0.0,0.0,0.0
ENSG00000236810,0.2442452448466769,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188529,0.7091313573370868,0.5279872621212321,0.6048199527568033,0.0,0.7436990336424872,0.0,0.8377850826887863
ENSG00000142661,1.6386065375953374,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133226,0.6092125238349321,0.0,0.549459437123285,0.0,0.0,0.0,0.6534936133748689
