clusterName,gene
Endothelial cell,ENSG00000134531
Endothelial cell,ENSG00000129538
Ureteric bud cell,ENSG00000169344
Ureteric bud cell,ENSG00000166681
Fetal epithelial progenitor,ENSG00000129562
Fetal epithelial progenitor,ENSG00000117450
Fetal epithelial progenitor,ENSG00000168653
Fetal epithelial progenitor,ENSG00000139644
Proximal tubule progenitor,ENSG00000124766
Proximal tubule progenitor,ENSG00000147400
Proximal tubule progenitor,ENSG00000134352
B cell (Plasmocyte),ENSG00000211896
Epithelial cell,ENSG00000144035
Epithelial cell,ENSG00000162366
Intercalated cell,ENSG00000151418
Intercalated cell,ENSG00000214128
Loop of Henle,ENSG00000101443
Enterocyte progenitor,ENSG00000140416
Enterocyte progenitor,ENSG00000171729
Smooth muscle cell,ENSG00000101335
Smooth muscle cell,ENSG00000198523
Endothelial cell (endothelial to mesenchymal transition),ENSG00000168542
Stromal cell,ENSG00000011465
Antigen presenting cell (RPS high),ENSG00000111913
Antigen presenting cell (RPS high),ENSG00000103187
Macrophage,ENSG00000197405
Macrophage,ENSG00000169429
Monocyte,ENSG00000085265
Monocyte,ENSG00000143546
Dendritic cell,ENSG00000196735
Dendritic cell,ENSG00000223865
B cell,ENSG00000211592
B cell,ENSG00000169508
T cell,ENSG00000271503
T cell,ENSG00000121966
Mast cell,ENSG00000197253
Mast cell,ENSG00000163751
Neutrophil,ENSG00000163993
Sinusoidal endothelial cell,ENSG00000172183
Sinusoidal endothelial cell,ENSG00000115875
Sinusoidal endothelial cell,ENSG00000169429
Endothelial cell (APC),ENSG00000115461
Endothelial cell (APC),ENSG00000163513
