cluster,n_cells,percentage
Ascending vasa recta endothelium,241,1.18
B cell,947,4.66
CD4 T cell,2305,11.33
CD8 T cell,941,4.63
Connecting tubule,63,0.31
Descending vasa recta endothelium,163,0.8
Distinct proximal tubule 1,62,0.3
Distinct proximal tubule 2,57,0.28
Epithelial progenitor cell,188,0.92
Fibroblast,10,0.05
Glomerular endothelium,596,2.93
Indistinct intercalated cell,24,0.12
MNP-a/classical monocyte derived,340,1.67
MNP-b/non-classical monocyte derived,297,1.46
MNP-c/dendritic cell,172,0.85
MNP-d/Tissue macrophage,73,0.36
Mast cell,40,0.2
Myofibroblast,115,0.57
NK cell,1150,5.65
NKT cell,712,3.5
Neutrophil,39,0.19
Pelvic epithelium,14,0.07
Peritubular capillary endothelium 1,653,3.21
Peritubular capillary endothelium 2,163,0.8
Plasmacytoid dendritic cell,18,0.09
Podocyte,23,0.11
Principal cell,80,0.39
Proliferating Proximal Tubule,57,0.28
Proximal tubule,10202,50.15
Thick ascending limb of Loop of Henle,302,1.48
Type A intercalated cell,193,0.95
Type B intercalated cell,103,0.51
