,author_cell_type,silhouette_score
0,Thick ascending limb of Loop of Henle,-0.7927308634395035
1,Peritubular capillary endothelium 2,0.40825013515733327
2,Proximal tubule,-0.006829072560431753
3,NK cell,0.27363736013075557
4,Proximal tubule,-0.07996522674378073
5,Proximal tubule,-0.07693046419055943
8,Proximal tubule,0.06519589434819796
9,CD4 T cell,0.05375413695434483
13,Proximal tubule,0.13336874731460105
20,Proximal tubule,0.024964871542007747
22,Proximal tubule,0.06029284183291252
24,Proximal tubule,0.11311095778395712
25,B cell,0.6348803761532537
28,Proximal tubule,0.003707390489673479
30,Proximal tubule,-0.12784278116167158
33,Proximal tubule,0.13398495085146211
36,NK cell,0.029437606083140014
38,Proximal tubule,0.10042275897571111
39,B cell,0.7298381447353275
45,Proximal tubule,-0.4721707752646232
49,Peritubular capillary endothelium 1,-0.18565809345087114
52,Glomerular endothelium,0.7126988590473949
55,Glomerular endothelium,0.7876012229433303
56,CD4 T cell,-0.28250048637853736
57,Type B intercalated cell,0.26742704997420086
59,Ascending vasa recta endothelium,-0.01993089725993805
60,Proximal tubule,-0.08006505885424808
62,Proximal tubule,0.09014312281486257
64,Proximal tubule,0.12710399078894802
66,Proximal tubule,0.0665071328672873
67,Proximal tubule,0.0025232706070388426
68,Descending vasa recta endothelium,-0.28968260019329095
70,Proximal tubule,0.06993175674812135
72,Proximal tubule,0.007544355707086625
73,Proximal tubule,0.1261555783958742
79,CD4 T cell,0.1134259994207353
80,Proximal tubule,0.11956391609774181
83,Proximal tubule,0.12333365903394239
85,Proximal tubule,-0.40956176792868415
87,Glomerular endothelium,0.7389832363702449
88,Peritubular capillary endothelium 1,0.26023500134351324
91,Epithelial progenitor cell,0.5772787493378457
93,Proximal tubule,0.11342054141449334
96,Proximal tubule,0.07256125105690014
97,CD4 T cell,-0.19424299497632797
98,MNP-a/classical monocyte derived,-0.37827050731809647
101,Proximal tubule,0.059806378531198856
104,Proximal tubule,0.030077828920763525
106,Proximal tubule,0.10001082624893917
108,Neutrophil,0.6291528739078038
109,Proximal tubule,0.11513156278597368
112,NK cell,0.2718110694900797
113,Glomerular endothelium,0.7909071397887609
114,Proximal tubule,0.006218403033712242
122,Proximal tubule,-0.4953624370803525
123,Proximal tubule,0.10492201252831386
125,MNP-a/classical monocyte derived,-0.4086124308895646
126,Proximal tubule,0.10793323995765361
127,Proximal tubule,0.09585575572348905
128,Proximal tubule,0.022775693550552173
129,B cell,0.6710123386756346
130,Myofibroblast,-0.7809643111530944
133,Proximal tubule,-0.07595670932144358
134,Proximal tubule,0.08165395555423803
135,MNP-c/dendritic cell,0.22891277394592932
136,Proximal tubule,-0.07992391212355575
138,Proximal tubule,0.11282545780294206
141,NKT cell,0.02139609200404259
142,CD4 T cell,-0.05914396207512197
144,CD4 T cell,-0.11153600901649706
146,Proximal tubule,0.06657938550673925
147,NK cell,0.2913111211402453
148,MNP-a/classical monocyte derived,-0.12062412525055509
150,Proximal tubule,-0.08008613442960702
152,CD4 T cell,0.05305414402580044
153,CD8 T cell,0.13283861276701395
158,MNP-d/Tissue macrophage,-0.16954572202605084
161,Proximal tubule,0.04965750913705023
162,Proximal tubule,-0.08176002109844592
163,NKT cell,0.0355003917142107
164,CD4 T cell,-0.1770765136361723
165,CD4 T cell,0.08167995608007392
166,MNP-a/classical monocyte derived,-0.14944799193608804
170,Proximal tubule,0.014138999554564918
171,Proximal tubule,0.1324947727791328
172,Proximal tubule,0.12701272249669318
176,Proximal tubule,0.1268564302358504
178,Proximal tubule,0.1335095278646318
184,CD4 T cell,0.036577816540720336
186,B cell,0.740040774127548
187,CD4 T cell,-0.1812342341540947
188,Fibroblast,0.8177224755561383
190,Proximal tubule,-0.007591217112737711
191,Proximal tubule,0.10661799416672488
193,Proximal tubule,0.08662248467295937
195,Ascending vasa recta endothelium,-0.3357650657139501
196,CD8 T cell,0.05731534242036191
198,CD4 T cell,-0.03814985942000357
201,Proximal tubule,0.12269778641045298
208,NKT cell,-0.6253521539190909
209,Proximal tubule,0.10342971940471596
212,Ascending vasa recta endothelium,-0.19873522213029932
218,Proximal tubule,0.11150922917850352
220,Proximal tubule,0.12339795315825682
221,Proximal tubule,0.057252786723679096
223,Proximal tubule,0.10980858412415663
226,CD8 T cell,-0.38377907489602753
227,NK cell,0.22359084670461063
229,Myofibroblast,-0.27162931094260623
230,Proximal tubule,-0.012688796621307289
235,Type A intercalated cell,0.35799655052536705
238,Proximal tubule,0.13315772281199031
240,Thick ascending limb of Loop of Henle,0.44779951509730814
248,NKT cell,0.14134716085643997
250,Peritubular capillary endothelium 1,0.3339182298704096
251,Proximal tubule,0.07803705215144556
257,NK cell,-0.14801413690159632
267,NKT cell,-0.3225410473339188
269,Proximal tubule,0.11485572333183398
272,Proximal tubule,0.12137657448004634
273,NK cell,0.3072798482200734
276,Proximal tubule,-0.08024833888438052
277,CD4 T cell,-0.04084342466920757
279,Glomerular endothelium,0.7825970968847149
281,Connecting tubule,-0.11509301296985226
282,Neutrophil,0.7649641971179539
284,Proximal tubule,0.04373895991671805
287,Proximal tubule,0.1343941604846808
288,CD4 T cell,-0.140505190760234
290,CD8 T cell,0.19446800056262387
294,Type A intercalated cell,-0.16655800246535354
295,NKT cell,0.14814976655453588
298,Proximal tubule,0.09916215256141993
299,Proximal tubule,-0.0313714812718224
302,Proximal tubule,0.08709335129569319
304,Proximal tubule,-0.0748572612674191
305,Proximal tubule,0.10615598389132166
306,Proximal tubule,-0.07979670712915644
309,Proximal tubule,-0.025335256908784912
312,Proximal tubule,0.005981133577077111
313,Proximal tubule,-0.11819213636453678
314,Proximal tubule,0.07171921373504955
318,Proximal tubule,-0.03033865032145571
320,Proximal tubule,0.09604231265524596
321,Proximal tubule,0.0647940332150152
322,Proximal tubule,0.08391071124182496
323,Proximal tubule,0.007145073014370384
324,Proximal tubule,0.033006567236608504
325,Proximal tubule,0.018401716614029166
327,Proximal tubule,0.013975433977103715
328,Proximal tubule,-0.08150349505673063
330,Peritubular capillary endothelium 1,-0.34322765708560277
331,NK cell,-0.19671796625359425
333,Proximal tubule,0.08450215271646118
334,Distinct proximal tubule 1,0.5442517500554236
336,Proximal tubule,0.1338851833580948
341,Proximal tubule,0.12306861447431909
342,Proximal tubule,0.09488584623829416
343,Peritubular capillary endothelium 1,0.39837018704353916
344,Proximal tubule,0.09099857944361674
345,CD4 T cell,-0.04926359726622679
347,Proximal tubule,0.12350110699272683
348,Proximal tubule,-0.08199505017545332
350,MNP-b/non-classical monocyte derived,0.34762561091536914
351,CD4 T cell,0.012939797424105448
353,CD8 T cell,-0.09195937764430515
355,CD4 T cell,-0.08626491194480218
357,Peritubular capillary endothelium 1,0.24356023667802573
358,Proximal tubule,0.1038259167863843
359,MNP-c/dendritic cell,0.3392423800225949
360,CD4 T cell,-0.23787414834826834
361,Peritubular capillary endothelium 1,0.3726386631024372
363,MNP-a/classical monocyte derived,0.20756431201446118
364,Proximal tubule,0.010902860821403609
366,Indistinct intercalated cell,0.4547904262298072
369,Proximal tubule,0.12945316669981943
371,Proximal tubule,0.11181124460063702
372,Proximal tubule,0.05752050160622458
376,CD4 T cell,0.03980319420538553
378,Descending vasa recta endothelium,-0.4011349430793665
380,Proximal tubule,-0.04496687232124212
381,Glomerular endothelium,0.7965916334661959
385,Proximal tubule,0.031944184520023886
387,Proximal tubule,0.057105570797628735
388,Proximal tubule,0.12276454121825986
394,Proximal tubule,-0.19009554688954153
395,Proximal tubule,0.07312766676223563
396,Proximal tubule,0.09965215935739581
397,Peritubular capillary endothelium 1,0.3960876684137938
399,Epithelial progenitor cell,-0.42757369880626234
400,Proximal tubule,-0.08163322381775806
403,Proximal tubule,0.12011563651935886
405,Proximal tubule,0.11602505763596557
410,NK cell,0.21211376232628495
414,CD8 T cell,-0.10879991854919158
415,Proximal tubule,0.017497086925005068
421,Proximal tubule,-0.8259208815742675
424,CD4 T cell,-0.14711138213780295
425,Proximal tubule,-0.0827943041552843
427,Proximal tubule,0.0953089007882064
429,Epithelial progenitor cell,0.14926415020332431
431,CD4 T cell,-0.09052545232638376
433,NKT cell,0.17856055340641952
434,CD4 T cell,-0.035664639613205824
435,Proximal tubule,0.10865914510673796
437,Proximal tubule,0.12328654951009575
440,NK cell,0.2092882712810987
441,Type A intercalated cell,0.358131329844169
442,Proximal tubule,-0.08218945824027599
444,Proximal tubule,-0.2197073579974983
446,Proximal tubule,0.04170817631694555
449,Glomerular endothelium,0.749162151894085
450,Proximal tubule,0.11038669124299821
451,Proximal tubule,0.07624414087181315
454,CD4 T cell,-0.11173962273121095
466,NKT cell,-0.2286538235683833
467,Myofibroblast,-0.6124843662950366
475,Proximal tubule,0.11645926185124973
478,Proximal tubule,0.11378089734097432
479,Proximal tubule,-0.00633816941720572
480,Glomerular endothelium,0.780938747052463
481,Proximal tubule,0.09089953279560525
482,Proximal tubule,0.12372136470627557
483,NK cell,0.31798526994333687
484,CD4 T cell,-0.5029219311409625
485,Proximal tubule,-0.08751200856832982
486,CD4 T cell,-0.5493875359070801
487,Proximal tubule,0.13373748612862313
490,Proximal tubule,0.1255966473868972
494,B cell,0.5254351877900431
495,Proximal tubule,-0.013897280358003406
498,Proximal tubule,0.07268663371586359
500,Type B intercalated cell,0.1867677169730877
502,Thick ascending limb of Loop of Henle,0.3876680116224237
503,Proximal tubule,0.07677142318422041
505,Proximal tubule,0.11927556419633105
509,Proximal tubule,0.06748944180973267
512,MNP-d/Tissue macrophage,-0.2447250674213814
513,Proximal tubule,-0.08128319487440148
514,Proximal tubule,0.01169400406954885
516,CD4 T cell,-0.27436474473835176
517,Proximal tubule,0.126415501620763
518,Thick ascending limb of Loop of Henle,0.3897180197059661
519,Proximal tubule,-0.025620569973913942
520,Proximal tubule,0.10469002792489622
524,NK cell,0.0916287527964748
525,Peritubular capillary endothelium 1,-0.41519562643977775
527,Proximal tubule,0.08608370512040862
529,MNP-b/non-classical monocyte derived,0.34568384048433637
534,CD4 T cell,0.0184928867415438
535,B cell,0.5960544113161174
536,Proximal tubule,0.13457612157886492
547,Proximal tubule,0.10923319098595083
553,Proximal tubule,0.05959692374211755
554,Proximal tubule,-0.008939471857755682
557,Peritubular capillary endothelium 2,0.4459095575959209
559,Proximal tubule,-0.08056837209465716
561,Thick ascending limb of Loop of Henle,0.11179495482416517
567,Proximal tubule,-0.025869357277369463
569,Proximal tubule,0.02456197266414306
570,Proximal tubule,0.10075208598630282
571,Thick ascending limb of Loop of Henle,-0.018001700299413732
573,Proximal tubule,0.11094470924748913
574,Proximal tubule,-0.08179342820088704
575,Proximal tubule,-0.4014346764222182
576,Proximal tubule,0.05107466557727963
577,CD8 T cell,0.21535604378806572
579,Proximal tubule,0.1313753727043739
582,Peritubular capillary endothelium 1,0.31706483709746536
588,CD4 T cell,-0.19515401227426787
589,Proximal tubule,0.04065496808478439
591,Connecting tubule,0.12917808539701484
594,Proximal tubule,0.12049119158220697
597,Distinct proximal tubule 2,-0.7250529339659363
598,B cell,0.6746671909490861
600,MNP-a/classical monocyte derived,-0.118122667716251
601,Proximal tubule,-0.13100422534987805
602,NK cell,-0.053759219726250806
603,B cell,0.4936253030693662
604,B cell,0.7052373860341705
606,Descending vasa recta endothelium,-0.5091932043584787
607,Proximal tubule,0.08540595253220423
609,CD8 T cell,0.11536465755069453
612,Proximal tubule,0.05759587242508909
616,MNP-c/dendritic cell,0.11417208299114792
619,Type A intercalated cell,0.0974476704580796
624,Thick ascending limb of Loop of Henle,0.47246026237948513
626,Proximal tubule,0.03144833159349128
629,CD4 T cell,0.0178135716279675
633,B cell,0.6561045506434035
635,CD4 T cell,-0.09499659313890352
636,Epithelial progenitor cell,-0.04516718787665729
639,Proximal tubule,0.08688724062023341
640,NKT cell,-0.20513796684033558
643,CD4 T cell,-0.8575436861760668
646,Proximal tubule,-0.0803340895760366
648,Proximal tubule,0.09864383884093746
650,Proximal tubule,0.09584241522166782
651,Proximal tubule,-0.08206977388740168
655,Proximal tubule,0.08030134251913472
658,Proximal tubule,0.04099271419451189
660,NK cell,0.30994269696686527
667,Proximal tubule,0.11930608752448223
670,Proximal tubule,0.10924464633502765
671,NKT cell,0.17662791744434952
673,Proximal tubule,0.12460341440054631
674,Descending vasa recta endothelium,0.06283799754344029
675,CD8 T cell,-0.02530770925822067
676,MNP-a/classical monocyte derived,-0.09458794237208468
678,NKT cell,-0.06282961906848078
679,CD8 T cell,0.0814536949635928
680,Proximal tubule,0.13237420997915744
681,Glomerular endothelium,0.7007723126773368
682,MNP-a/classical monocyte derived,0.2844915003174322
683,Proximal tubule,0.1306031644169836
688,CD8 T cell,0.18003809539241827
691,Proximal tubule,-0.002454215811330619
692,Type B intercalated cell,-0.29676181401384705
693,CD8 T cell,0.15098294013328672
694,Proximal tubule,0.025251734690876965
700,Proximal tubule,0.12228783925079646
