clusterName,gene
beta_major,ENSG00000182759
beta_minor,ENSG00000106236
beta_minor,ENSG00000121351
delta,ENSG00000176956
delta,ENSG00000138207
epsilon,ENSG00000157017
pp,ENSG00000108849
hybrid,ENSG00000108849
alpha,ENSG00000145321
alpha,ENSG00000126218
duct_major,ENSG00000118785
duct_acinar_related,ENSG00000163347
duct_acinar_related,ENSG00000106927
stellates,ENSG00000164692
stellates,ENSG00000163359
endothelial,ENSG00000130300
immune_stellates,ENSG00000162511
acinar_minor_mhcclassII,ENSG00000243955
acinar_minor_mhcclassII,ENSG00000008394
acinar,ENSG00000187021
acinar,ENSG00000158516
acinar,ENSG00000219073
acinar,ENSG00000170890
