clusterName,NSForest_markers,f_score,onTarget,precision,recall
4_SMG mucous,['ENSG00000078898'],0.8316151202749141,1.0,0.8093645484949833,0.9343629343629344
4_SMG duct,['ENSG00000137673'],0.3409090909090909,1.0,0.5,0.15
Unknown,"['ENSG00000230937', 'ENSG00000187193', 'ENSG00000128422']",0.1296566837107377,0.1699302494525909,0.1220230788116867,0.1729297146833681
4_Basal resting,"['ENSG00000196344', 'ENSG00000171346', 'ENSG00000196754']",0.6140276120674961,0.4891743063926697,0.6961352657004831,0.4171974522292994
4_Suprabasal,"['ENSG00000206073', 'ENSG00000187193']",0.6073281452658884,0.4771341681480407,0.6838262139466958,0.419578853046595
4_Tuft,"['ENSG00000134986', 'ENSG00000147488', 'ENSG00000117632']",0.7142857142857143,0.5113536715507507,1.0,0.3333333333333333
4_EC venous systemic,"['ENSG00000124785', 'ENSG00000130300', 'ENSG00000213088']",0.4875100725221595,0.5965546369552612,0.5353982300884956,0.3590504451038576
3_EC arterial,"['ENSG00000164736', 'ENSG00000184113']",0.4017857142857143,0.7201719284057617,0.4736842105263157,0.25
3_Fibromyocytes,"['ENSG00000163017', 'ENSG00000175084']",0.7673860911270983,1.0,0.7710843373493976,0.7529411764705882
2_Smooth muscle,"['ENSG00000111404', 'ENSG00000185633']",0.5043859649122807,0.7169613838195801,0.71875,0.23
,['ENSG00000171223'],0.8106254519576221,0.19334652,0.8759651462060839,0.6243424833134421
4_CD8 T cells,['ENSG00000277734'],0.3515028018339277,0.5503998398780823,0.4509803921568627,0.1867388362652232
4_CD4 T cells,"['ENSG00000227507', 'ENSG00000008517', 'ENSG00000167286']",0.202020202020202,0.4389446973800659,0.3076923076923077,0.0851063829787234
4_B cells,"['ENSG00000153064', 'ENSG00000227507']",0.4166666666666667,0.8089314699172974,0.5,0.25
4_DC2,"['ENSG00000179639', 'ENSG00000112799', 'ENSG00000204482']",0.4545454545454545,0.4168497323989868,0.6493506493506493,0.2066115702479339
4_Classical monocytes,"['ENSG00000163221', 'ENSG00000188404']",0.5263157894736842,1.0,1.0,0.1818181818181818
3_Mast cells,['ENSG00000197253'],0.569620253164557,1.0,0.72,0.3103448275862069
4_Alveolar macrophages,"['ENSG00000159723', 'ENSG00000130208']",0.7894736842105263,0.7648885250091553,1.0,0.4285714285714285
Alveolar Mφ CCL3+,"['ENSG00000275385', 'ENSG00000025434', 'ENSG00000275302']",0.7894736842105263,1.0,1.0,0.4285714285714285
Monocyte-derived Mφ,"['ENSG00000130208', 'ENSG00000153071']",0.25,0.1031281128525734,0.4,0.1
Interstitial Mφ perivascular,"['ENSG00000124491', 'ENSG00000100600']",0.2752293577981651,1.0,0.6666666666666666,0.0821917808219178
4_Pericytes,"['ENSG00000131055', 'ENSG00000143248', 'ENSG00000131097']",0.5769230769230769,1.0,0.6,0.5
3_Lymphatic EC mature,"['ENSG00000167191', 'ENSG00000172869']",0.7142857142857143,0.9390084147453308,1.0,0.3333333333333333
4_EC venous pulmonary,"['ENSG00000106991', 'ENSG00000240583']",0.4347826086956521,0.5074443817138672,1.0,0.1333333333333333
4_EC general capillary,"['ENSG00000168813', 'ENSG00000162444']",0.7142857142857143,1.0,1.0,0.3333333333333333
4_Alveolar fibroblasts,"['ENSG00000077943', 'ENSG00000185052', 'ENSG00000121440']",0.6666666666666666,1.0,1.0,0.2857142857142857
4_Adventitial fibroblasts,"['ENSG00000106809', 'ENSG00000164530']",0.5,1.0,1.0,0.1666666666666666
4_Peribronchial fibroblasts,"['ENSG00000108821', 'ENSG00000166482']",0.6169871794871795,0.7926961183547974,0.77,0.34375
SMG serous (bronchial),"['ENSG00000160678', 'ENSG00000012223']",0.9076809453471196,0.4792979955673218,0.9527131782945736,0.7633540372670807
SMG serous (nasal),"['ENSG00000178776', 'ENSG00000109205', 'ENSG00000088992']",0.7692307692307693,1.0,1.0,0.4
4_Plasma cells,"['ENSG00000170476', 'ENSG00000211897']",0.4533678756476684,1.0,0.5147058823529411,0.3070175438596491
Goblet (bronchial),"['ENSG00000091137', 'ENSG00000229807', 'ENSG00000162366']",0.5959475566150179,0.8301010727882385,0.78125,0.3058103975535168
Club (non-nasal),"['ENSG00000153446', 'ENSG00000163993']",0.6442039106145251,0.3316301107406616,0.7192982456140351,0.4544334975369458
Goblet (nasal),"['ENSG00000197353', 'ENSG00000147676']",0.3129445234708393,0.3546958565711975,0.5301204819277109,0.1185983827493261
Club (nasal),['ENSG00000057149'],0.0867052023121387,0.2488239258527755,0.1764705882352941,0.0285714285714285
Goblet (subsegmental),"['ENSG00000153446', 'ENSG00000197353']",0.1851851851851851,0.5158769488334656,1.0,0.0434782608695652
Multiciliated (nasal),['ENSG00000135976'],0.3125,1.0,1.0,0.0833333333333333
Multiciliated (non-nasal),"['ENSG00000104237', 'ENSG00000007174']",0.9487216317150244,0.479073166847229,0.9802127133316844,0.8406873143826898
4_Deuterosomal,"['ENSG00000164287', 'ENSG00000139445', 'ENSG00000249082']",0.6666666666666666,1.0,1.0,0.2857142857142857
4_Ionocyte,['ENSG00000176009'],0.4651162790697674,1.0,0.6666666666666666,0.2105263157894736
4_Neuroendocrine,"['ENSG00000233041', 'ENSG00000102109']",0.9223300970873788,1.0,0.95,0.8260869565217391
