cluster,count
Alveolar macrophages,68484
AT2,61429
Suprabasal,39491
Basal resting,38805
Multiciliated (non-nasal),34541
Goblet (nasal),33707
CD8 T cells,29070
Monocyte-derived Mph,28217
Club (nasal),25487
CD4 T cells,21285
Classical monocytes,17694
NK cells,16978
EC general capillary,16048
Adventitial fibroblasts,10312
Club (non-nasal),9947
DC2,9122
Non-classical monocytes,8833
Alveolar Mph CCL3+,8065
AT1,7937
EC arterial,7391
EC aerocyte capillary,7157
Mast cells,6623
EC venous systemic,6556
EC venous pulmonary,6418
Alveolar fibroblasts,5182
Multiciliated (nasal),4867
Interstitial Mph perivascular,4805
B cells,4509
pre-TB secretory,4391
Hillock-like,4345
Lymphatic EC mature,3999
Pericytes,3032
Smooth muscle,2996
Plasma cells,1773
Goblet (bronchial),1630
Peribronchial fibroblasts,1558
SMG serous (nasal),1472
AT0,1440
SMG serous (bronchial),1417
SMG duct,1227
Alveolar Mph MT-positive,1203
Alveolar Mph proliferating,1061
Deuterosomal,982
AT2 proliferating,976
Goblet (subsegmental),966
Myofibroblasts,716
Lymphatic EC differentiating,566
SM activated stress response,556
Plasmacytoid DCs,552
Ionocyte,551
SMG mucous,537
T cells proliferating,500
Smooth muscle FAM83D+,335
DC1,322
Migratory DCs,312
Subpleural fibroblasts,276
Mesothelium,230
Tuft,161
Neuroendocrine,155
Hematopoietic stem cells,60
Lymphatic EC proliferating,28
