,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Epithelial cell (basal keratinocyte),Epithelial cell (cornified keratinocyte),Epithelial cell (mature keratinocyte),Epithelial cell (suprabasal keratinocyte),Fibroblast,Immune (DC/macrophage),Immune (Langerhans),Immune (T cell),Immune (mast cell),Melanocyte,Pericyte/SMC,Sebaceous gland cell,Sweat gland cell,Unknown
ENSG00000187583,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142599,0.0,0.8642260693013668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.8443123400211334,0.8578818365931511,0.0
ENSG00000178585,0.0,0.0,0.0,0.0,0.9375,0.9385854043066502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000054523,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130940,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000048707,0.0,0.0,0.0,0.8419015407562256,0.0,0.8620507121086121,0.8902419544756413,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0
ENSG00000189337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000058453,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.9387157708406448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000146463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127603,0.0,0.5784548297524452,0.5813178159296513,0.6206772327423096,0.0,0.7001201137900352,0.6536632105708122,0.0,0.0,0.0,0.0,0.6020570285618305,0.0,0.0,0.0,0.569639902561903,0.5625
ENSG00000084070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185104,0.0,0.9404096379876137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0
ENSG00000085832,0.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.953918032348156,0.0,0.0,0.0,0.0
ENSG00000078618,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000121310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSG00000162407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162599,0.0,0.8503182418644428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.8884898647665977,0.8597067929804325,0.0
ENSG00000132849,0.0,0.0,0.0,0.8298392966389656,0.0,0.812988206744194,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8141242861747742,0.0
ENSG00000116754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000172260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184005,0.0,0.946250181645155,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162618,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000153898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137962,0.0,0.0,0.9375,0.0,0.9550652913749218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134215,0.0,0.9703210592269897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0,0.0
ENSG00000121957,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175984,0.0,0.0,0.0,0.0,0.9501717649400234,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000265972,0.735036563128233,0.0,0.0,0.7011033743619919,0.0,0.0,0.0,0.0,0.693050142377615,0.0,0.6875,0.0,0.0,0.0,0.7739434167742729,0.0,0.7311306186020374
ENSG00000143369,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
