,DC1,DC2,Differentiated_KC,F1,F2,F3,ILC1_3,ILC1_NK,ILC2,Inf_mac,LC,LE1,LE2,Macro_1,Macro_2,Mast_cell,Melanocyte,MigDC,Mono_mac,NK,Pericyte_1,Pericyte_2,Plasma,Schwann_1,Schwann_2,Tc,Th,Treg,Undifferentiated_KC,VE1,VE2,VE3,migLC,moDC
ENSG00000186891,0.0,0.0,0.0,0.0,0.0,0.0,1.786842,1.168972,0.6933129,0.4511921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7760715,0.0,1.1411333,0.0,0.0,0.0,0.0,1.0095286,0.8737462
ENSG00000186827,0.0,0.0,0.0,0.0,0.0,0.0,1.0525835,0.0,0.0,0.29677457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72715837,0.0,0.0,0.0,0.0,0.0,0.7813436
ENSG00000097021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.237218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1901762,0.0
ENSG00000049249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2741145
ENSG00000116285,0.0,0.0,0.34364638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71687996,0.0,0.0,0.0,0.0,0.0
ENSG00000180758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6486683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1856252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8695713,1.1447351
ENSG00000162444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35625184,0.0,0.0,0.0,0.0
ENSG00000142657,0.0,0.0,0.0,0.0,0.0,0.43942612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81978613,0.0,0.0,0.0,0.30154154,0.87097496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20522545,0.7145126
ENSG00000177000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27849168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8679045,0.0
ENSG00000116691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43341768,0.0
ENSG00000028137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45097983,0.0,0.0,0.0,1.0591183,0.0,0.0,0.0,0.2839095,1.3930284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7838874,0.0,0.0,0.0,0.0,0.2424404,0.9225181
ENSG00000162493,0.0,0.0,0.0,2.0002122,0.52378565,1.486676,0.0,0.0,0.0,0.0,0.0,0.0,1.5963387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127481,0.0,0.0,0.6876599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5421682,0.0,0.0,0.0,0.0,0.0
ENSG00000142798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43731397,0.0,0.0,0.0
ENSG00000173372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2516613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0654795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6968491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117318,0.0,0.0,0.0,0.94467336,1.695126,0.57239723,0.83372515,0.0,0.0,0.0,0.0,1.740214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1454775,0.0,2.4094555,2.3526194,0.0,0.0,0.0,0.0,1.7681187,0.63044184,2.3515158,0.0,0.0
ENSG00000169504,0.0,0.0,0.0,0.7345866,0.0,0.4316987,0.0,0.0,0.0,0.0,0.0,0.0,0.5802614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9572133,0.0,0.0,0.0,0.0,0.0,1.2726972,1.0514528,0.0,0.0,0.0
ENSG00000020633,0.0,0.0,0.0,0.0,0.0,0.0,0.584851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3554285
ENSG00000117632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9639458,1.8788939,0.0,0.0,0.0,1.4317404,0.0,0.0,0.0,0.0,0.0,0.0,0.854828,0.8660037,0.62482476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169442,0.0,0.387043,0.0,0.0,0.0,0.0,0.96147317,0.0,1.2725248,0.0,1.35377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1559436,1.1567789,1.5350217,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175793,0.0,0.0,3.2849765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9456766,0.0,0.0,0.0,0.0,0.0
ENSG00000126709,0.0,0.0,0.0,0.50410384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130775,0.27234113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35286403,0.0,0.0,0.0,0.21166635,0.49713653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49718347
ENSG00000197989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63097095,0.0,0.58709127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162511,0.77218986,1.092557,0.0,0.0,0.0,0.0,0.9349273,1.2415705,1.2904006,0.0,1.240185,0.95153534,0.0,1.5222292,0.49824697,1.630351,0.0,0.3054365,1.1719038,1.331931,0.0,0.0,0.3030354,0.0,0.0,1.4070339,1.5440533,1.4169954,0.0,0.0,0.0,0.0,0.33606777,0.0
ENSG00000168528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53220993
ENSG00000142910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000182866,0.0,0.0,0.0,0.0,0.0,0.0,0.71891135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93082845,0.74949014,1.3184997,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175130,0.3563146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36002344,0.0,0.0,0.0,0.0,1.9078525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5035719,0.0,0.30216643,1.4556282
ENSG00000188910,0.0,0.0,0.49612695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000187513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5647185,0.0,0.0,0.0,1.0670297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000084070,0.37525794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4583134,0.0,0.0,0.0,0.0,0.36465222,0.0,0.0,0.0,0.6887931,0.84481895,0.0,0.0,0.0,0.0,0.4438626,0.44242933
ENSG00000117394,0.0,0.0,0.21194646,0.17586406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50599885,0.0,0.0,0.0,0.0,0.0
ENSG00000066056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4523924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779916,0.0,0.0,0.0
ENSG00000162407,0.0,0.0,0.0,1.8062024,1.3138947,1.539477,0.0,0.0,0.0,0.0,0.0,0.0,0.40818775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8855941,1.4907641,0.0,0.0,1.4407773,0.0,0.0,0.0,0.0,0.0,0.39979625,0.0,0.0,0.0
ENSG00000184292,0.0,0.0,1.3688664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3109449,0.0,0.0,0.0,0.0,0.0
ENSG00000177606,0.0,1.0789082,1.4442216,0.7649072,1.704183,0.44961452,0.0,0.0,0.0,0.0,0.5196463,2.018156,0.59821874,0.0,1.5465457,0.0,0.92582315,0.0,0.0,0.0,1.1275257,1.9481515,0.9408377,0.5756816,2.434006,0.0,0.0,0.0,1.9204324,1.000012,0.65748584,2.0243354,0.0,0.0
ENSG00000116678,0.0,0.0,0.0,0.62317455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49633786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35775334,0.7226541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5747461,0.84798527
ENSG00000116717,0.0,0.0,0.0,0.9057359,0.7676093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61759233,0.0,0.0,0.0,0.0,0.0,0.0,0.5064077,0.0,0.0,0.0,0.7028203,0.0,0.0,0.64025027,0.67421114,0.0
ENSG00000162616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7239789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8227124,0.0,0.0
ENSG00000162618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3063798,1.2868861,0.7013598,0.0,0.0
ENSG00000153898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33147562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.568934,0.0
ENSG00000142871,0.0,0.0,0.0,0.0,0.54823875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5725229,0.53512865,0.34011364,0.0,0.0
