clusterName,NSForest_markers,f_score
b_memory,['ENSG00000156738'],0.967741935483871
cd4_cm,"['ENSG00000213203', 'ENSG00000188404']",0.5631188118811881
cd4_naive,"['ENSG00000245164', 'ENSG00000188404']",0.483271375464684
ilc3,"['ENSG00000120659', 'ENSG00000167664']",0.7777777777777778
cd8_naive,"['ENSG00000135905', 'ENSG00000065809', 'ENSG00000172116', 'ENSG00000178035']",0.3488372093023256
cd4_tem,"['ENSG00000116288', 'ENSG00000069667', 'ENSG00000197989']",0.396039603960396
cd4_trm,"['ENSG00000143924', 'ENSG00000069667']",0.4271708683473389
cd4_treg,"['ENSG00000030419', 'ENSG00000134480']",0.6046511627906976
cd8_trm,"['ENSG00000172116', 'ENSG00000078304']",0.6639004149377593
cd4_temra,"['ENSG00000235162', 'ENSG00000137441']",0.78125
cd8_temra,"['ENSG00000182173', 'ENSG00000172575', 'ENSG00000137441']",0.7894736842105263
cd8_tem,"['ENSG00000153563', 'ENSG00000100450']",0.5833333333333334
nk_ilc_precursor,['ENSG00000189057'],0.8823529411764706
nk_cd56br,"['ENSG00000150045', 'ENSG00000169583']",0.9090909090909092
progenitor,"['ENSG00000151135', 'ENSG00000117133']",0.7692307692307693
mast_cell,['ENSG00000172236'],0.9322033898305084
macrophage,['ENSG00000129538'],0.7009803921568627
dc2,"['ENSG00000060558', 'ENSG00000167604']",0.6390274314214464
dc_migratory,"['ENSG00000078081', 'ENSG00000205755']",0.600375234521576
